"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0011",18.2399886132232,19.0261063951426,19.0408595477574,25.8065231820056,26.8735938814085,25.7426982155013,26.3908124826087,21.742289677391,25.8982992851515,19.2094489241856,17.3206835209052,15.8917516747587
"Feature0012",25.900574529671,26.7515008144455,26.872679903261,21.5017010322912,21.5580281453974,20.5799350975587,19.8741545925193,17.9365988215104,19.1901605695562,21.24884629951,18.1619738668097,17.668601000221
"Feature0013",23.3141454436203,22.8241410326628,22.7606350565005,24.4434358584296,24.982746102424,25.2326722236966,24.7157892767039,23.8795641789679,23.4213321388307,23.3415241561549,24.5079604658055,24.7393989185987
"Feature0014",23.1578164901063,22.9930893665057,23.0996795474616,23.9095844473973,22.3096668119222,23.0515210041673,24.8146889073303,18.8388028861172,21.7518965811181,24.4490879881783,23.7933371522708,23.6581620996094
"Feature0015",23.4386681125186,24.120454310073,24.3164467547093,21.2506281099704,20.0582300363005,19.4692902706978,21.2158633280283,19.0674153481479,22.0346297236077,24.3922383051638,22.9608587451797,23.3627400283012
"Feature0016",19.1389980676634,20.6143132519045,20.4372136724001,27.811737208145,19.0450394553208,26.1363661647928,26.621886143622,25.2025948722769,24.1668495854334,16.4601757486876,16.6118129155094,17.3353683277188
"Feature0017",18.1938788855833,21.5776547216844,21.5292288770816,23.497048863303,23.8123184134408,23.3646121733336,23.0672488384104,23.9460681516825,21.7475746102748,24.7420639096843,24.6218170549572,25.2119697560392
"Feature0018",24.5866634104716,23.806874619421,24.0067834119785,22.1750445755255,22.7284957753377,23.1052992702464,23.5246125668215,22.2251626505193,22.7618221082539,23.6976937979808,24.4341345673607,24.1876643002619
"Feature0019",19.7615353828284,18.8849474871469,18.3073876321859,26.0750192582464,26.2822047024418,25.5637337577716,26.1070746868708,22.0811720496301,24.9104080624,21.9486171744863,21.7324688369962,22.3063010164484
"Feature0020",24.0460021369784,23.863686429488,24.1490720977378,23.0193289549311,23.6336504544839,20.1465799698417,25.0969061514432,23.0961809766886,24.0358507502359,24.889339849612,20.1654335097691,20.1786724798481
"Feature0021",21.1874064434761,22.4532396838128,22.5479320400621,21.4033844073266,22.150447647419,20.2179874794639,20.7591145698645,17.6733605441021,18.9619799067203,25.1149453635766,22.7838637953776,23.0108121390698
"Feature0022",16.8568780074392,19.2598568547434,17.4914994542185,25.6472296661518,25.1892651046568,25.092499721605,27.2212172341956,24.1813261225483,26.0792937923553,20.2023550878594,19.2256202473378,19.4010282904672
"Feature0023",24.2326079261324,24.5554455547618,25.589973347077,19.3999783415754,20.3349446432437,20.6390626772401,21.9966183022792,23.3293429194414,19.2811048924309,24.425687015217,24.3182162557038,24.7114195466503
"Feature0024",27.0465518635037,20.8132829085542,22.6738225736901,19.9859620970484,19.6681959007697,23.0288373059002,19.8139190039886,18.7752745832128,24.5985153016144,16.346193656252,16.9846191114777,16.7993826552886
"Feature0025",24.9894383865442,25.1552354838482,25.4172142814628,21.6825489382788,22.3025349277644,19.2748636678851,25.0309309628873,23.66683632408,22.388988615751,24.2113320356387,20.1219785483891,19.8016523835809
"Feature0026",24.3599861816963,24.8053278760767,24.7423665718748,19.098245214522,20.4049000821854,17.9698837853199,18.5142346468356,25.0479858326675,21.7876109560373,25.047994711902,24.8330668081218,25.151349831446
"Feature0027",19.1219959429638,21.1841460581157,20.7403676779734,21.3655751420459,21.3082193200592,20.7792697443159,22.0000363359686,22.4711638798439,20.4024769200063,24.1478100769616,23.4434266468252,23.8157538075393
"Feature0028",26.7270570060209,21.4046125495337,23.2494375044513,21.0885410613319,21.9577826076026,20.6564293198329,22.1901500670724,19.6110337101762,25.6089764209865,20.7655812465839,18.6105378725258,14.1999506743162
"Feature0029",21.8360060620265,21.1101929634208,21.4042094560964,24.6550406652293,25.3514064021865,25.885284848408,25.7330955995793,20.9531820728935,25.098578174506,22.5212792937219,23.1767681523274,23.4603462925971
"Feature0030",23.3340812802924,23.3150969781011,23.5375366099797,23.9435556502632,24.2265280021172,19.1137565575457,25.4364584715058,23.5846540943068,24.7770159336251,25.156192351031,20.037330833748,19.2478965948132
"Feature0031",20.0113866027083,19.7294362636878,19.9165244278602,24.6964841239375,24.7195288981435,24.542420075691,25.0697280232438,21.0247711803671,25.3028451417596,23.7679799335894,24.0978348288149,22.4881652690386
"Feature0032",24.9113640321231,24.1442464443767,23.9994453309151,24.4367887198694,23.7352742471899,25.3622211871356,23.8630066681165,22.7746739498979,24.5452143492689,23.4005175666005,24.140778759093,24.4409943400907
