"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0026",450209.8029,419617.1496,435672.4419,395303.1725,436885.6445,455781.6108,393004.603,408164.9833,422626.5049,430041.632,408172.3007,443122.4479,426702.4362,411604.9834,422497.748,428725.8198,421251.3438,402660.9196,416044.614,432043.3138,428335.0378,463950.0565,410516.4694,412411.4531,433626.6183,436842.2474,387344.5406,392033.9716,418203.2242,408287.1742
"Feature0027",2817144.136,1921260.887,2059398.42,3384553.189,1435129.608,1174260.994,1691887.258,3111350.576,2667884.621,2464678.415,1086395.115,1603200.644,1474918.909,1900637.135,2628632.746,2035933.379,1035007.583,2039774.217,2903474.495,1890599.782,1829040.374,1920424.096,2162374.831,1345676.601,1997704.757,2342431.222,1582415.346,2345079.543,2673494.656,1280155.748
"Feature0028",1648283.112,1686753.369,416594.3829,961936.6858,1449115.165,1002534.194,1442423.299,1553820.587,1434043.956,1283573.21,767856.5578,565402.1601,787140.8066,403320.345,2692682.303,985188.1247,697098.2684,866921.1745,1801616.443,1775129.758,756819.026,1013273.076,1533715.6,1240834.287,1509991.89,433758.4646,1218265.988,2602589.228,1471650.758,707989.173
"Feature0029",1818357.787,2322665.09,1741750.627,2668250.229,2023135.47,876917.5335,2171494.133,2935489.194,432209.1766,1078857.384,1103866.926,2343129.709,2033357.87,2247092.596,3924487.742,509961.6155,1027029.008,1210127.731,2673957.794,2483958.369,1219247.311,1422818.477,1093677.074,1714336.628,2232671.916,2760088.483,668000.8943,2619466.17,2674581.909,995593.6049
"Feature0030",1762334.072,550118.3264,563341.4426,1300782.782,1960072.909,812885.014,2103828.73,2845849.326,1755922.163,1579562.795,1069369.836,2269174.942,1969996.892,2177071.488,3191083.338,1997362.93,428268.6462,1172416.257,1268841.695,2405514.427,1164188.885,1394785.848,1059597.268,1660618.55,2163100.166,2736976.862,1202173.112,2546554.333,1107762.485,1316447.92
"Feature0031",1950046.137,1019413.433,1256341.76,2410454.946,887383.122,1378820.808,2228966.237,2999489.831,784473.9231,1936912.484,879304.7561,2758878.313,2240049.053,2718660.861,2397211.018,1180483.667,793616.1908,1047338.02,2351265.547,1924024.989,2125877.667,851116.2156,1963518.822,1902746.012,2517925.698,3343429.69,1199286.663,2253020.02,2241224.215,1545605.316
"Feature0032",1326514.463,2073663.358,1772491.471,2004597.072,1720874.149,1220020.385,1526831.693,2400272.853,1897838.744,1731397.035,1018147.153,1463229.23,1525948.145,2236996.062,2851123.63,1988873.106,1098017.087,1191522.954,1895590.827,1797635.048,1398388.197,1872615.748,1608291.068,1892622.672,2197924.311,2025900.687,1306766.021,1519354.722,1745063.012,1017195.009
"Feature0033",708994.4459,1223070.068,888871.5847,981144.1406,1044577.428,759613.6476,950748.424,1301216.984,1185719.2,834282.2732,632961.9409,535000.8939,810272.4115,1145921.587,1573694.24,1090353.157,685749.4843,699377.077,1183077.035,1124636.921,854207.5717,1157447.475,1001593.699,919156.9894,1218739.608,1220849.058,638115.6173,917516.2595,1088826.621,522326.1431
"Feature0034",3297099.085,527503.8974,539072.2651,20233174.9,514782.858,334189.0669,1743118.88,417207.0557,443611.4218,589571.1245,375304.633,6036316.521,417831.3067,431291.6987,320153.7007,361921.7614,345491.915,418142.8464,639226.1088,599886.2585,508486.7706,193756.6633,502679.8775,376102138.1,393471.9035,474596.9646,314864.243,5830849.04,247302.7511,415599.7929
"Feature0035",5025641.472,103392876.2,61404189.88,50133362.05,147347166.9,12165805.69,61627967.93,140379915.9,84419817.51,12790710.68,7548839.309,64716166.62,113518309.5,137781715.6,99384196.06,141647604.9,3293256.942,7439363.368,14397524.64,8839770.889,18252106.79,70297446.91,16363796.17,176902995.5,70950217.93,166823535.3,12142536.53,10559511.54,26046661.37,3501351.385
"Feature0036",81817616.62,612516376.8,477330379,533686192,503516127.3,5137373.753,576975567.5,498032315.8,504834270.6,71591303.11,12323229.96,491007038,625095430.4,538961644.6,549024494.1,529708782,9701730.732,4776812.338,94537672.09,81940850.16,10926744.9,403647794.7,12919434.44,701277781.6,489475452.2,558464087.9,5186075.953,98728679.2,14970012.4,1870342.113
"Feature0037",628122.6137,232473.4867,194230.4696,123723.5619,881625.8303,687426.3103,1211601.95,855925.4459,197906.5297,832145.6907,961209.5523,464077.3103,223022.0954,898963.8998,730912.4412,229817.7931,466126.6484,547184.7253,117188.2145,569700.1872,346367.956,748574.4141,479418.1617,3176599.244,588272.4952,1258142.724,942009.7461,544315.542,625337.5589,389755.5753
"Feature0038",67125.73164,80901.67884,78000.52904,67591.3985,76519.57952,61466.3032,63416.40335,82021.10399,82361.53782,167944912.1,59015.69137,68978.7454,79567.27776,81360.30895,186401.4423,78473.60469,57253.31465,60023.67137,91049.52048,52718940.71,65191.23697,105685821.1,93658.52779,88859.76275,25631038.31,52175679.25,55631.14689,60032.48815,67418.13311,56579.3886
"Feature0039",158664738.1,13386978.54,12770146.5,173779352.3,11873709.55,15798103.99,6748095.087,13266107.95,11562230.96,31539438.28,24018351.78,9954410.317,14142781.4,13122539.52,13836371.67,12098534.41,36772199.69,37159905.96,58840038.97,94313564.93,11836525.9,9003181.814,36650669.87,310818030.4,10022146.92,15860714.13,22537476.66,140317939.3,25096824.09,14914309.67
"Feature0040",5042706.485,4451809.418,3967002.516,3896343.299,3978462.648,5716339.531,3778460.337,4065641.084,3944925.937,6741548.171,5411976.668,3935235.118,4023365.355,3563763.174,3837893.434,4010047.747,4920399.692,4967043.641,5446880.722,6196741.59,753728.1464,4513497.207,5837398.926,58515346.74,3978895.592,4572748.634,7435807.401,5535204.678,5254973.523,3932543.747
"Feature0041",2686367.616,26326100.34,23030076.91,2584635.978,24028121.84,3488331.204,6765048.756,24320695.07,18423039.15,1625660.235,2749332.305,11898719.27,28048908.6,25276946.07,22164895.54,25691497.45,2108037.135,2587521.957,2638636.045,2369785.418,2245447.159,10061743.38,1331882.539,28632273.19,14600716.53,23973293.12,3395348.855,2946492.085,2533158.196,1764767.578
"Feature0042",6840942.064,97862860.96,2477301.274,143496876.1,144143.0203,136807778,1428455.611,4157175.608,4727961.633,7131426.055,5713572.589,4003788.185,5867722.252,2553539.008,5080868.846,3481594.807,86642515.69,6219318.909,11975947.61,8033887.077,5207169.037,2091183.299,1886271.296,5642645.747,1599388.815,3583992.708,148011596.8,247056734.7,7343516.64,3555897.577
"Feature0043",233772046.1,99754846.11,32362263.04,175949729.1,95450058.96,189493031.8,29185725.52,79710950.14,74084542.7,236900194.9,155189434.3,50130000.84,103511644.6,88691956.3,75153738.28,93528346.73,135527711.5,166766540.2,269490525.7,261679342.1,207018507,46545103.06,228890317.1,83373118.97,33030641.83,73695785.24,7333402.369,8218707.089,241428947,125034610.4
