"","Area: 10","Area: 14","Area: 19","Area: 2","Area: 40","Area: 41","Area: 46","Area: 47","Area: 57","Area: 59","Area: 60","Area: B"
"Feature0014",26.5141269143845,26.1566314183061,24.6831556755449,22.1277540199414,22.0906176358994,22.2053202940225,26.8201831478873,26.7554850415537,24.7298848851955,26.5342154144822,24.896120595022,24.9480345584449
"Feature0015",25.7244757097545,25.0218232451826,22.8713479017025,23.2084918842467,23.0687865010603,23.4592528508085,26.6757797939588,27.1575769554186,22.660964320186,25.7919463658208,23.4668758278682,24.530574801499
"Feature0016",25.8238365000413,26.681384034132,25.4736736498737,25.389933276034,25.3808816999743,25.6309467480382,17.5380372614742,23.0652802495096,26.0174673501396,25.6690564803885,26.1614190879112,24.8842308037769
"Feature0017",27.3636066977104,27.14717326525,19.5182700987127,16.8322050353421,15.1454210537171,14.6201352743711,28.758404679816,28.9359219129618,19.3421331572617,27.8613365704975,19.786966726216,22.3337666032799
"Feature0018",26.478810484214,25.9295553931382,25.2618616343555,26.4963263353527,26.7725215003395,26.8338661267286,26.3350455695555,25.8310403037946,25.1334040274417,26.6317549202216,25.1994809157966,0
"Feature0019",27.2145495327649,28.3300638755309,16.5993686299475,17.7817478082745,19.3297498137396,18.636218744043,22.4095343407869,22.5138954301492,12.8471242351808,26.8123794061331,13.6704589372395,20.7812798513118
"Feature0020",19.0687166109194,17.8050407031673,21.4913158810383,18.9622646502165,17.9168367800876,18.8134945783216,18.6122943190417,21.1219993551476,20.6630291184721,19.6078508584328,21.1878762836906,19.8015906100116
"Feature0021",26.6865047574688,26.4865685019112,26.2434227905639,24.0416070275531,24.4658090401398,23.9017527540266,24.9377718402952,25.014811065577,26.423088610772,25.4890959745253,26.7671347993098,25.5762245989407
"Feature0022",19.3452119581895,18.5365480365988,20.4334803253305,19.2927515674198,18.4732322739533,19.0899166857693,18.6331212183798,19.3645490211465,20.6396973659576,19.4610474057327,20.6855120860712,19.6877890383107
"Feature0023",27.5659271414785,27.1650322109155,26.4733686774082,26.3622277620189,26.5530391638299,26.1543378461493,27.7863909612551,26.2899028209387,26.6808504843611,27.5184670236639,27.0373145984905,26.9044040793111
"Feature0024",18.6207153458709,18.750340847838,23.7338532420579,25.3898996552711,24.856553451518,25.1902691345024,18.9484038235332,18.2834805736555,21.598299424325,18.9357416814367,20.8980418051876,0
"Feature0025",15.9682802903525,15.7352308435351,20.5437347582437,19.9845041744366,17.9715113603513,17.701760821282,16.7788439856506,16.6452710311212,19.4019177200565,16.2387873435754,19.4603206235938,18.1814257824625
"Feature0026",15.5105910721704,15.2762012338748,19.3868701837039,20.9104528787832,18.8584676512723,17.8705808731877,16.3048964137057,16.0280073271643,19.2893378929822,15.6468431244246,19.231529759236,17.9996098804166
"Feature0027",21.6512115101395,20.9783942436016,24.624040532637,25.4465191770735,25.1987965449546,23.2989106735668,21.8388895019336,20.7191038972494,26.0923795573512,21.7196170082065,26.6236766269641,0
"Feature0028",18.1706607157487,19.0408593910018,21.2491434756127,26.156558045982,25.6455998465406,25.649235624418,19.2698258019525,20.6730550734048,21.1983293492176,17.9001775147123,21.4813111523685,0
"Feature0029",28.3723951838332,29.0108010150916,18.9703543554246,18.5197947186159,17.6744230017813,17.7391898487122,28.6634654313656,30.0089001012519,19.4167402085351,29.0682641866876,19.7717091454431,23.3747178088868
"Feature0030",23.3134386332506,23.0684907847658,25.212266540818,25.647734540925,25.804313809995,25.4952659790419,23.3332464483016,22.2583661611519,21.0251003607411,22.6916351889746,21.1362650260155,0
"Feature0031",18.5014125034602,18.9072584169036,15.6674910808418,17.8881213525857,17.9716542384991,19.3616968902921,19.78511521779,19.5399932096712,21.3274943879867,26.4421232525288,21.9494282837833,16.7216556357346
"Feature0032",19.7696512515657,19.5520292957987,24.099462300714,26.6197657175415,26.0769960210487,26.4864753773715,20.1245422514004,19.7834402950154,22.1467167388657,19.8547106761706,21.2482434390674,21.2897272465435
"Feature0033",24.5125745192339,24.4666814071362,26.6540342943561,19.3534107428846,17.5511722083268,15.5670785381811,25.069780934835,23.9352050749483,25.8723559158008,24.3460735152095,26.2994982852097,23.016091746062
"Feature0034",22.0362886569311,21.546245080324,24.377613077752,23.3055551830862,25.7108271137998,25.9650921799284,22.240624797656,22.9398916738635,25.022813059227,22.6823450761823,24.5801535769343,23.6852051945574
