"","Area: 10","Area: 14","Area: 19","Area: 2","Area: 23","Area: 40","Area: 41","Area: 46","Area: 47","Area: 57","Area: 59","Area: 60","Area: B"
"Feature0019",27.8777961591159,28.7931753091288,17.4799600935529,17.4581591689062,29.2210665483245,18.7647136017807,17.7089127813516,22.6093271038457,22.8439319970346,14.8105128387409,27.487662556438,15.5402427385458,21.6507396772886
"Feature0020",19.7170558449071,18.5064900034542,21.6555752495959,19.1501824024599,22.3467720192747,17.9797750782958,18.905034713271,18.9015015789987,21.6277685711106,21.1546141242773,20.315569255294,21.4784414940485,20.1860768041759
"Feature0021",26.5380150082427,26.3300100173388,26.2554713761782,24.2799793063507,25.2872525230832,24.7347832780264,24.1628835534172,24.7340664199349,24.9513002808642,26.5146065781819,25.3716826545511,26.7948077863842,25.5752483962431
"Feature0022",19.9928403916815,19.2822312852832,20.4325252923515,19.5492561585327,20.4890729235415,18.6957524938117,19.3304310131357,18.8972492310038,19.8828398504937,21.0023270755595,20.2150515884585,20.8435505030315,19.9240464840311
"Feature0023",27.4449255475326,27.005111349581,26.4646293784812,26.3097153526782,28.0272303503082,26.5047992119502,26.0759060689758,27.5229948588819,26.0722740586269,26.7813586738664,27.4167815443179,27.0811624335168,26.9320324795662
"Feature0024",19.0753468747648,19.0688552628967,23.5502675707566,25.8510575951421,19.2025162333029,25.4211273173154,25.9225441283358,19.3859912238917,18.6466976268558,21.0740907683146,19.5666749682193,20.1419725168385,0
"Feature0025",16.8896243661794,16.9799915237273,20.2783215837598,20.1242587933293,17.3639135746013,18.3638953549065,18.056350516739,17.2916104662802,17.4034696455247,19.4936742735255,17.2560849826046,19.4310460110379,18.3440191306508
"Feature0026",16.4509357331481,16.5722794020705,19.0718264380213,21.0467895839149,16.7627352477463,19.2891025493355,18.2633421427769,16.8333607521474,16.8088121542851,19.3313133355461,16.6830456398319,19.1602154758781,18.1318005265387
"Feature0027",21.735547796892,21.0205549663421,24.8239981546249,25.4498442525456,21.2053246603675,25.2370856102923,23.3482907908792,21.8881721901926,21.0783842878332,26.2183703816114,21.7594179712693,26.8762268833283,0
"Feature0028",18.6288466564253,19.3558404579212,21.1634240540837,26.4857466812882,20.4026285747039,26.0675983956647,26.161394244628,19.7215573992582,21.0669463138571,20.9159301385036,18.5602193013988,21.0343892247485,0
"Feature0029",28.2829997730509,28.8653860714029,19.2225235971768,18.8371876075385,23.8041517774679,18.0920727584218,18.2799418326883,28.6779953474756,30.1618579311785,19.579921861674,29.0590760240228,19.9812862697047,23.4301348017249
"Feature0030",22.6567161335853,22.401698411447,25.3934621179826,26.8262722540133,28.9815776213685,27.1958813483648,26.8767323026454,22.6836964556435,21.6989062216324,21.1283061426574,22.089756031778,21.1690868645404,0
"Feature0031",19.1425049627812,19.6389377437137,15.6822381862235,18.1434355756086,20.6603193688983,18.1812752111645,19.5920514000571,20.0449285929236,20.0516496502147,21.7044956418894,27.1860442172019,22.1202121408464,16.9683063328623
"Feature0032",20.3853029091565,20.0678244936372,24.0855068327313,26.5731709180555,20.4939303284143,26.1116495460158,26.5188529286702,20.6118600579889,20.3862414328931,22.0087014764757,20.6682441554661,21.0597542550178,21.2081084670474
"Feature0033",24.3088145630652,24.2088987204224,26.9475895231983,19.8598898207527,25.0851717415705,18.1974820095147,16.3364677632484,24.9875797259691,23.9277140602613,26.0684617175508,24.2753261414666,26.4713054046457,23.2240691123634
"Feature0034",22.1292624254736,21.5880737037643,24.5534104007188,23.4254433904566,23.1924854460892,25.9002645627227,26.2256361899733,22.3402595676776,23.24137666741,25.1268037343166,22.7861834118761,24.7438121266945,23.6729958512223
"Feature0035",20.441527048527,20.3521966610499,21.4746191869643,26.9913426342312,21.357334900011,26.5845948306177,26.7729640128454,21.7685179457068,21.4410659812666,21.2389345104207,20.9330343508943,21.3450193829813,21.347163448293
"Feature0036",25.5860223346837,26.231084900754,27.5263108585612,21.8581068271899,26.7224213357229,21.7932130421273,21.692566049057,26.3515696244604,27.1854949416557,27.6016700535166,26.1139380487151,27.8895934099652,25.6242426361005
"Feature0037",19.5358375976254,20.0073770636615,22.405511819332,26.6021393896396,20.303432334031,26.1497271368775,25.7984824072111,21.1792893547105,21.3202093567102,22.1622138513005,20.4305166138882,22.6419178572248,0
"Feature0038",22.321266848685,21.5475425362134,24.4826120095222,27.5593913177106,21.6151910216525,25.2720100984869,25.5046117290851,21.8128742516603,21.9764481907255,25.8801975653969,22.2976411901936,26.5735681832825,23.8302747122474
"Feature0039",20.1398519573785,20.0062314188276,27.5236590689521,27.1993542587352,19.5834267098271,27.1269950037961,27.3506525494712,20.064328263585,21.1506821140561,28.2824605011316,19.8847793336782,28.3990754574009,0
"Feature0040",28.2467929531653,28.8659159859208,20.5715389075589,21.8071228967532,23.8154452894267,21.0830382392233,21.3262857375239,28.6311222879764,29.6392616022244,20.6740440725273,29.0367877678975,20.8138838652141,24.5722978770646
"Feature0041",25.3319806932795,25.6204760932507,27.9844357495871,28.7645994548392,25.6764924866812,29.1540183059716,29.2068702951819,25.330420666193,25.6425254540192,28.0881981761377,25.5425648642647,28.1691131257149,0
"Feature0042",22.5844800016453,30.4389126427368,9.11746449955134,15.298621444566,21.8979192254646,16.2973730299722,17.1199511732053,20.1090841191774,31.7085872144721,6.88387048622019,22.7101144705908,6.85487981277501,16.351120204953
"Feature0043",24.7460998840464,25.1361140623029,28.2614709421918,29.4492525953154,25.042016458854,29.6371169469769,29.6148581822373,25.6334216584017,25.9779419557359,28.382700318448,24.8695654140081,27.8877137949258,27.0873556554544
"Feature0044",23.8543034925089,25.174791671373,29.0783924511382,28.731911153738,25.0338000951659,28.6218663403331,28.857057748557,24.6826459897631,26.0408332755477,27.6125358143143,24.0162397812711,26.8658346156125,26.5985463226855
"Feature0045",29.9865329195741,28.8195500539815,22.8951161033219,25.027077450415,27.4281991553734,23.9452675307966,24.2945281728124,30.0898772606945,29.1459847852776,22.6416832606729,30.13129646973,22.9251629048196,26.4984259016912
