"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0022",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16519344.03,NA,NA,NA
"Feature0023",NA,NA,NA,NA,NA,NA,NA,68698411.37,NA,NA,NA,84201123.7,NA,NA,NA,NA,66109851.08,NA,NA,53797282.92,NA,NA,NA,NA,80840062,NA,NA,NA,72908970.35,NA,NA,NA,NA,79108545.07,88014505.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51490474.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0024",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80022986.27,NA,NA,NA,92413318.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105502917.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0026",NA,NA,119251653.8,NA,NA,NA,NA,NA,NA,NA,106188752.9,NA,NA,NA,NA,NA,NA,66411287.02,NA,NA,91925496.23,NA,NA,NA,NA,NA,NA,83291299.06,NA,134035436.9,NA,NA,102362452.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,99406441.09,NA,NA,104015987.3,97585617.91,NA,NA,NA,99459913.13,110696720.1,NA,NA,NA,131109735.7,NA,101820158.4,NA
"Feature0027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280438258.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0028",1618968696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0029",NA,NA,NA,NA,NA,NA,781348923.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1750058487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287849843.5,NA,NA,NA,NA
"Feature0030",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2171809681,NA,1652279060,NA,NA,2153146777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2413600570,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0031",497028608.4,NA,NA,3287287710,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0032",NA,NA,NA,NA,NA,2839354226,NA,NA,NA,NA,NA,NA,NA,400874733.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4002479757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0033",NA,NA,NA,550313696.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860738250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4065745047,NA,NA,NA,NA,5136028000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5131932534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0034",NA,NA,301532719.8,NA,169193395.2,NA,NA,NA,NA,NA,216180723.6,NA,NA,NA,NA,NA,NA,205466624.1,NA,NA,222984769.2,NA,NA,NA,NA,NA,NA,201241308.1,NA,288756714.6,NA,NA,627782760.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,79620418.57,NA,376102138.1,248963569.7,468748872.3,NA,NA,NA,480566252.4,207698059.2,NA,NA,NA,174437316.6,NA,155607614.1,NA
