"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0029",0,0,0,0,0,0,28.940961526899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.1500693747256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.625897903566,0,0,0,0
"Feature0030",0,0,0,0,0,0,0,0,0,0,0,0,0,30.7243575545777,0,30.9008340638918,0,0,30.4384720665317,0,0,0,0,0,0,0,0,0,0,0,30.588433853166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0031",30.0139362210824,0,0,32.8252915093324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0032",0,0,0,0,0,30.6361785609188,0,0,0,0,0,0,0,28.1587503290114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7179186047787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0033",0,0,0,30.8518612121016,0,0,0,0,0,0,0,0,0,0,0,31.2086642011951,0,0,0,0,0,0,0,0,0,0,31.6050903539455,0,0,0,0,31.6078472332024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.5666837691911,0,0,0,0,0,0,0,0,0,0,0
"Feature0034",0,0,28.3789858999064,0,27.7957708589409,0,0,0,0,0,27.7452459695801,0,0,0,0,0,0,27.898511545714,0,0,27.6229045018318,0,0,0,0,0,0,27.4520447406114,0,28.1738449159521,0,0,29.4884048827436,0,0,0,0,0,0,0,0,0,26.4495070030551,0,28.4082190472399,28.2033814714466,28.5163824498458,0,0,0,28.6133835415672,27.955739498151,0,0,0,27.7603958096807,0,27.3236197877041,0
"Feature0035",0,0,0,0,0,0,0,26.1692168231897,0,0,0,26.9773100190748,0,0,0,0,26.7023296232811,0,0,0,27.3055870621097,0,0,0,0,0,0,27.1288365444613,0,27.7135678100046,0,0,28.1067470677669,0,26.6756926267823,0,0,0,0,0,0,0,0,0,27.3391833473546,0,28.0379198237869,0,26.1473028177121,26.8715119488601,27.7006483085188,28.0914134795455,0,0,0,28.0843551951969,0,27.2228169766363,0
"Feature0036",0,0,29.9281383757317,0,30.2800544483229,0,0,28.6944277328921,28.9939899271521,28.6188565886595,30.160868501861,28.5860464042649,0,0,29.55917632511,0,28.4279601290171,30.227325351105,0,28.7833840296566,29.8801682536808,0,0,28.8951518276934,28.6480805622633,0,29.3479146303507,30.0640596702255,28.4987974138632,29.8424198992998,26.5865710906161,0,29.895173841152,28.7797340427216,28.4253900923152,0,0,0,0,0,0,28.6718412183498,30.0875701343127,0,29.0362019931599,29.9477272611538,29.929193290462,0,28.7961220305396,28.560256246161,29.7511877131612,29.9783013814324,0,0,0,29.8768991669374,0,29.8070227172633,0
"Feature0037",0,0,24.7246985885592,0,0,0,0,0,0,0,24.7522070149843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5124095527018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6235849416991,0,0,0,0,0,24.7288991331682,0
"Feature0038",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1218498755375,0,0,27.2693604935452,26.9639380384968,0,0,0,0,0,27.8923767379571,0,0,0,0,0,0,0,0,0,0,25.2844442417571,0,0,27.1217303457327,0,0,0,0,0,0,0,25.203489608833,0,0,0,0,0,0,0,0,0
"Feature0039",0,0,0,0,0,28.0507326750146,27.5356086770165,0,0,26.9025585036944,0,0,0,0,0,0,0,0,28.1604337762131,0,0,0,0,0,0,27.8987806317412,27.486266214662,0,0,0,27.7938333703152,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1661628327682,0,0,27.21315749609,0,0,0,0,0,26.7798440230978,26.8348311587113,0,0,0,0
"Feature0040",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6622192212926,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0041",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5356686020723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3888368462653,26.3803777982952,27.2504937440142,27.4794358873417,0,26.1464735925705,0,0,0
"Feature0043",27.4263262863296,27.6106506706983,26.6894835157135,27.3912127721214,26.7880219237068,27.2099095943144,26.3085587747055,26.1519551086674,0,27.1253181197489,27.0223072604123,26.3783184110121,27.7238784610678,27.0530570838916,0,27.4942049830453,0,26.9373505396363,25.601823127766,26.1788698774657,26.9210719431685,27.4955671778544,27.6098171367922,25.7277335029854,0,0,0,27.3649604310597,26.0752409761517,27.1322526848806,0,27.4380336975129,26.969806589805,26.0119195652745,26.1796373130403,27.7234544797594,27.6913347851553,27.586187189195,27.5530268592491,27.6475332630717,27.3656305133932,25.7911501824321,27.2049770547809,27.4775351776972,26.2838926179747,26.751242771202,26.9394078328006,27.0644415141775,0,25.6958590767501,0,0,0,0,27.0627083975582,0,27.5072438683756,26.9585972432723,27.5750079140138
"Feature0044",0,0,26.7708956110548,0,26.0341192130663,0,0,0,0,0,26.386069621501,0,0,0,0,0,0,25.8147448948786,0,0,26.1964189504204,0,0,0,0,0,0,26.1129447658686,0,26.6006362026984,0,0,26.3149212663762,0,0,0,0,0,0,0,0,0,26.8172055993,0,0,26.628338762922,25.961665609921,0,0,0,26.113440668141,26.3274769406869,0,0,0,26.5754731751934,0,26.7245518848875,0
"Feature0045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7522967953291,0,0,0,0,0,0,25.8082511967121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0718852572063,0,0,0,26.3171475001488,0,0,0,0,0,0,0,0
"Feature0046",0,0,0,0,0,25.7737887052618,0,0,0,0,0,0,25.1698652363213,25.8105279402107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.8645339487358,25.1558539439507,25.0373711264989,25.7183855804299,0,0,0,0,0,0,0,0,0,0,0,25.2375775681184,25.2003936615724,25.4557930696851,0,24.9489536759871,0,0
"Feature0047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.074457749897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.448268955122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0048",0,0,0,0,0,26.2212708285527,26.5371507519986,0,0,0,0,0,0,26.3366701549698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9089835866257,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1477249683275,0,0,0,0
"Feature0049",0,0,26.8482665070953,0,27.3394037805793,0,0,0,0,0,26.9564353854256,0,0,0,0,0,0,27.0685469395128,0,0,26.851914515992,0,0,0,25.3165063889911,0,26.3052705711208,26.6614604241525,25.1784683537618,27.0502312875533,0,0,26.831322888157,0,0,0,0,0,0,0,0,0,27.1699662998358,0,26.1775738122255,27.0164524150632,27.0187590553237,0,0,0,26.4319059255835,26.967634850772,0,0,0,27.0985136277258,0,26.8664233369083,0
"Feature0050",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5708637620721,28.0647076258233,27.7793620839328,27.3294191783042,0,28.0885106396541,0,0,0
"Feature0051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0296381166531,27.9907046353209,28.0859988353434,0,27.7624222168497,28.205531345591,27.5213697612127,28.1920311932044,27.8568176702599,27.2239220882897,0,0,0,0,0,0,0,0,0
"Feature0052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0648165610876,0,0,0,0,0,0,25.8300299030737,0,0,0,0,26.3740326298874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9812254544997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0054",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3685403202302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0055",0,28.2750878689202,0,0,0,27.4143836351016,27.4411981601787,0,0,27.9605337516963,0,0,26.0735758062075,0,0,0,0,0,26.1910512363427,0,0,28.6111143079714,26.5430249553366,0,0,25.8747146942216,0,0,0,0,26.3910688102359,0,0,0,0,26.4234685603985,25.7422539130491,29.3866781331663,28.2983483567629,28.7782675950927,25.0999567385432,0,0,28.995456983023,0,0,0,0,0,0,0,0,26.6354296268719,28.9297470912023,27.4026964438425,0,29.3893432223589,0,26.3111340257657
"Feature0056",0,0,0,27.7614786427927,28.0161749818103,0,0,0,0,27.0493559551437,0,27.2121480794889,27.5777871650629,0,0,0,27.0951555852242,0,26.8303502454327,27.3584863285732,27.3519271442971,27.1473605894714,27.8030956043068,27.3134753073989,26.9121247286122,26.9864075867274,27.5594865753994,27.252284663482,26.9889172979447,27.5636575886567,26.9913884756786,27.5288638753161,0,27.2378438611968,26.9179447056785,28.0568821466703,27.6405962955477,26.971143209786,26.89449721659,27.4917437015839,26.7582332411241,27.6331691564032,27.7500297728856,0,27.3050531054776,27.9595086715815,27.0930299354605,27.9085526906369,27.5937888745396,27.0433712049299,0,0,0,0,0,0,27.0208071420064,27.6046715793586,28.0567780225002
"Feature0057",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.7251083458977,28.3291305411014,27.8773359683552,27.4707797843629,0,28.3054241750887,0,0,0
