"","11","13","19","26","29","35","37","4","49","51","52","56","57","60","8"
"Feature0038",21915766.4525458,11236610.2724065,21676787.9186682,11066450.9825299,17274950.5207178,11757219.6295639,15513326.5675251,14333135.8192731,33661600.2402503,23603629.5738535,17171693.0015885,15715365.1523793,25175160.2195584,41523348.9483099,20391789.5847947
"Feature0039",4543845.60542097,6308145.00747036,7507697.98904668,6784363.89031482,6473412.8805234,5690356.58733876,9298844.62856727,6165632.20776676,8710051.66795073,5940352.5232135,7402867.86143754,6511050.0974895,7040088.10837538,1737221.24566426,5027668.2264897
"Feature0040",554730.440210295,946020.993429424,546518.828735478,1560793.41827891,2302961.49078781,2271447.8326436,334013.214894581,1453081.13749488,390093.934387197,580466.172889969,812151.005039766,735564.835037369,401237.767027042,275183.451345212,441760.483987399
"Feature0041",2158725.7679383,2349473.79626517,1987815.53136809,2274324.45855694,2809099.73636377,2063558.04520606,1525331.86898062,4488108.16428255,1717645.73568846,1582366.75777046,3760398.96116975,254783.964755157,224091.663797487,709013.909639024,2561762.07853077
"Feature0042",1724163159.3584,629411005.140137,20663246.2078165,9870662.12628002,683881038.542395,372581382.975646,629424680.345934,13773530.9589766,36083365.6690454,22801583.1268979,15549045.4876099,17264367.3999695,27365197.5791847,45036881.8114717,21876368.1719523
"Feature0043",27554202.1772604,26172372.9119214,21046394.4823672,19421489.3987447,17743733.5709446,16172644.9016741,21467046.9641352,18186352.679693,22172605.07954,26610747.3656937,19829538.1985096,16939574.4288008,25697521.1783217,31999270.677168,22960693.8898635
"Feature0044",14047742.1107292,23723487.6002651,19623266.348327,21361643.5510314,23498721.9759131,19900926.7962242,12785925.1985337,24974992.6203933,7760795.40020932,14088596.6076328,16369120.0570933,471612.252277811,566173.625769103,853594.154884369,16676391.8260895
"Feature0045",655149.40954649,716296.431956365,886825.602219135,1197425.62189804,1069969.91789568,472212.112057291,474396.08603614,260105.535102925,676491.325237598,400956.547759579,729685.441076674,539102.514479755,696262.505167797,1139456.64264092,491111.251261736
"Feature0046",20345514.55119,11753396.7422038,6802207.07165332,11967744.1463855,10421516.50808,5918474.30577844,6065066.71106342,6052633.86537333,7913615.31144054,13008962.5806593,4962293.40646759,11036814.3896599,16180470.0783221,17379518.9671854,7386253.49955905
"Feature0047",1682929.73090372,1563964.97398657,1947600.24134789,874017.61271746,486093.765211607,632666.878414981,1354825.8669787,999793.833489198,1112067.46761371,1689923.36234615,888168.841856676,1055326.92416043,1463867.39805107,3255945.23017039,3337425.13533984
"Feature0048",4288794.84319105,2882329.71804974,482241.736250492,3058287.43415144,3820995.88049655,3116002.27428619,3516124.09597795,335784.606321506,3268690.83242415,2986150.79837551,2526154.08158495,4477104.72562536,4278432.06896564,2991448.39454086,462176.658951761
"Feature0049",322274.667247027,185058.499741744,376530.594976617,248794.87959691,395076.597995974,258665.101321367,108931.596209679,219326.130409,166939.102598137,196091.789395386,486466.499976964,310935.944028029,308867.816855401,168610.045716021,149776.132463977
"Feature0050",960158.319164134,3873266.16983696,10120700.0506471,8658260.61299997,12605706.5071059,9925084.7586944,368215.100203434,10595919.9238098,748823.387522315,630051.414643969,15209557.5557107,17177213.1129163,5853554.05177387,3152639.53,4943029.33275633
"Feature0051",186123.397416313,333027.866798456,73820.8958418348,194643.452186145,159471.563611502,90294.7975617857,210242.167245507,41692.6333464544,268684.487777404,417535.850899164,402999.623868953,248902.845150328,188619.703663712,245183.47817798,106330.52981595
"Feature0052",8533363.68318659,9849829.82316254,4359424.19521027,6671203.66366319,9898785.99219644,6091423.49431437,4462992.78215452,6896238.89170222,5496556.84715869,6212545.48920125,5834641.11991727,6487808.19822227,10251691.8670409,6958207.24515218,7812790.53469992
"Feature0053",27261453.6012501,20771787.8728185,17328692.3989857,19084998.2392493,24366580.5362237,13656745.5749578,18406205.2180471,16108982.2345183,19671553.6794713,19981451.439581,14815982.2960782,14664574.6105667,10543507.6996095,24559939.9849153,21863575.3837191
"Feature0054",2867903874.6113,1180210039.05266,255065550.393555,33785083.0772483,1329048714.40668,818685530.376365,1039391699.49506,299622398.584674,1486137281.61534,1700950542.31391,641374141.414496,675831215.081825,1067915446.00939,1373094511.60521,448655304.583701
"Feature0055",19435889.2071115,13602701.3658684,15514982.6492503,17544111.5282056,11217324.5923205,15840814.8825386,23958256.6279118,12505742.9497461,13538232.1984778,20609608.6091384,12690815.9337097,11401422.0484293,14653458.1865552,10093190.6427658,12028050.5744221
"Feature0056",344531.542048224,316831.930528428,508097.826132267,464878.164168061,583137.642274275,244652.580730873,125773.304958599,602205.041095383,191567.072542603,231426.311052107,530295.201069204,578953.020856791,408432.143317062,247687.737101445,265341.504336831
"Feature0057",519769.150963071,312548.416467839,199919.18155281,290587.521216558,271668.526244528,168305.062143882,205865.714485798,203493.190629664,295548.02977563,347865.614755276,167618.077744222,145378.312211183,213398.013609328,255301.322475073,224515.201021126
"Feature0058",33049664.6897299,27413224.3523708,6296564.63734573,23641183.7244971,21599632.0550053,17053697.7362519,19539811.3951052,17805670.2320931,21609749.7775706,26682422.9960776,16991618.9436326,18029933.107921,26083256.0270691,30875262.488655,20279825.2165852
"Feature0059",527466.975197368,325254.846443273,227167.592869224,308874.040740472,308048.362329736,258140.3453183,182707.162790817,284272.895459013,272854.428626133,354696.798006985,264374.071107448,139984.659067834,210691.848600325,323955.345364347,235309.566882898
"Feature0060",1027716.947749,1327715.57298916,3256367.50336633,5836637.72475275,26163212.2374636,9077017.13024987,1228605.07810198,4146226.81360765,788339.136599852,1176263.57985136,2115191.55315913,5777119.50289977,1246736.17424263,687692.438966771,2648741.75015866
"Feature0061",366835.56073664,210016.941593764,117080.270975272,172181.927469169,180734.70301554,108857.032466606,132939.956003099,129451.546084571,197285.106454317,235588.093349747,94428.4176125317,659994.943119965,154296.596376622,315163.520237733,145654.269208253
"Feature0062",21269021.1221177,3915414.16371403,467342.480349933,4824427.07109253,5379850.16298249,7077250.54521208,8989285.27285899,1241149.79503709,16960698.0244817,11188557.0521442,9155527.08562865,5589449.77163788,6728230.56190594,12408368.0345914,1828248.61276431
"Feature0063",632906.534091345,861775.138023461,1798824.27367061,1017870.92809635,1025743.23579479,643110.100870319,2306728.64017038,1555888.91311945,1038391.66484557,1344185.72024151,4834758.15323171,3379957.11502217,1517800.966607,149286.040677988,979087.482542627
"Feature0064",3696872.0190705,3082147.07695395,3528062.34594045,2674518.52388429,4065344.86317427,3626640.51432788,3587489.96484749,3471799.50934535,7429226.97198778,3738632.87564213,4726281.79571685,5085259.57913136,2444375.03065716,1927551.15427246,4781243.8592633
