"","10plus_RP_pos_MS2","18plus_RP_pos_MS2","20plus_RP_pos_MS2","30plus_RP_pos_MS2","3plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","7plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0244",135303.037,219428.1353,102663.0617,137004.2692,127377.2358,99504.24892,130248.7157,129455.1659,180342.1961,122269.1018,92314.68237,136364.2482,140104.4018,159684.0303,113633.6811
"Feature0245",661621.9448,715734.0686,606500.1575,627139.8134,716178.3486,668075.0713,683095.5874,670109.2458,693284.6489,670735.5269,532826.1806,832591.776,672725.1033,2275793.946,747989.1645
"Feature0246",9359751.381,14405909.8,4980222.354,5040802.923,8980086.468,3220049.785,4102051.058,8512795.989,6897790.65,5906322.778,5728812.326,9704660.846,6051363.687,8498375.456,2897652.021
"Feature0247",21426151.18,16272528.98,6291114.098,9905694.401,5802462.616,3511069.926,5804943.439,10937901.98,7282924.574,7052075.608,6748052.164,18127075.99,8027484.235,10899361.95,2762611.561
"Feature0248",1383755430,1536457325,544023522.7,624901974.2,583238584.9,671798124.1,764434795,836659389.6,1192918207,499242135.5,565988148.8,1278726560,629028690.7,748078083.2,573833848.2
"Feature0249",3937488.403,4849248.038,1594005.188,1988491.984,3432301.396,1857052.588,1868585.147,3972399.139,3592408.781,3279631.229,3022475.787,4715570.58,3482264.337,3963740.193,1277957.513
"Feature0250",98864242.67,92662853.24,70676838.27,61298780.08,123327894.1,50520833.54,69374658.19,142395117.4,157168458.7,85355424.4,89244936.8,139446090.9,112799834.6,108215482.1,41080319.3
"Feature0251",282115.832,368971.0183,2359184.226,1361918.486,698810.4489,1729524.05,2614860.748,846543.5634,600065.4353,521975.3896,2360830.309,609855.8159,622312.4934,530031.0925,513866.9914
"Feature0252",105739.5733,109749.75,152625.1294,152033.4099,118186.647,88956.82419,116200.476,136964.6762,162468.9562,154680.499,98614.53958,112040.1118,108755.8487,110112.6847,137661.6786
"Feature0253",2829231.197,1771561.217,2658974.153,2431323.708,4968867.188,2449275.581,2770617.002,5064708.002,6256083.905,3991033.129,3176052.306,4663465.322,4630088.333,3636207.972,1248974.518
"Feature0254",6847134.754,3790668.847,5861492.923,4822244.176,82616.14517,4984117.465,6984564.088,14276099.9,9350528.358,7917530.982,9193303.615,15341270.43,4726496.452,7738480.45,2292774.559
"Feature0255",5780302.092,7075921.138,2733224,1221587.191,103028.4801,79905.79931,152668.4346,119917.1269,111728.918,100146.2386,1702917.753,3929192.873,105568.0774,689480.8976,1102084.302
"Feature0256",3371882.218,4133810.223,621231.0244,393345.723,2912030.76,292658.93,321221.8658,771858.9463,2905099.135,2586388.663,246759.8722,405991.3344,3559254.561,3075192.499,313834.2938
"Feature0257",166600112.9,162344709.6,117761163.2,107379557.4,190243076.3,75162869.39,108129607.8,184046192.1,163477648.2,149046031,5036835.804,6307970.884,188426380.1,191674233.4,75564654.54
"Feature0258",278337.5576,937992.3005,417057.632,229152.0897,75700.91682,207065.5479,84475.42824,362010.4646,243811.2584,202455.0161,21219968.14,11500893.63,305353.0003,359919.8936,216840.6152
"Feature0259",479697.0563,267434.4656,36156.96268,30410.99985,118795.7945,42556.42033,31723.9811,306807.3416,245601.4228,106865.1655,106241.3106,824897.3547,72137.25522,61792.10111,22905.70286
"Feature0260",748308052.2,732755411.5,604874295.2,546346028.2,811056011.7,466762507.2,578544525.3,841004869.5,819606098.7,622116547.8,5292320.465,4852387.171,785518259.4,777931123,400932431.3
"Feature0261",62940976.41,37376714.72,34903741.65,30328851.85,20483932.48,31357327.87,15636804.77,71014930.91,25204288.94,29267945.96,644678111.2,924355302.4,26759018.04,34464071.87,21104958.35
"Feature0262",7308390.78,2215552.44,25366085.73,2016419.483,15284176.88,3769441.272,2184798.527,7094132.705,6981532.582,9181665.181,1558392.877,8015704.776,24428771.94,11619297.31,1455944.908
"Feature0263",391067.4221,1193856.429,209277.1633,588046.6328,305752.4216,255663.8362,181505.5043,332205.9538,179929.8224,267683.1355,231517.4734,793617.5258,487082.8796,224185.4567,304847.2092
"Feature0264",119109.2883,82305.29304,112524.5698,94024.05676,97514.39167,103222.616,125481.8983,122586.9134,69479.54509,73053.54238,93703.23772,92140.17638,112986.7639,109518.6371,91179.25335
"Feature0265",195259159.8,242446062,199712517.3,163222849.1,204072270,143030537.4,180584543.9,225867936.3,212515982.2,153444388,185197413.9,225736686.2,158765245.5,199102534.7,118577020.8
"Feature0266",7210661.814,13600819.01,10726646.98,18552898.71,3331223.513,14766360.49,13591579.83,1384974.443,1212416.842,2801423.594,14520462.39,1358612.638,907411.4554,1759240.465,11265206.78
"Feature0267",1174946.146,295420.749,139572.237,787532.5498,229995.3627,605147.8391,534476.5867,1200916.92,667104.578,826212.4224,141930.8764,200044.6122,1026934.033,1091653.83,383716.4216
"Feature0268",2387039.721,249122.7119,1783440.046,1139287.591,205000.3045,7450410.485,3374546.098,239153.2497,1783537.169,2570043.748,124644405.4,124534982.4,835047.3616,157751.0754,173656.5003
"Feature0269",160931.6201,355674.1648,195117.8384,161689.564,220087.9108,285703.9862,372950.4618,349460.0494,309703.3113,427215.0057,223559.7229,284195.667,247850.4945,439407.4404,248737.6851
"Feature0270",82838322.2,105180498.5,52322049.74,46860224.95,85933215.21,33382691.78,49911232.69,97410685.57,87000677.47,79398641.8,57918264.97,90170693.07,84050141.07,95166541.8,30498016.52
"Feature0271",178403.9069,180332.2082,182042.8655,191906.5875,178087.7405,187192.9039,189981.2692,193145.4214,192876.8235,175797.9352,182849.5182,186587.5914,181542.1696,178465.7722,187731.9587
"Feature0272",25076876.64,34582693.63,22119504.34,12065279.62,24622793.63,12240147.4,12414428.62,27174261.74,38031020.6,23826371.56,22523745.67,49682304.11,19238322.14,28055949.65,12381349.43
"Feature0273",753361.4082,12350728.04,88727.00376,85161.32917,219970.7618,82799.96819,109310.0553,99646.22939,112286.8577,83962.45875,132684.7168,389016.3848,283435.1819,152987.5862,69280.49391
"Feature0274",20798153.13,66624413.97,10734988.21,7314677.595,15792813.72,8280107.43,8470021.956,20567343.45,18614949.14,14110952.07,8902525.361,19753412.8,16620486.83,16101406.89,3418934.697
