"","10plus_RP_pos_MS2","11plus_RP_pos_MS2","12plus_RP_pos_MS2","13plus_RP_pos_MS2","14plus_RP_pos_MS2","15plus_RP_pos_MS2","16plus_RP_pos_MS2","17plus_RP_pos_MS2","18plus_RP_pos_MS2","19plus_RP_pos_MS2","1plus_RP_pos_MS2","20plus_RP_pos_MS2","21plus_RP_pos_MS2","22plus_RP_pos_MS2","24plus_RP_pos_MS2","25plus_RP_pos_MS2","26plus_RP_pos_MS2","27plus_RP_pos_MS2","28plus_RP_pos_MS2","29plus_RP_pos_MS2","2plus_RP_pos_MS2","30plus_RP_pos_MS2","31plus_RP_pos_MS2","32plus_RP_pos_MS2","33plus_RP_pos_MS2","34plus_RP_pos_MS2","35plus_RP_pos_MS2","36plus_RP_pos_MS2","37plus_RP_pos_MS2","38plus_RP_pos_MS2","39plus_RP_pos_MS2","3plus_RP_pos_MS2","40plus_RP_pos_MS2","41plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","47plus_RP_pos_MS2","48plus_RP_pos_MS2","49plus_RP_pos_MS2","4plus_RP_pos_MS2","50plus_RP_pos_MS2","51plus_RP_pos_MS2","52plus_RP_pos_MS2","53plus_RP_pos_MS2","54plus_RP_pos_MS2","55plus_RP_pos_MS2","56plus_RP_pos_MS2","57plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","6plus_RP_pos_MS2","7plus_RP_pos_MS2","8plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0039",NA,NA,NA,NA,NA,NA,NA,NA,NA,69839801.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31944963.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,251157.5021,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0040",64442899.93,27958305.66,NA,32647962.75,NA,48263257.82,NA,NA,72278022.55,NA,NA,NA,70289431.45,23013967.48,NA,10788708.43,20394755.22,NA,NA,NA,NA,NA,NA,12950635.79,NA,55407751.82,NA,14169868.22,28855588.52,NA,NA,53185018.61,NA,NA,NA,NA,72102644.76,62538351.55,NA,NA,13860982.91,40212898.08,22244300.44,23530445.47,32629689.16,NA,NA,NA,NA,13004668.9,NA,NA,62354976.5,65359343.28,49161518.05,53124711.33,27300384.82,NA
"Feature0041",62982119.95,NA,47094749.16,NA,56662508.3,64964356.08,54421513.71,53849529.9,68233982.49,46337595.07,NA,51144092.4,60804030.22,44702205.93,52274354.83,57447149.2,45998392.04,63411934.19,NA,41770805.62,46999898.43,46260685.79,48049063.86,56990479.41,59818698.78,49079584.92,48695630.63,NA,44381461.62,62487343.27,56422194.22,66043936.24,52175261.63,NA,35454993.16,51081038.4,74202769.16,71223054.13,66381072.48,NA,NA,42042161.8,44658837.13,NA,38988208,51907348.25,52239450.49,45352607.42,NA,NA,43943217.42,50195628.18,NA,68619153.48,55616891.7,65317598.19,NA,NA
"Feature0042",NA,20824821.01,NA,19827375.66,25817424.79,28229748.18,NA,NA,NA,NA,NA,NA,38209559.87,NA,NA,NA,NA,NA,NA,16709461.26,NA,NA,NA,NA,NA,NA,NA,NA,22745348.17,NA,NA,NA,NA,436627.2155,63322726.71,NA,NA,NA,NA,NA,966719.6287,NA,NA,NA,NA,15362297.58,NA,NA,NA,NA,NA,NA,NA,54208331.58,33923295.18,NA,NA,57469456.43
"Feature0043",NA,65586860.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5262502.622,NA,NA,5356211.268,NA,NA,NA,NA,NA,NA,10079690.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5022259.921,NA,53835192.66,NA,34889214.17,NA,NA,NA,6231067.727,68360331.39,NA,NA,NA,NA,NA,NA,68272145.42,NA
"Feature0044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278464.9445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,403802.5874,NA,NA,270131.9041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0045",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27185419.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88288138.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2141558.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0048",NA,NA,NA,NA,72547164.92,74246865.77,NA,NA,95074752.53,NA,NA,NA,NA,NA,NA,NA,106602.1263,NA,NA,NA,51637829.17,NA,NA,26431012.77,NA,NA,NA,NA,102000.1973,NA,NA,NA,46644110.94,NA,NA,733930.3539,NA,NA,23462098.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1058617.812,NA,NA,67844576.15,NA,NA,NA
"Feature0049",NA,NA,NA,88610964.07,NA,NA,NA,NA,59113915.79,80674288.68,NA,NA,NA,NA,NA,5959206.546,NA,NA,4578212.151,NA,NA,NA,NA,NA,NA,58978131,NA,6401870.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58553864.24,NA,NA,52377409.46,NA,NA,NA,6612313.093,75203501.43,NA,NA,NA,NA,NA,NA,71862360.28,NA
"Feature0050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57792471.04,NA,NA,NA,70379431.36,NA,NA,NA,NA,NA,82103182.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58835332.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0051",NA,87616226.89,NA,NA,NA,NA,NA,NA,NA,98381692.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,843397.29,NA,402835.0077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,428833.0951,88946309.09,NA,NA,NA,657868.1158,100003979.1,NA,NA,428992.8343,NA,NA,NA,85892947.88,NA
"Feature0052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130652769.1,NA,NA,NA,NA,NA,NA,NA,4531416.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55580284.31,NA,3328989.907,106805344.1,114181735.9,NA,33424478.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3582039.338,NA,NA,76942417.06,NA,98770520.6,NA,57297462.25
"Feature0053",NA,NA,NA,NA,NA,NA,NA,NA,NA,61663721.68,NA,NA,NA,NA,NA,NA,28486978.31,NA,NA,NA,NA,NA,NA,4792117.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6884953.813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0054",90680223.95,NA,NA,NA,NA,NA,159635173.5,72141063.85,NA,NA,NA,NA,89394148.39,73822553.59,42260278.14,NA,NA,46037755.12,NA,NA,144757617,53960271.32,113803451.6,NA,NA,32418065.04,92674831.06,NA,NA,NA,43803903.12,101378124,143101162.3,NA,NA,60173275.81,116148461.8,103458764.3,92056307.41,91938186.85,NA,NA,NA,NA,NA,NA,37937420.12,114100452.2,NA,NA,NA,66803256.27,NA,96887428.54,86323385.76,104342257.1,NA,NA
"Feature0055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6154711.211,NA,NA,NA,NA,NA,NA,852691.1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13176406.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
