"","10plus_RP_pos_MS2","11plus_RP_pos_MS2","12plus_RP_pos_MS2","13plus_RP_pos_MS2","14plus_RP_pos_MS2","15plus_RP_pos_MS2","16plus_RP_pos_MS2","17plus_RP_pos_MS2","18plus_RP_pos_MS2","19plus_RP_pos_MS2","1plus_RP_pos_MS2","20plus_RP_pos_MS2","21plus_RP_pos_MS2","22plus_RP_pos_MS2","24plus_RP_pos_MS2","25plus_RP_pos_MS2","26plus_RP_pos_MS2","27plus_RP_pos_MS2","28plus_RP_pos_MS2","29plus_RP_pos_MS2","2plus_RP_pos_MS2","30plus_RP_pos_MS2","31plus_RP_pos_MS2","32plus_RP_pos_MS2","33plus_RP_pos_MS2","34plus_RP_pos_MS2","35plus_RP_pos_MS2","36plus_RP_pos_MS2","37plus_RP_pos_MS2","38plus_RP_pos_MS2","39plus_RP_pos_MS2","3plus_RP_pos_MS2","40plus_RP_pos_MS2","41plus_RP_pos_MS2","42plus_RP_pos_MS2","43plus_RP_pos_MS2","44plus_RP_pos_MS2","45plus_RP_pos_MS2","46plus_RP_pos_MS2","47plus_RP_pos_MS2","48plus_RP_pos_MS2","49plus_RP_pos_MS2","4plus_RP_pos_MS2","50plus_RP_pos_MS2","51plus_RP_pos_MS2","52plus_RP_pos_MS2","53plus_RP_pos_MS2","54plus_RP_pos_MS2","55plus_RP_pos_MS2","56plus_RP_pos_MS2","57plus_RP_pos_MS2","58plus_RP_pos_MS2","59plus_RP_pos_MS2","5plus_RP_pos_MS2","60plus_RP_pos_MS2","6plus_RP_pos_MS2","7plus_RP_pos_MS2","8plus_RP_pos_MS2","9plus_RP_pos_MS2"
"Feature0017",15605612.85,3569951.532,6861265.826,3697430.944,7835224.62,11940454.76,41402067.87,12244544.81,13945482.85,5959618.287,5772720.377,11147031.5,14424074.1,12591835.28,6930176.013,36643826.24,7648268.582,3845374.233,29288828.72,9522248.402,33070548.9,10108237.34,22311527.45,40277745.66,1970413.287,4319732.991,16879728.81,37386866.67,5409304.065,3993034.308,7477963.522,17299300.7,31724700.36,37859576.79,6277329.751,10375342.98,21068168.38,19222890,13900493.5,22015975.74,17506352.51,4711046.454,7175662.917,6460873.334,3201489.263,8642725.98,4749739.474,22874892.34,38490107.65,10329101.64,5155244.177,12621436.11,23543722.39,17959636.75,3387278.664,15048953.55,16679198.12,4739341.076,6773753.95
"Feature0018",15764407.1,70963734.01,21668650.75,101305641.1,17983274.43,3507979.902,183079147.9,127512194.8,6571271.843,133224265.1,14682180.76,17369589.27,21319379.16,119909987.6,20298067.99,218842945.3,224024246.4,11045983.08,154222949.1,204558575.2,176064551.4,17206884.56,147633025.5,195802770.1,7588660.593,5300270.227,174218179.2,280438806.2,86666298.55,9387379.073,22090161.23,18152695.2,164775011.8,243394532.9,12474820.97,14663993.99,18571127.46,22733212.52,17345111.73,31853351.51,123271948.2,67002712.14,158865626.2,230231462.2,64632306.46,198835143.6,10773959.98,170951675.2,210247988.4,157112391.9,121232130.8,17869543.86,15218358.83,15330498.46,101159854.7,19658194.57,15982042.75,89606254.45,13298129.47
"Feature0019",9538221.14,32688625.1,35998308.34,32841948.5,35322080.74,40448055.08,20086209.78,22814427.87,10803035.73,55184813.47,23033309.09,15772465.94,13351004.96,7723917.469,22350031.56,17413127.89,41143829,27215023.96,13155752.77,59287423.4,15221130.38,12873695.34,10541142.21,19560487.49,19591946.61,4884904.787,85286562.44,18406831.02,53624119.51,20919509.14,43660824.47,15109651.36,15172729.18,17673350.22,10138048.74,15635989.92,21116722.52,29742552.28,10573331.77,38730773.53,7789695.598,35084206.19,39182257.15,27942934.73,29580259.73,79325970.66,27528339.07,11419119.24,19354515.99,77182787.28,39933235.51,22844418.53,15994686.15,7551060.908,16279884.24,14948177.69,14101178.12,33525423.71,7870454.051
"Feature0020",115706.2144,19427578.75,88202.1422,14382265.23,91413.62191,111234.4528,137927.6245,109236.1146,122814.7782,27404385.7,61073.48099,110825.8978,108750.9639,76046.26233,84904.37027,118241.4044,17571199.08,156002.2659,118176.9979,22232063.26,110648.9786,89636.22962,101848.3009,155707.1522,144344.8846,99389.53444,29890267.83,154942.8349,23351205.37,148959.3896,94287.49045,114431.9474,124227.0571,153572.7473,84715.3473,204855.514,112073.464,129795.8502,127837.1397,173495.4315,98278.72493,20823582.93,8934946.797,352128.5389,18487423.15,17137519.98,69747.40073,115331.4604,148079.4836,35107244.71,20650018.67,84562.72902,135086.3951,121216.1537,23094443.17,149230.2671,115718.4101,18451527.08,84944.82923
"Feature0021",25196534.76,10682020.65,14252876.67,8550248.628,71554427.04,81792635.36,605643.4533,1015909.623,14964212.02,12551912.39,9306302.452,1072698.478,84950686.87,1632337.359,24645595.45,811740.4187,9247409.084,46305902.84,845807.7732,12094152.7,866153.1403,784320.6969,766693.3835,879999.3735,40450676.43,17459085.1,13804535.82,1327288.35,10399612.52,46495713.7,19531831.12,1711383.426,540774.418,939522.4138,973703.9694,797109.8111,3061512.939,2629447.995,1390273.889,68834038.48,860692.0464,6881489.596,11386333.95,37599513.97,8250996.501,14289215.68,39359920.17,912979.13,798531.5806,18424057.92,10704542.06,727362.9917,17109254.25,2958796.728,9285142.337,63073616.73,2416370.304,9676758.626,889696.475
"Feature0022",35767000.73,3946689.784,24555745.88,3393102.085,45484805.94,61635917.4,595337.7355,889650.3079,32045563.63,5805570.442,25697169.12,25855965.44,34433468.61,1247806.737,32507133.26,677163.5507,5616917.242,53158422.42,873107.5924,3777142.018,1171318.916,19963351.41,720255.1328,427806.2076,56036049.24,33551515.24,4487431.768,675965.4215,4554988.878,47202444.56,32081813.27,35641739.93,552711.2371,411940.6435,31273478.32,24359998.61,35857800.58,36289465.47,36229211.1,39614835.91,1163739.292,5025818.031,4190526.074,3426615.47,4277282.892,5683074.105,46826030.97,827742.8383,973305.4698,4232800.545,4718322.299,20066596,30175286.02,30326703.4,4921706.766,51923096.07,37049043.44,3748735.693,23398736.2
"Feature0023",72848062.86,66943644.22,77097237.53,69661546.5,73013195.07,72380730.71,80626840.95,70179468.34,73841856.98,64139422.3,375301.7732,74179774.89,80348272.6,78155219.71,77394740.7,79195986.4,69464130.03,76976844.09,77774577.26,60131360.77,3852363.203,77768686.13,74870698.68,73547768.07,74581592.45,73908315.79,65573206.48,75313274.03,59703414.24,74515998.06,75078749.14,205807.3791,79223898.41,76876423.67,72906037.81,80721919.86,71397616.89,76262203.59,76376116.34,84275805.76,79798859.08,70497573.87,67043037.65,75852287.3,60933843.37,70656270.46,81770406.62,78191982.25,81892428.36,65159505.3,53018540.33,54457916.52,53664955.65,70422552.9,48025688.58,72187965.38,70475885.28,68282118.82,63369437.16
"Feature0024",17375503.41,13659493.67,5228471.709,14456192.68,14963664.18,15873766.96,6497147.053,5800124.578,20908979.68,17843214.38,3388980.072,7421225.637,12066085.39,4395430.268,5331204.419,5545861.826,16481852.72,15687119.58,5480129.727,18101779.5,5703178.205,7186838.97,5560001.071,6975623.286,17473648.98,11293027.19,19581206.17,7309276.404,17498172.7,15553101.28,4925865.264,18004747.58,6026315.321,6458054.772,5328357.086,6960351.964,18528295.5,18125395.35,15983690.78,7258281.736,4617193.019,10869955.74,14818452.19,12849235.53,12981505.04,18914870.06,9132030.598,5152005.705,7426853.662,18761182.88,18067649.09,9831759.896,18294595.91,15322943.43,15954379.36,14752036.48,15469403.02,14606985.62,4832938.869
"Feature0025",81131.72477,15678891.24,87614.61246,14620005.66,101008.1555,132126.0812,410975.9114,297133.163,292127.0176,23454811.17,47170.81668,52364.4639,80846.20018,100297.2819,58382.51631,470029.6112,14902813.18,1029602.661,145526.6785,22394144.4,408362.2422,36395.95602,276819.219,415989.4117,1581918.918,935762.5776,17382477.04,495496.3829,19455127.66,1237583.183,72593.71529,82701.73661,323750.497,303097.8114,61433.06288,59239.50847,72247.9657,85732.31421,53011.18425,169553.9326,348999.4544,886587.2789,19064576.76,3054258.607,14102601.05,19260546.59,61366.73615,229812.4687,406885.2831,23969599.86,14837501.52,61268.17281,113929.21,107136.5048,17920028.96,95299.28411,71355.56584,22386319.95,39192.66284
"Feature0026",12023828.05,8239171.597,12729278.92,12576027.09,13195578.54,15106518.01,13371803.28,15576024.83,13641148.08,14683941.3,11646346.91,14576941.38,16544756.48,15444679.77,13725791.74,13020200.43,16250509.7,12119534.67,11914004.38,13526635.28,14876965.95,12761411.08,13468309.27,12186582.63,10167147.2,10964361.41,15410831.4,15465992.06,7542340.056,10803039.47,16597349.41,20730478.59,14748387,16441425.38,12840725.1,17230017.39,19353624.43,16188377.56,23645460.27,13547850.43,10141607.65,6903848.55,11788450.05,11001769.38,7274433.168,15315104.19,10622992.82,11260423.88,13171260.75,14435980.32,12923783.52,14289251.74,15939616.95,20109660.83,14470953.06,13422586.4,23792187.76,10245281.97,11725388.48
