"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0125",0,0,0,0,0,0,0,0,23.9873172358678,0,0,0,0,23.5906109238635,0,0,0,0,0,0,0,0,0,0,0,24.0286821909173,0,0,0,0
"Feature0126",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9639063662883,0,0,0,0
"Feature0127",0,27.7990099740959,27.3004410162114,27.3616944033717,28.0122737809453,26.8335482428882,27.3553966916929,27.8153802949665,27.5535203794816,27.9961167091656,27.5410440692457,27.5339276446303,27.9337065939975,27.938450522156,27.5863470250163,27.988628980073,26.8449863088097,27.0203933962469,27.6290115816615,27.8914780907131,27.2906579834054,27.227688518897,27.6824235358263,0,27.4452300632551,0,0,0,27.7031922226774,26.8372570733979
"Feature0128",0,0,0,0,0,0,0,0,0,0,0,0,20.6614709687777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0129",0,0,0,0,0,0,0,0,0,0,0,24.8338386357143,0,0,25.6692274536938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0130",0,0,0,0,0,0,0,0,0,0,23.6791303237399,26.5653922667645,0,0,25.9329102224107,0,0,0,0,0,0,0,0,0,26.2691541846316,0,0,0,0,0
"Feature0131",0,0,23.0603333878429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0132",0,0,0,0,23.3117482642099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5853808198389,0,0,0,0,0,0,0,0,0,22.9370309364483
"Feature0133",0,0,0,0,0,0,0,0,0,0,22.80427984253,23.254209327596,0,0,22.8624470143415,0,0,0,0,0,0,0,0,0,22.6572469930728,0,0,0,0,0
"Feature0134",0,25.2529764920891,0,18.3580535303433,0,0,0,25.8281346574841,26.276911460484,18.1550308575655,21.185898973678,25.1461529970062,0,26.5654613928531,25.0799437668813,0,0,0,0,0,0,0,0,25.0191336293625,24.6903963051398,26.8936548068785,0,0,18.8236650739515,0
