"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0056",18.0106370975471,25.038814311057,0,21.5591328587063,0,0,0,26.0015355557791,25.8515273798442,21.6687526516289,23.5558491152349,25.034167639376,26.8169904381039,26.0689007086727,24.9051141996897,0,0,0,0,0,0,25.9077390059919,0,25.2814388273687,25.1444577380353,26.4272901332803,0,19.6586529512392,21.5479217647795,0
"Feature0058",0,0,0,18.6063610777623,0,0,0,19.4864529851482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8753668408498,0,0,0,0
"Feature0059",19.9170755866354,0,0,19.4869142656058,0,0,0,19.4270170043298,19.3498974740017,19.4727837513638,0,0,0,19.4273836667805,0,0,0,0,0,0,0,19.5462766988096,0,19.8732340185885,0,19.900021582697,0,18.6465772728746,19.700287615102,0
"Feature0061",26.2032226828101,24.5213757514296,25.7600737019586,26.2949031820817,25.8216406516699,23.4020772830421,0,24.8003118034111,24.7649512049657,25.8424737384714,26.7225481484622,24.8401298788538,25.5214864599725,25.5326848901718,24.6313368563104,0,0,23.2671868617244,24.5377765959319,24.1538196530343,24.6792947011622,25.0739931219495,0,26.1695667204574,23.5792639253259,25.453743674222,22.9821527929629,25.5229353434322,26.731678334008,22.9824636114077
"Feature0062",0,0,0,0,0,18.4987764080815,21.1477548507728,0,0,0,0,0,19.4608073393497,0,0,0,0,0,0,0,19.8317467875692,0,0,0,0,0,0,0,0,0
"Feature0063",0,0,0,0,0,0,0,0,0,0,0,0,23.1094527094357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0064",0,0,0,24.4072612245706,0,0,0,19.1746504364802,0,0,0,0,0,0,0,24.0089048922737,26.7560291582802,0,0,27.7492177796261,0,0,27.4872090531994,0,0,18.9525341015831,26.9927562466844,27.644646929133,0,26.5471109128912
"Feature0065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.1520840346679,0,0,0,0,0,0,0,0,0,0
"Feature0066",0,27.006702319607,0,0,0,0,0,0,0,0,21.2605457209798,27.6412810810876,0,0,27.6229942751746,0,0,0,0,0,0,0,0,0,27.1139433115976,0,0,0,0,0
"Feature0067",27.3529852392968,0,24.2905954231514,27.0054106095417,24.9600124246411,25.8477420682518,26.0157898133006,24.3240755990614,24.3123019038478,27.2583640769213,0,0,24.8674379935453,24.5393357179127,24.3778007971324,0,0,24.946854465731,26.0777310172348,26.3363039575854,26.3297760939373,24.4414126478666,25.8131140340197,26.0572012438447,0,24.5017758036576,25.3287195442216,26.946327718395,27.8856090770543,25.1466962431791
"Feature0068",0,0,0,0,0,0,0,0,0,0,0,22.7350523700783,0,0,0,0,0,0,0,0,0,0,0,0,26.8365031571561,0,0,0,0,0
"Feature0069",0,27.1172846877093,0,21.485954283302,0,0,0,0,0,22.6823058125756,0,26.7078631904164,0,27.7678697391275,0,0,0,0,0,0,0,0,0,0,0,28.2345051354954,0,20.5368407336461,22.3027861189201,0
"Feature0070",28.2216943044116,0,27.2414415037006,28.3761431844945,27.1658591909428,27.5792988876018,27.153831497345,26.8704791815941,26.6945387102191,28.4815022606193,0,26.428239642535,27.1385600308306,27.0401240441621,26.6850264159404,0,27.087142531949,27.5783237885761,28.088957498348,27.7065819282307,28.0390933554574,26.4603557413509,28.041382133295,26.4014333120943,26.3059643204225,26.802905065172,27.6874284646024,28.2249474737033,28.7737717503101,27.1886909750495
"Feature0071",27.8421881657776,0,25.1546100140988,28.4731514107978,0,0,0,0,25.1666126247744,22.6019353637476,0,0,26.1029749904779,25.4005135043672,0,0,0,0,0,0,0,0,21.7766878953624,27.3544804982266,0,25.669847761119,17.2552365231651,0,23.3797779014031,16.4287058083477
"Feature0072",28.0792086589709,28.3964558630264,28.9640738558059,27.6231394109441,0,0,0,28.5157737324211,28.3571237051058,26.6415680795095,26.9261613438268,28.1095952615777,28.6567725983591,28.7046267570781,28.3021881177213,0,0,26.2802633398394,26.7084796727783,0,0,27.9276482545628,0,28.1088448924626,28.0074700306887,28.4953155459509,26.1582955030901,27.7905704435345,26.9007118290562,25.6995717770835
"Feature0073",19.774455253411,0,0,19.3200709705317,0,0,0,19.8667335374929,19.519487224973,19.7397066188268,0,0,0,19.8309724523832,0,0,0,0,0,0,0,19.5080895914869,0,19.1804464676922,0,20.1875223155941,0,19.2455200647481,19.8740770837608,0
"Feature0074",20.6114788719424,0,0,21.2734760078162,0,0,0,20.0465032575616,20.5642550376789,20.8726164371308,0,0,0,21.3210593384438,0,0,0,0,0,0,0,20.4977879954828,0,20.7070945102429,0,22.461460157976,0,20.2690154152703,20.8864066293414,0
"Feature0075",0,26.3553049797113,0,0,0,0,0,0,0,0,24.0088247325987,26.3640975148714,0,0,26.3846506315748,0,0,0,0,0,0,0,0,0,26.2835620906388,0,0,0,0,0
"Feature0076",0,23.0565990363005,0,21.8627299845088,0,0,0,0,0,0,26.0352081998863,23.7074269495215,0,0,23.3783871517063,0,0,0,0,0,0,0,0,0,0,24.7055355302623,0,21.6607583017486,0,0
"Feature0077",0,24.0026990346665,0,0,0,0,0,0,0,0,0,0,0,0,23.9102832479643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0078",0,0,0,19.6342945176035,0,0,0,0,0,0,0,0,0,24.456757560362,0,0,0,0,0,0,0,0,0,22.5683376906974,0,0,0,19.797077080172,19.3534369339817,0
"Feature0079",0,0,0,18.5198418013137,0,0,0,0,24.0531741724262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5193166368346,0,0,0,0
"Feature0080",26.3973400532419,25.4519665374661,26.0904855667521,26.4083086036135,25.9702510778868,25.9444713257879,26.2646195980583,25.6413148951151,25.5412971241712,27.0137019708,28.1153736389267,25.3953495497961,25.8461827479435,25.7944204262912,25.5505723602224,0,25.404261256563,25.990798566859,26.1512354806252,26.0300072023241,26.2594531298823,25.5884690968259,26.0011798708828,25.6729586452357,25.3574705520997,25.7149699387391,25.70068565475,26.2371562844302,27.1718225584167,25.7020819575624
"Feature0081",0,0,0,0,0,0,0,0,0,0,20.649752278776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0082",0,0,0,0,0,0,0,0,0,0,27.6822262892604,0,0,0,25.0827986005687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0083",27.0762597362541,28.879804111638,28.2833499719616,28.0698466219027,29.1109273061359,27.3215311335516,29.197618196437,29.065545597731,29.0738117220123,27.6853539366337,27.9282757064124,28.7662970650171,29.1080841468615,29.1020280734663,29.0217364955136,29.0650457825965,27.1356331484569,27.0623324158236,27.4383340728326,27.7359393694498,26.7952477850555,29.0030513616109,26.9191532132485,26.8233959644585,28.8479973081195,29.0495933535927,27.3485722164596,27.4338724860203,27.1655231072901,26.9654655219445
"Feature0084",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9406785986049,0,0,0,0,0,0,0,0,0
"Feature0085",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9844513293832,26.4272489964589,26.1884852374509,0,0
"Feature0086",0,24.4159810305905,0,0,0,0,0,0,0,0,0,24.5078613511176,0,0,24.5036562293472,0,0,0,0,0,0,0,0,0,24.3530373602208,0,0,0,0,0
"Feature0088",0,0,0,0,0,21.8092577395008,0,0,0,0,0,0,21.7852039449703,0,0,0,0,0,0,0,0,0,21.0403617162484,0,0,0,0,0,0,0
"Feature0089",0,0,0,0,0,0,0,25.9936167707981,26.1739697974839,0,0,25.5260253188219,0,0,25.8716531266288,0,0,0,0,0,0,0,0,0,26.1407743637919,26.228187852592,0,0,0,0
"Feature0090",0,25.3424722576748,26.1763203997959,0,26.2139444430353,25.3894042988462,26.310265382003,0,0,0,27.5265555312763,25.3845748662373,26.0096155871458,0,25.5791607195322,0,0,25.0865979066764,26.0172350530835,25.9204861817989,26.0445509353506,0,25.9399988762386,0,25.2460535035874,0,25.2348468374235,0,0,25.0160420180266
"Feature0092",0,0,0,0,21.980558349216,27.0572209896744,0,0,0,0,0,0,0,0,0,23.4812467467048,26.5190044371428,26.7048205067213,26.7204780973617,26.80876838855,27.0019196613903,0,26.5281313239226,0,0,0,26.5940636977603,0,0,27.3153623970385
"Feature0093",0,0,0,0,0,18.8881653410468,0,0,0,0,0,0,19.1001005867916,0,0,0,0,0,0,0,21.1723124323518,0,22.4927835521937,0,0,0,0,0,0,0
"Feature0094",0,0,0,0,0,25.4353378155945,21.1750352095834,0,0,0,0,0,0,0,0,24.5159990614904,21.9875595090575,0,0,0,20.9043165011676,0,21.5992002299628,0,0,0,0,0,0,0
"Feature0095",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5217454737891,28.4265250936092,28.4286965268152,0,0
"Feature0097",0,0,0,0,0,23.037378688857,0,0,0,0,0,0,0,0,0,0,0,21.711024193984,23.3532945931478,0,0,0,0,0,0,0,0,0,0,0
"Feature0099",0,17.8178153398625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0100",0,0,0,0,0,0,0,0,0,0,0,0,20.4219982789647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4946506842336,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0102",0,25.8824173987053,0,0,0,0,0,0,0,0,24.216257419479,25.3210803613557,0,0,25.1838637875483,0,0,0,0,0,0,0,0,0,25.2272826883651,0,0,0,0,0
"Feature0103",0,0,0,0,19.5346790760697,29.2680052699012,20.7184695201285,0,0,0,0,0,0,0,0,22.4423406784293,27.2061058247621,28.3960772447306,27.1605142263772,26.5141971189835,28.1437576537719,0,0,0,0,0,0,0,0,0
"Feature0104",0,0,0,0,0,0,0,0,0,0,23.0844704098313,24.2038149901846,0,0,24.0727817155158,0,0,0,0,0,0,0,0,0,24.2908809539501,0,0,0,0,0
"Feature0106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9756537976488,0,0,0,0
"Feature0107",0,0,0,0,0,0,0,0,0,0,0,0,21.7526227242561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0108",0,0,0,0,0,0,0,0,27.7423254517712,0,23.2995633359941,0,0,0,27.2399981244951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0109",0,0,0,0,0,0,0,28.0585836700831,24.7296227659842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.2332620039581,0,0,0,0,0
"Feature0110",26.8610986035105,25.9893225401181,26.7655854080373,26.9069144899538,26.3006965676589,26.4822709194348,26.6368805503928,26.1936593002773,26.140076213709,27.0551992630609,28.1785553353454,25.7842963799117,26.3500032249219,26.279977812877,25.9269561044496,26.6948723225845,26.1367670960176,26.38903443037,26.6622273874276,26.5377598746529,26.6472346735151,26.1566439068053,26.6837271200848,26.1855002041559,25.8112828728613,26.2029857892067,26.3076764759296,26.9465509854405,27.5491405429546,26.3687775189602
"Feature0111",0,0,0,0,0,0,0,17.2382154750662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0112",0,0,0,20.5306285690286,0,0,0,0,18.7563435618126,20.8846694416228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3418461149396,0,20.8987226502935,21.2557427302577,0
"Feature0113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9544824479343,0,0,0,0,0,0,0
"Feature0114",0,0,0,0,0,0,0,0,0,0,0,0,0,20.6324332814359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0115",0,0,0,0,23.4523086898269,0,0,0,0,0,0,0,0,0,0,0,0,21.4679878352715,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0116",0,0,0,0,0,0,0,0,0,0,0,22.9711194788099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Feature0119",0,0,24.5742636638299,0,26.6440333852528,23.684565060906,0,0,0,0,0,0,24.5275695283585,0,0,0,0,23.4147039197663,23.6474338357857,0,23.264889478129,0,23.4856688500535,0,0,0,23.4253027355316,0,0,23.3909361261464
"Feature0120",0,27.2601628277192,0,0,0,0,0,0,0,0,22.0454772022784,27.1065960978931,0,0,27.2934375381001,0,0,0,0,0,0,0,0,0,27.2103343085928,0,0,0,0,0
"Feature0122",0,0,17.9622474401038,0,0,23.3295384977652,0,0,0,0,0,0,17.7117996065217,0,0,0,0,0,0,0,23.6459931226479,0,0,0,0,0,0,0,0,0
"Feature0123",16.8482321346689,0,0,20.1071467904213,0,0,0,22.4613469581429,22.0228290503648,0,0,0,0,22.0679649774165,0,0,0,0,0,0,0,22.0341527864151,0,23.2681250867499,0,0,0,0,17.5757528819532,0
"Feature0124",0,0,0,0,0,0,0,0,0,0,0,0,17.5336419977734,0,0,0,0,0,0,0,0,0,17.4524411569375,0,0,0,0,0,0,0
