"","10_CTRL_1154.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","2_CTRL_CTRL.2","20_ERIN_1154.1","22_BOCU_CTRL.2","25_ERIN_CTRL.2","28_ERLE_CTRL.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","36_ERIN_CTRL.1","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","48_LEDU_CTRL.2","5_LEDU_1154.2","50_BOCU_CTRL.2","54_LEDU_CTRL.1","55_LEDU_CTRL.2","58_ERLE_1154.1","59_CTRL_1154.1","7_BOCU_1154.1","9_ERLE_1154.2"
"Feature0043",5813321.985,NA,NA,NA,NA,NA,NA,5262502.622,5356211.268,5510979.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5022259.921,NA,NA,NA,6231067.727,NA,NA,4991647.319,NA
"Feature0044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,278464.9445,NA,NA,NA,NA,NA,NA,NA,403802.5874,NA,270131.9041,NA,NA,NA,NA,NA,NA
"Feature0046",NA,NA,NA,NA,NA,7167363.988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0047",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2141558.943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0048",NA,NA,11659267.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,26431012.77,NA,46644110.94,NA,NA,733930.3539,NA,NA,23462098.51,NA,35459094.32,NA,NA,NA,1058617.812,NA,NA,NA
"Feature0049",NA,NA,32892673.56,59113915.79,NA,NA,NA,5959206.546,4578212.151,NA,NA,NA,NA,6401870.434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6612313.093,NA,NA,4629525.842,NA
"Feature0050",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57792471.04,NA,NA,82103182.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,58835332.84,NA,NA,NA,NA,NA
"Feature0051",300481.9861,NA,NA,300271.4877,NA,NA,NA,NA,NA,NA,NA,NA,NA,402835.0077,NA,NA,NA,NA,NA,NA,NA,NA,NA,428833.0951,NA,657868.1158,NA,428992.8343,608769.1166,NA
"Feature0052",NA,NA,NA,NA,2922497.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3328989.907,106805344.1,114181735.9,NA,33424478.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0053",NA,NA,NA,13601000.18,NA,NA,NA,NA,NA,NA,NA,NA,4792117.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0054",NA,159635173.5,NA,NA,144757617,65520827.84,NA,NA,NA,NA,53960271.32,113803451.6,NA,NA,143101162.3,NA,NA,60173275.81,116148461.8,103458764.3,92056307.41,NA,96887428.54,NA,114100452.2,NA,66803256.27,NA,NA,32636940.52
"Feature0055",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,852691.1152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0056",220089.5621,136197081.6,NA,3030037.641,NA,NA,NA,128292444.9,104243744.7,1050454.363,546212.129,98348311.52,135724893.8,124620921.6,115265111.5,NA,NA,NA,NA,NA,NA,62619660.55,NA,124964780.8,97094318.96,137671178.8,NA,886632.3253,803795.8461,NA
"Feature0058",NA,NA,NA,415420.2084,NA,NA,NA,640004.9712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,564174.9853,NA,NA,NA,NA
"Feature0059",853178.0155,NA,NA,789549.8827,NA,NA,NA,626902.1591,631707.2874,520349.0212,NA,NA,NA,778940.8996,NA,NA,NA,NA,NA,NA,NA,635019.1275,NA,1117214.606,NA,1155325.011,NA,431811.2418,679292.5256,NA
"Feature0061",70366882.04,63728164.84,67796301.12,84457902.03,48007353.06,12321629.15,NA,56459905.96,43765869.32,28841878.16,9229462.37,47345093.19,62693610.01,79833293.48,53611546.4,NA,NA,10624566.93,42926921.72,33315308.08,33567861.8,37456267.91,NA,169600700.9,19900428.85,75089792.02,11759683.49,59355302.46,43857779.23,5919745.875
"Feature0062",NA,NA,NA,NA,NA,535463.1315,854660.1676,NA,NA,NA,NA,NA,664435.678,NA,NA,NA,NA,NA,NA,NA,1245599.523,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9968342.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0064",NA,NA,NA,22467610.74,NA,NA,NA,1148067.723,NA,NA,NA,NA,NA,NA,NA,1126109.144,178596427.6,NA,NA,428919500.4,NA,NA,347217935.9,NA,NA,824265.9964,194988255.8,254798709.2,NA,73124935.79
"Feature0065",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222378217.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Feature0066",NA,277171109.9,NA,NA,NA,NA,NA,NA,NA,NA,467586.4549,293268317.5,NA,NA,323409644.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,198124683.1,NA,NA,NA,NA,NA
"Feature0067",171740426.9,NA,21972806.28,151045227.9,36283520.12,65325897.61,40110258.85,38033338.87,28868042.73,106817361.9,NA,NA,42505130.1,37265418.04,35205661.26,NA,NA,31676392.06,116234789.8,135088259.3,105108501.4,21780264.34,89703550.27,123863983.5,NA,39815287.8,56985909.19,167308235.5,141011783.4,25872390.63
"Feature0068",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10377606.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180925833.3,NA,NA,NA,NA,NA
"Feature0069",NA,459446958.5,NA,2912989.19,NA,NA,NA,NA,NA,2671163.09,NA,221329318.8,NA,392774398.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,509043461.3,NA,1779523.396,1641271.986,NA
"Feature0070",351328576.5,NA,126198934,475786235.4,175017987.7,203124460.6,87731799.97,184085955.5,128139097.9,396695055.3,NA,115617926.5,211180689.6,197278494.8,157970271.3,NA,101021812.4,181315734.7,395283191.8,336517418.8,289693252.5,79433830.01,370352351.3,127730161,98777042.26,189153819.6,236429224,380796748.1,430824712.8,92554224.94
"Feature0071",200471684.9,NA,46703621.26,364960193.3,NA,NA,NA,NA,64719529.49,2032443.996,NA,NA,82976590.09,78590789.66,NA,NA,NA,NA,NA,NA,NA,NA,8218289.056,521546743,NA,82048153.56,322074.1121,NA,2870126.275,99677.45002
"Feature0072",321437740.4,652451998.9,424473748.2,277440878.6,NA,NA,NA,575666767.9,406906616.6,107654916.6,53762649.38,366592326.9,607959524.4,622220427.8,476522040.6,NA,NA,71651938.03,145215673.7,NA,NA,218959397.5,NA,410162023.7,322430096.7,606869810.8,77536148.83,276949661.7,124681413.1,31351152.06
