"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0054",20.1764595193686,20.1354752270597,20.9926700630112,21.5413812721944,21.4710227853639,20.5837649663014,22.0829473524125,20.985121403107,23.8424404503977,21.4980363269508,21.6365762526534
"Feature0055",23.5250537218559,24.3372563055008,20.4285431843303,28.3025064832942,18.4344354840228,22.0980567628207,29.6725075859701,25.4063362504022,22.8212646781847,21.6100041562879,16.8306267323437
"Feature0056",20.954380502819,21.5224982110245,21.6018654739062,29.0520059652901,28.5305034809091,28.5069170979713,26.5128716298132,20.5501098157532,20.910162318909,19.1427371547013,19.8737009127539
"Feature0057",28.2436013066978,25.3363140016927,25.1886790959749,23.0261526634798,23.8125297167945,20.725102713891,23.0210342784062,22.7712065960804,19.165092838901,18.9405764029227,18.8464833232095
"Feature0058",21.6176505786379,26.9183045515746,27.1987196837738,22.4428383191399,21.4817004747813,21.2025261559323,26.0032855964259,22.9520451359182,27.0217222087958,20.2705369170243,20.5336932957741
"Feature0059",20.760520206667,21.3982814555823,21.5839243572047,24.30369937497,24.8892465761683,24.3456110263295,30.0847265399116,27.1997981565908,16.3928846399757,15.3075840631463,15.9276526589886
"Feature0060",26.6835661201456,21.8579531914632,22.7072481845696,22.9726650660073,22.8924518097531,28.5648146130608,22.9149178123906,23.7542839229663,21.1158871816747,24.5470667741045,23.9364101652103
"Feature0061",25.2809215747656,22.497155391032,22.3342206392166,21.6500422995397,18.0909694233991,26.6943920446811,26.7082856539708,22.4639902514696,23.0098475342381,27.1564940054295,27.9371802787406
"Feature0062",28.7318680062318,23.5672220072654,21.1058901325757,18.6970345914789,18.7812421392863,22.9927719252238,18.7002881470334,23.0963874030138,17.0052581907277,23.2997043215728,23.2002497815434
"Feature0063",26.7896797476119,26.3666052296916,26.2248204073629,25.5082565269662,25.1787770574981,26.4803439704002,25.3694994769791,25.2315319921686,26.3464960667692,27.3257900343613,27.4983384506068
"Feature0064",23.3018639597573,28.3188682699969,28.4715143518292,22.9207133267561,22.8064073781611,17.4484582213633,22.9291195811359,21.6419425892325,26.5967107026562,20.2644631460125,20.6084572109027
"Feature0065",26.6295220049853,26.1276964575581,26.1006538735786,26.2896532583982,26.5180559679496,27.2253833594375,26.6119515690034,26.4028525744097,26.2300036457752,26.9877748914756,27.312219000236
"Feature0066",23.6459091835969,28.7053125105231,29.2605948552317,22.5789242653003,23.8028302888787,20.6683949433759,23.0336392819902,22.6720436689815,17.6037213128778,19.1594118439155,19.0369367813909
"Feature0067",23.1457557504399,22.1281773891925,22.3824146262667,25.3749340791328,26.8546104403482,26.8388140912894,26.9000818346413,27.1721093367978,22.877559326397,23.5199902753855,23.422511302609
"Feature0068",19.3117858118824,20.3103151892595,19.9253387284882,20.6918712913588,20.2435352440746,20.7150219989076,21.2931256086019,20.5649056053109,23.4570960886374,22.5486787821262,22.1803458328205
"Feature0069",26.8951424052581,26.8290532611353,26.898586371695,22.3395229800846,20.4614828046203,22.3210189151074,23.2437083098994,22.9087435598174,24.0625036580622,23.5632746282523,23.657619538355
"Feature0070",20.1178144901082,19.7685910423471,20.6648674011408,24.0731106653638,21.8957047684734,24.1280940905179,21.9232800645971,20.572368849691,25.1732995318905,24.4155542338761,24.4520082537584
"Feature0071",21.4226752710861,22.1429186753376,23.3454303669727,21.9042695274197,21.3509461205809,21.9813515758423,22.0317617484534,22.344625593876,24.4096168546172,18.6889628552372,18.1819560594708
"Feature0072",26.5988176369578,26.1125590317019,26.0191763901565,26.3817538519072,26.607368745775,27.3182194646142,26.6932925842937,26.3854533383248,26.2057975363229,27.0597478388311,27.3895025074083
"Feature0073",29.611709192788,22.4347219266587,24.6473465487557,19.2244825246402,20.023701187143,19.5369561964883,20.2468522472017,20.1433015850024,14.4884332328884,20.8335630222415,21.1744277008375
