"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0032",397377.7366,415078.7132,431106.2054,463822.4002,422642.7915,924196.61,463030.4268,422327.1472,87022001.97,91420004.68,105228275.9
"Feature0033",55064579.45,105434423.5,63619875.74,3152092.604,2031963.334,2939261.513,3555623.38,4093062.524,47223794.29,45851038.96,39043212.25
"Feature0034",615882.5276,714898.8875,137141.3195,124255.3778,204187.2431,533392.2576,146126.266,149600.1775,106195727.2,67745215.45,40961612.8
"Feature0035",68492400.95,64271932.85,78497319.15,91004873.66,78939822.03,107426618.5,97651566.73,95554463.81,70012075.43,64505973.5,52907859.13
"Feature0036",1888059.421,985811.4162,2492683.46,205002.9405,1441380.294,94219579.41,1142666.512,107472406.4,209418.3949,103585989.5,101302611.3
"Feature0037",79912096.82,81672895.93,92698118.71,58272973.2,45771918.28,82308405.32,33739489.03,111793250.3,31028784.33,16189415.23,7433416.567
"Feature0038",561677.6355,96947418.08,112366862.8,78196867.12,71296661.62,3089037.26,66535523.94,5387520.871,50333659.22,474634.0181,728393.5869
"Feature0039",52481757.16,52823045.48,1432845.035,47147734.01,4551681.481,2084535.665,26983819.8,112601785.9,19473095.84,573137.2206,269303.2152
"Feature0040",91963501.56,98967999.21,113757173.9,16894216.67,14725750.34,18005654.91,12307867.57,21041520.02,44548972.65,42970749.44,36724665.57
"Feature0041",115305510,274461.4352,863077.2139,1793692.416,118926.3995,55977884.17,379639.0981,1022719.218,117419.3533,114175342,97347574.05
"Feature0042",26712165.31,3464384.336,1159105.802,59916740.92,8911293.052,63527788.51,44884489.23,115835747,36818213.75,21196132.32,27903485.02
"Feature0043",1137677.426,1679732.139,1899287.699,960943.2036,847019.8413,115860976.9,950989.3946,7253467.15,797437.8274,29495451.54,13126607.04
"Feature0044",81851824.31,78044835.34,91455923.63,76960833.2,58981522.21,96820654.27,53680741.5,115871241.1,50791999.39,28820324.42,18058598.31
"Feature0045",86888696.38,79174202.08,94675076.03,99258944.3,85763072.54,116277316,111389237.4,94269657.9,25414693.28,15500716.01,13574083.06
"Feature0046",110858552.7,118335677.8,106888273.9,1609179.112,1198589.597,1156830.538,9308802.04,1886943.572,19227081.24,16921849.53,13960092.12
"Feature0047",101364999.7,119674811.1,119507046,5685944.883,1974793.817,2624438.491,4391809.41,5654517.806,18456011.38,18223478.65,17742493.09
"Feature0048",5559109.311,92109006.32,120918747.2,7696969.253,8789168.639,526101.7649,62276067.86,25787691.37,73084400.7,2068579.647,2160357.986
"Feature0049",149276.9296,463319.1298,150545.3388,141456.2235,137848.9947,136201.0161,123140060.3,22589380.4,170929.8625,127479.6353,133721.2785
"Feature0050",120486167.5,127293193.4,126742111.6,919803.3987,798480.2074,1115038.799,197205.9102,9345800.832,19460740.97,12719898.96,8693189.942
"Feature0051",2375501.676,128079.9663,1953494.294,2396630.634,2580167.965,124563203.9,1539897.807,1037121.308,709261.0508,127569351.1,126193083.6
"Feature0052",7821898.589,105809636.7,129875328.2,49678556.81,22330881.91,3440741.288,22066895.56,20466443.55,123981978.5,4956450.89,4646381.616
"Feature0053",410573.1469,397051.7963,402904.7674,423094.8256,402537.5212,368422.7748,450272.1992,386224.392,106160839.2,110694584.6,131196227.6
"Feature0054",267358.5074,251738.3021,284092.1983,340574.3686,291906.2097,278456.169,466409.0124,233116.8444,131548440.9,57882706.65,59069118.96
"Feature0055",6976685.892,7043471.604,428320.0911,56005634.53,47951.67552,1368467.024,131874054.9,14950999.85,14619908.85,10579978.11,296089.6012
