FeatureID,Name,Formula,MW,Area: 2,Area: 10,Area: 14,Area: 19,Area: 23,Area: 40,Area: 41,Area: 46,Area: 47,Area: 57,Area: 59,Area: 60,Area: B,name4plot,C,H,N,O,S,P,Cl,H_to_C,O_to_C,NOSC,GFE,DBE,DBE_O,AI,AI_mod,DBE_AI,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment
Feature0132,L-Phenylalanine,C9 H11 N O2,165.07901,1024324977,14689081.7,14706793.74,10084112.35,495592.7184,25333346.9,35815190.29,12607341.95,38968203.19,188305872.5,1057793180,86812314.77,61679.73469,L-Phenylalanine-peak1,9,11,1,2,0,0,0,1.2222222222222223,0.2222222222222222,-0.44444444444444464,72.96666666666667,5,3,0.3333333333333333,0.42857142857142855,2,Phenol,492844270.5950502,1115750199.4305055,2.2639001120645497,1.1788103048976049,0.6357867709455638,0.6571218974873613,Upregulated
Feature0131,methoxyresorcinol,C7 H8 O3,140.04733,443566.3653,7149367.179,946833.7579,5470175.518,720730.843,487064.383,1039333.518,6943650.926,4226971.12,992563721,9058681.838,902814352.8,1174860.685,methoxyresorcinol-peak1,7,8,0,3,0,0,0,1.1428571428571428,0.42857142857142855,-0.2857142857142856,68.44285714285714,4,1,0.25,0.4545454545454546,1,Phenol,470141.70114491205,23728373.7398541,50.47068507658352,5.657373764441907,0.011520805142273466,0.08064563599591426,Upregulated
Feature0130,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],C6 H11 N O7,209.05352,49274097.73,314124152.6,132865269.8,972581721.9,749333.6831,730045800.2,849257203.1,215515881.7,232727398.6,15268417.02,6469997.607,12226703.68,54741.69576,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2970 Da],6,11,1,7,0,0,0,1.8333333333333333,1.1666666666666667,1,31.799999999999997,2,-5,3,-1.6666666666666667,-6,Carbohydrate,297572125.5629596,536499353.76490587,1.802922073933953,0.8503370418181762,0.4668369938405549,0.5209630221119236,Upregulated
Feature0129,Proline,C5 H9 N O2,115.06328,740088477.4,163866357.2,216613461.5,231194434.7,10666785.78,789911298.8,880947057.5,115747221.8,332545681,161004273.7,210962261.1,143259130.8,694260.1783,Proline,5,9,1,2,0,0,0,1.8,0.4,-0.4000000000000003,71.7,2,0,-0.5,0,-1,Protein,639038989.7905517,497227554.5016853,0.7780864116986888,-0.361997709847572,0.5679092462534454,0.6073473883543791,Downregulated
Feature0128,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2971 Da],C6 H11 N O7,209.05352,749589617,11854339.32,2811829.681,12166944.09,122960.6145,15543524.02,4447270.998,10758494.19,232727398.6,866289828,304101284,783591342,55290.92011,[Similar to: Butyryl trihexyl citrate; ΔMass: -305.2971 Da],6,11,1,7,0,0,0,1.8333333333333333,1.1666666666666667,1,31.799999999999997,2,-5,3,-1.6666666666666667,-6,Carbohydrate,356506920.17875135,335824912.33095896,0.941987078855517,-0.08622082422012961,0.966535610657888,0.966535610657888,Downregulated
Feature0127,Isoleucine,C6 H13 N O2,131.09459,7600391.705,5940583.052,5830159.615,18466774.96,258789.9963,10360246.38,2341905.89,4341702.137,36302479.41,179022694.6,703674377.3,74745432.45,268791.4194,Isoleucine-peak5,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,5864864.47887603,734133063.8555064,125.17477027810182,6.967799997551516,0.41752893483668635,0.4980061114130277,Upregulated
Feature0126,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],C16 H29 N O12,427.16895,610798677.3,3327969.6,1506661.206,207164729.6,27301.39302,594673898.4,692208180.5,1177663.394,1205314.139,86905356.03,553699.742,18786421.05,48777.22764,[Similar to: AB-CHMINACA metabolite M7; ΔMass: 39.9895 Da],16,29,1,12,0,0,0,1.8125,0.75,-0.125,63.8625,3,-9,-3.3333333333333335,-0.4444444444444444,-10,Carbohydrate,511143388.580457,4907658.9657564135,0.009601335115349769,-6.702549250665131,0.10244205807678168,0.2427088760588366,Downregulated
Feature0125,Isoleucine,C6 H13 N O2,131.0946,4546665.498,474245844.2,405734711,299405508.1,11331703.31,602726902.4,690581257.1,425204660.4,55822609.66,3455552.991,9184624.663,2486249.184,238769.0126,Isoleucine-peak4,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,226914282.66289997,924527464.838429,4.074346726829405,2.0265687588487986,0.259473840302596,0.36659606795045674,Upregulated
Feature0124,9-O-acetylneuraminic acid,C11 H19 N O9,309.10604,666205960.7,19140262.85,16826752.25,107095154.1,332320.0925,652214042.3,673397169.7,12908791.92,74731583.16,94936641.07,6111356.069,76188487.63,110202.1724,9-O-acetylneuraminic acid,11,19,1,9,0,0,0,1.7272727272727273,0.8181818181818182,0.18181818181818168,55.11818181818182,3,-6,-7,-0.4545454545454546,-7,Carbohydrate,544662463.513335,38313464.14865757,0.07034350026898731,-3.8294390650038705,0.12483802123330726,0.2615364378002078,Downregulated
Feature0123,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid",C22 H26 O7,402.1679,256300.8884,262116.3609,580133.8115,633309591.3,267224.4716,1186209.35,262879.3887,290674.2275,292591.6259,562782673.9,255802.4188,620469719.7,480005.627,"4-(4-hydroxy-2-methoxy-3,5,6-trimethylbenzoyloxy)-2-methoxy-3,5,6-trimethylbenzoic acid-peak4",22,26,0,7,0,0,0,1.181818181818182,0.3181818181818182,-0.5454545454545459,75.84545454545456,10,3,0.2,0.35135135135135137,3,Phenol,381590.46910901467,833092.5004718077,2.1832109759371523,1.1264515527891352,0.07585963406015686,0.19470639408773596,Upregulated
Feature0122,"3',4'-Dimethoxyacetophenone",C10 H12 O3,180.07864,113926.1039,389306311.7,179447171,263123.0167,91138.97569,111289.2072,117131.0571,486749658.7,54040767.84,92938.88614,625563644.6,89458.14014,261838.6732,"3',4'-Dimethoxyacetophenone",10,12,0,3,0,0,0,1.2,0.3,-0.5999999999999996,77.39999999999999,5,2,0.2857142857142857,0.4117647058823529,2,Phenol,93423.46381647034,1553479970.5381765,16628.37050861201,14.021359178702191,0.027616020307672906,0.11494235479409805,Upregulated
Feature0121,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08487,222728320,29633534.88,32027568.76,23471317.5,1015274.143,22293645.1,1172448.313,19717069.51,34901588.98,545589546.9,619038530.8,487483308.6,400058.7494,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak3",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818168,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,109145019.37627509,686024500.3191875,6.285440272396974,2.652013803763881,0.44626230914174336,0.5126402522855371,Upregulated
Feature0120,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08489,14890325.63,513657587.3,588948954.2,572112901.2,19593981.8,216596498.1,262780104.8,488385015.8,591610130.9,28389972.49,39301736.46,12502089.36,418450.4043,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak2",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818168,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,90204173.52661517,1063670450.928561,11.791809728346106,3.559713245414481,0.1789114993432266,0.3006680062989089,Upregulated
Feature0119,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate",C11 H15 N O7,273.08486,13710040.44,513657587.3,588948954.2,572112901.2,19593981.8,216173261,258274522,488385015.8,33214731.24,25869637.49,35740653.52,12080517.7,347185.7544,"Methyl (5-acetamido-2,2-dimethyl-4,6-dioxo-1,3-dioxan-5-yl)acetate-peak1",11,15,1,7,0,0,0,1.3636363636363635,0.6363636363636364,0.18181818181818168,55.11818181818182,5,-2,-1,0.07692307692307693,-3,Phenol,88825124.54244654,1060007487.436548,11.93364482061611,3.5769628388032233,0.18157223757012028,0.3006680062989089,Upregulated
Feature0118,L-Pyroglutamic acid,C5 H7 N O3,129.04256,17627856.28,8643122.035,11041245.91,570516382.3,867326.5621,417944873.4,506071437.2,7562294.449,15058261.68,2668205.335,421227.5335,912739.2921,123300.8252,L-Pyroglutamic acid-peak3,5,7,1,3,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Phenol,168666080.4696345,16894836.54501503,0.10016736321833637,-3.3195155723112033,0.16868930495942072,0.2918893591432673,Downregulated
Feature0117,Isoleucine,C6 H13 N O2,131.0946,262487841.5,224127603.6,134631419.2,96861444.75,5921265.184,256959057.3,325628227.3,209857723.4,555798124.3,1059227.258,17837733.41,385915.1446,52955.58614,Isoleucine-peak3,6,13,1,2,0,0,0,2.1666666666666665,0.3333333333333333,-1,88.8,1,-1,-0.6666666666666666,-0.25,-2,Protein,224578482.319402,461086836.12231225,2.053121168868446,1.0378187733632955,0.37294112837534354,0.48671977771019415,Upregulated
Feature0116,DL-Stachydrine,C7 H13 N O2,143.09464,2953497.736,65203253.84,132332103.5,4632637.237,34524.04724,3510198.058,4009808.443,105374261.1,549446801.7,3969688.1,103333771.8,4131250.19,65861.81652,DL-Stachydrine,7,13,1,2,0,0,0,1.8571428571428572,0.2857142857142857,-0.8571428571428568,84.72857142857141,2,0,-0.25,0,-1,Lipid,2697624.042453847,286216358.43544334,106.09942450508841,6.729273020712542,0.038213924773545634,0.12793357424187018,Upregulated
Feature0115,L-Tyrosine,C9 H11 N O3,181.07392,4686035.809,270127508.6,189117348.4,7376551.601,843561.0655,348656323.8,445441513.2,214830217.5,547800984.8,2099826.276,1498551.186,778008.9444,64421.49027,L-Tyrosine-peak4,9,11,1,3,0,0,0,1.2222222222222223,0.3333333333333333,-0.22222222222222232,66.63333333333333,5,2,0.2,0.38461538461538464,1,Phenol,139838095.9388933,491202120.73834085,3.5126488060377143,1.812559343393444,0.28314488874347793,0.3865653839390284,Upregulated
Feature0114,N-Methyl-Nâ€²-piperazinoacetohydrazide,C7 H16 N4 O,172.13244,5107038.521,84566.9988,88463.79228,332720.1237,38002.35392,337373.6463,90807.28879,79123.59428,99532.74814,504586564.4,141887.4136,478639900.5,59917.69005,N-Methyl-Nâ€²-piperazinoacetohydrazide-peak2,7,16,4,1,0,0,0,2.2857142857142856,0.14285714285714285,-0.2857142857142856,68.44285714285714,2,1,-1.5,-1,-3,Lipid,2481361.29848548,312931.06622996234,0.12611265696009788,-2.9872150197190845,0.45624160865547597,0.5166265274481124,Downregulated
Feature0113,L-Saccharopine,C11 H20 N2 O6,276.13216,4383513.321,494493253.2,345580759.7,30916747.54,7583381.706,6083871.571,5628225.592,186557719.2,85987851.28,16339689.96,498999067,33622318.64,29786.64852,L-Saccharopine,11,20,2,6,0,0,0,1.818181818181818,0.5454545454545454,-0.18181818181818168,65.48181818181817,3,-3,-1.6666666666666667,-0.3333333333333333,-5,Protein,4110487.4998082733,1171211574.0176096,284.93252298474056,8.154476494029913,0.049512254346266736,0.1524070156703389,Upregulated
Feature0112,L-Pyroglutamic acid,C5 H7 N O3,129.04256,429289316.4,477854.7963,472737.8871,15775238.17,197865.433,16117154.66,12707085.68,1011113.273,15135196.38,482100692.2,9525773.122,424603236.7,98797.05007,L-Pyroglutamic acid-peak2,5,7,1,3,0,0,0,1.4,0.6,0.3999999999999999,48.9,3,0,-1,0.2,-1,Phenol,207175358.75593087,11392439.92364737,0.054989357769466084,-4.184703752570514,0.430096187129433,0.4980061114130277,Downregulated
