"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0013",106949278.034268,54893801.4410002,33145272.3768909,21328378.3185664,20071434.4546374,39574617.7155122,1887543.49163658,745616.76690553,1525108.48291786,3795262.90105064,2027990.26450286,1144053.40546031
"Feature0014",9878742.34941804,41617823.1671359,41083302.2678614,247272247.988606,337766891.316761,35830909.4118775,202415353.66785,162027274.704648,121113347.913499,42366328.5449518,45203239.9658985,2482268.76046965
"Feature0015",104107473.228426,41617823.1671359,41083302.2678614,247272247.988606,337766891.316761,315692789.28322,202415353.66785,161824071.165607,121113347.913499,42366328.5449518,45203239.9658985,64532113.0172178
"Feature0016",123621136.746909,48215994.9274436,49182257.5688136,27499578.9599295,24084783.8852158,28960101.1155491,31971793.8009198,63770901.9962818,16013558.1816528,42039333.8575664,61046378.3059136,58293208.3491107
"Feature0017",1854359.43032719,127537.649214955,467756.15015419,995259.705708314,9672328.99051081,322101347.676394,2740187.97690838,19512993.6363715,72325763.8878785,322502.446362854,57837228.7215237,88902599.2647808
"Feature0018",34613366.2061949,57971484.4615238,32926511.0130404,6926322.11789247,7031381.93080479,10236281.8188492,7279419.75237836,10598982.4566986,4421298.28506996,14543815.6534091,27199609.3355191,25093947.9334814
"Feature0019",869909.985501298,393076.078689489,68100.041727921,333758.423946113,706572.087396667,1645956.91768237,295936.383194498,3574055.55297039,192895.446173016,45849111.6771628,40187603.9537092,34778958.3305756
"Feature0020",96742837.8745317,35338926.6317359,38374154.7761847,233056639.52034,285268240.920208,331500098.36832,190684702.531309,128134821.022286,123208549.872565,30227124.4783191,38266031.0170504,44922064.8861325
"Feature0021",111441108.865219,43107737.81033,46030953.8749244,156525182.557419,158389717.948297,253989605.566143,68329552.4322002,53582896.5970669,144146947.257133,13396416.5551923,9603834.05947804,6311433.25092667
"Feature0022",124915355.129701,54052882.0634038,56488214.6218549,43533409.2604325,49939304.8153355,55277793.8895079,23887756.6072083,43487885.5357833,26736674.693092,19145476.0330319,25828189.9143128,31095862.5301026
"Feature0023",162864523.731814,150908.368422808,428576.846827027,4817980.23077803,411534.398846511,172738138.535054,768848.91872167,1166448.95369966,1318700.84088522,50694.8178091287,67730737.8107291,82654148.360769
"Feature0024",37729888.8930688,1904838.05986923,575575.280820274,160940454.823894,30836749.8260965,196035846.927331,90900518.8995836,64768476.4953202,149359368.91084,15895953.9944409,12573903.0478879,23691795.2309832
"Feature0025",109877259.635803,63709641.7955308,48885451.1846121,1557567.40444089,415957.904004343,382455.248407041,942742.710261645,1260222.91924967,670761.549890162,16482988.8365788,19334849.7263634,6068670.31533473
"Feature0026",115612500.936237,42911743.7078318,45414119.0866153,206722049.77523,204100396.445152,298771913.914335,108714777.442604,153405371.799078,149405135.235255,21929018.3676853,17096702.3414843,15332873.7615549
"Feature0027",121155058.474153,43532708.5146367,47020789.6504396,266616297.810838,296779029.540094,358811831.091976,225586603.59493,162393987.760765,123156190.180738,10972579.9818767,9195286.07106673,11525241.2404892
"Feature0028",122625567.979691,65065039.2831767,53077336.132933,4322364.90506349,4147614.41815177,3569780.39984081,18515916.2372107,13982968.0418296,2433037.36871733,8301130.54679135,10038326.4346958,11852986.9539824
"Feature0029",125069708.305331,65801340.9834734,59343419.248497,15272835.9640829,6833601.19991611,8098566.53849813,8894336.57652596,16603380.0150101,7290972.19875715,7968227.62259504,10810474.7734635,15064480.7583757
"Feature0030",7794687.58358057,50150538.5356313,60044425.4148213,20674584.654017,30414148.9813746,1611604.9084501,126122118.812394,68112010.8739028,33250817.7177008,31553575.0627904,1218155.69330887,1820884.13348556
"Feature0031",210847.825428737,254748.84617667,74756.0537670341,379961.069280408,477014.383719406,420292.948483854,249384488.285866,257347044.606437,29126894.6591322,73797.5299134689,75623.0688996899,113537.68699417
"Feature0032",170181999.855506,69990190.4736629,62936123.9932129,2470654.69620575,2763070.88690763,3440818.26938445,399383.392231257,2946960.33248334,12050536.6468084,8402011.16918259,7545658.51389108,7381059.24268189
"Feature0033",3355303.22085966,70422.7853647148,970043.480853745,6437513.4287734,8928445.46596487,384380658.374005,3118616.52232131,87764954.882643,1337270.98981685,306217.4908897,75676289.8248112,107145781.040419
"Feature0034",11048125.8733952,58177789.6270617,64491980.25871,133439993.651712,77274062.79162,10617536.8019421,44690098.7694924,46898062.3855465,26389566.0160704,53528176.0206459,2940250.23110809,3945067.13883142
"Feature0035",541301.624499438,203775.287834466,186747.078780212,1060784.37018977,1300189.32472114,1061183.72709204,851172.46296353,14177296.6848614,464838.317777146,45834049.0767139,60661299.2340828,111393761.644783
"Feature0036",377633.436367002,138414.405695124,141071.200345326,914805.994822531,1010115.89549092,859267.923571153,944576.221628586,11336759.4031511,300582.382069591,56794932.4968769,34336997.4568282,50153357.9003426
"Feature0037",2343498.53205632,728506.92354638,680345.420754687,302714532.468492,213398748.397176,411469359.77224,34063393.6033127,70304398.3829259,853911.566588133,917858.656873869,699700.616929447,1211020.82255789
"Feature0038",188451321.895033,6304571.20074786,4255315.14215237,3202835.57673617,5888365.40429935,1375743.98344906,2397237.66272534,42982577.3599286,2400061.26469614,899016.681679483,1729799.42048765,1860308.69862163
"Feature0039",3897469.17523761,32320070.0644173,34995829.0751591,3178273.38979068,1652023.86016078,2639668.38065029,24552517.6920294,73420755.5208539,4685305.41249131,58981621.7712571,1428832.54224678,1776041.72857734
"Feature0040",765977.705645136,354121.69377374,260480.600843036,6709965.20902962,11162392.1063432,13958935.1457682,277318463.927475,120341253.294299,34890283.7343492,211828.574056676,274189.83006412,510490.588644898
"Feature0041",180533362.740344,1933229.06714293,3315697.32359253,6253611.53841243,6126650.88631934,430814430.277008,4296862.64377494,3953366.38080998,11836680.9349031,775117.555876137,14556347.9893669,9718697.23826271
"Feature0042",173156744.195347,73799358.616694,70675741.4254341,191649491.821514,148497179.812459,255214932.157106,116312755.717247,687768914.172894,72849658.9427201,62255041.229035,81578334.8081158,95722809.481449
"Feature0043",169778304.548653,1539224.14174603,170575.024076309,133391.087950636,159435.996504962,5086177.68554119,97695.2459274452,1667388.84034938,1690577.60292253,379904.748432663,87895184.8414361,102840155.22385
"Feature0044",9961819.29911085,69161687.6843777,65742400.0001942,3952966.24983556,3718312.67149503,180747.037812641,2638151.83288665,3551104.44245118,1598330.41012125,64158981.2981911,1943890.81143149,2646705.90652182
"Feature0045",145212847.676852,55730414.3717662,60049468.8114893,332781406.377657,397367543.451647,471899765.900744,279051541.077371,207061985.859818,171800402.386225,58367095.8224939,69032848.3427033,84869446.2208799
"Feature0046",8349227.46941808,68058533.5406335,76667397.3710683,2448609.77288466,6050908.75474876,1375743.98344906,2478905.724443,43694028.4154019,2383295.78848888,269793.164538242,1758431.19949737,1839680.05927331
"Feature0047",19126301.8670334,5604361.44037072,7250622.04094858,91585152.861965,232418022.407103,182126353.900618,178682594.831272,49801036.6841043,199886354.767465,4743695.8922545,4907451.53996462,5097684.10613713
"Feature0048",177798.145920083,155048.892683097,62126.8281826442,484261.262617517,423529.196573255,847768.744297774,516450.215126159,4949740.81512835,177594.643852302,57483660.5336099,93047177.2241673,101084191.115309
"Feature0049",222179631.376071,77643995.4292389,78489317.6019777,4568931.46471837,1293381.63895527,5470327.17556916,6227405.89714513,886401.172632804,7183826.49112377,6531324.66159889,6160310.09387672,6849063.62165438
"Feature0050",608210.761895595,125296.217169141,167041.408981561,6232370.6479849,1486957.10771158,13665323.3578378,1075346.10767876,55570559.6581369,470327.678294904,68974714.072775,95782246.5629993,114152449.738038
"Feature0051",1010646.63951814,566617.364891246,775173.442051676,1214544.95031851,941104.157912716,2438840.19057895,958307.179622108,6720524.21684026,922266.919078974,69743153.781378,3979938.6029103,3572640.49763228
"Feature0052",141584792.291136,55368713.6577329,56266026.246009,354781278.156404,424060385.809175,507022287.941836,295348752.092855,282668354.518369,170184374.608403,57399941.4363397,72866834.4138155,89580458.8796246
"Feature0053",234698624.688132,676327.712230894,1677192.89909155,177780.48390222,365800.298305453,387056.967008013,254154.388772813,2002016.76508698,142437.672951317,105069.541937868,26120754.2957367,45603156.8384347
"Feature0054",45556163.4596799,18146886.1456975,21316354.2239378,201226879.336445,214383545.14756,360354031.79302,118801657.704353,48918971.168464,216767321.57058,4660073.49214725,1310444.37639723,5785385.75488365
"Feature0055",3989547.99386298,1156982.65459766,1304288.84103857,334493602.703623,410834685.099783,486743497.021539,350389926.560217,150312231.313595,223067078.220289,1237919.28512286,1480565.19245346,2044536.63705456
"Feature0056",502942.998851743,214168.239431949,200888.899543892,1169126.14321093,1372441.83860708,2057548.97646763,728350.086859705,15686169.4595264,511012.444214635,64934176.553737,95015442.4081396,152821974.398719
