"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0025",27.0946733720945,28.3423277652933,28.2018897000931,21.3877560119744,19.4643802144269,18.6108724052493,21.4355407653759,19.1138732120151,20.811907029445,22.9630777198614,22.3958973275635,20.4348282058646
"Feature0026",25.6888369142326,24.7174994861214,24.6645296285356,25.1760725696954,25.336299668884,26.5375854427449,24.8714107114051,25.8331797271298,25.9305103090164,24.4597754569598,24.9627939241582,24.7507033159545
"Feature0027",25.7524766676601,24.7318122926507,24.7082172810692,25.5464313758195,25.8806912318802,26.806538713298,25.9286858073409,25.9240768927035,25.6535441032865,23.4617794655286,24.0690307213892,24.3396824272851
"Feature0028",25.8978204036302,26.5494915752127,26.1844230185187,21.7462989892025,21.7105513185751,21.2450397483261,24.7160304357193,23.0840608324788,21.3455856379418,23.987453808974,23.5158912871537,23.5173983305263
"Feature0029",25.7179646767649,25.9673626404481,25.7181569269969,23.1841742568064,22.0731225023693,22.2695284177844,23.1792905105653,23.4698790065351,22.5674827746742,23.7760478682289,23.8696891857192,24.1131684499719
"Feature0030",21.7265308173787,25.6105540029376,25.7715904218203,23.6428417560211,24.2470637020049,19.9506753994957,27.0309927840887,25.4951770381212,24.7768690029879,25.7696088302435,20.7062017862379,21.0525191288545
"Feature0031",19.4213766056336,20.5653259901365,20.1553143439994,20.4821567374845,20.388691197217,19.9564398635552,29.9560924035828,25.5987354895893,28.0972644876249,11.6551869349317,10.7267723443515,11.0940255787645
"Feature0032",26.8659678423422,27.6837974154575,27.5116252023137,21.4160804001975,21.6215537855039,21.3361910148136,19.8009078105951,20.6313708610921,24.2382637409053,23.8217552004324,22.4532192907511,22.1767379028826
"Feature0033",21.6551465026608,18.2782639535868,22.1329553538932,23.0958217419743,23.6175557053918,28.3282961119631,23.0218595298903,25.3741361955302,21.4502164153346,18.2550760661023,25.1421802800404,25.3811606169051
"Feature0034",22.167706684609,25.1884933642502,25.2092960622256,25.5640918419341,24.8969064665097,22.2641890477845,24.6912074423712,25.0416590638411,23.8471763429603,26.1937475142758,22.2220485706654,22.4786417044393
"Feature0035",19.9812721048127,20.2866761964561,20.8264479567637,21.2972050446538,21.4295925491463,20.5440277900334,21.5405417067295,22.1111895859681,21.0286338440169,23.2124595799449,22.5832514536443,23.2337049465276
"Feature0036",19.71194279806,19.7957189437686,20.6708036244132,21.2560044198028,21.1792481935662,20.4422153274262,21.7767617086356,21.5625207878131,20.7155754614531,22.9543355715672,21.1548491654059,21.4919864357107
"Feature0037",20.8026479048729,21.2732831031871,21.174674851876,28.4352098941675,27.9799221781103,28.2790145170349,26.3016379560158,25.1650694866693,20.5303881702314,20.4790283853001,18.8665804412001,19.4127153728485
"Feature0038",27.9027206901763,25.0190686364263,24.7115389927243,22.4561023187283,23.3085801654026,20.4801834298494,22.7934497587958,24.1920320383663,22.6834909830718,18.6884749286113,18.8427664717535,18.6582866302778
"Feature0039",21.473309230556,26.6551116277302,26.7595024878845,21.8204804130183,20.9226348656044,20.9721082840629,25.7866671188475,25.2501847862321,22.9295199695785,26.5728650879766,19.9810209443718,20.0505635674897
"Feature0040",20.208426088598,20.9676786674192,20.9838387245623,23.7620334102907,24.3976014603763,24.0400314177545,29.7675124137616,25.4734423123767,26.8892900312536,15.9960184930583,15.4867454490109,16.1191269851712
"Feature0041",26.7855997875701,22.2280213938856,22.9668428729299,22.6416059745797,22.6441162074991,28.2531487189583,23.0883350418641,21.1175936441037,24.0500363470492,20.5412633596803,23.6138512811764,22.7860189231343
"Feature0042",26.6093224124609,25.9678978876427,25.7679643540318,24.9831138662277,24.6276107928789,26.0583893688935,24.8276118603428,27.701291163697,24.7240975932536,25.8864557977574,27.0775379017289,27.3291755097553
"Feature0043",28.4568318449163,23.2583058127977,20.8821803040412,18.430129890176,18.484582539266,22.9516269775255,18.4823558841432,18.8557734399236,23.1223934017286,15.8952652249856,22.6769164757789,22.6911674548042
"Feature0044",23.4785315100349,28.3823395743372,28.472123803167,22.5939361351287,22.5202056480896,17.4238829748794,22.8650495109505,20.6686721284132,21.9139153186614,25.3165319417127,19.4089769378876,19.5692681178806
"Feature0045",26.4176388875855,25.6806617247075,25.6510017430341,25.7768765005121,25.998803018827,26.8670911058012,26.0831493133952,25.9892477450398,25.9176958223508,25.7839957236627,26.7920714456538,27.145916939928
"Feature0046",23.3383161513484,28.4198703513008,28.8103158957496,22.004046908689,23.3002232850726,20.4288396451267,22.815557180834,24.2473572096842,22.5993523234652,17.1305414539976,19.0278386408896,18.8038142711981
"Feature0047",22.9854467658346,21.7372755186697,21.9761016909027,24.8328801529891,26.3050727992425,26.2711411391835,26.4919483411793,25.0780948308894,26.638312562635,22.6113733892695,22.9974740476342,22.9137896367008
"Feature0048",18.857592976409,19.9670314972061,19.6795392442221,20.5182207097661,20.0377321953671,20.6271438859761,20.9684113696223,20.1738732143536,20.2556559225225,22.3358358785756,21.991806165066,21.9038289767692
"Feature0049",27.0729256033535,27.5290492942424,27.5042204281567,22.1761045054964,20.3868580702932,21.9510175423879,23.6073144765646,18.9655360389077,23.3144585196896,23.6204739420149,22.3904097548097,22.2984182445367
"Feature0050",19.7045082364758,19.3969211451592,20.1282004135524,23.4952786620735,21.37909026964,23.8575913929278,21.6704343706303,24.5164309030333,20.4290667949887,24.7420760626266,24.4248749733888,24.391225947497
"Feature0051",21.0294427564589,21.8081770491726,23.0322699568653,21.5923948561733,21.0299316286193,21.8625685018187,21.7648587448548,20.8979496312136,22.2039639205027,23.4975998578612,18.2974173554624,17.9273715717184
"Feature0052",26.3970735789045,25.7066268191669,25.5931013326073,25.8697790958094,26.0801100451018,26.9453246369411,26.1648695847627,26.4476450837628,25.893107268868,25.7594069985823,26.8561857048184,27.2196560076934
"Feature0053",29.236675571777,22.0908631338287,24.4438754040209,19.0831393434346,19.832766589719,19.507832517642,19.9486067145392,18.8575920890647,19.9543935012334,13.2024518978889,20.1243429821847,20.7206139640192
"Feature0054",24.265228736939,23.3432659988953,23.432117916367,25.6515982244416,25.8767610421526,27.1144603623096,25.5590051470624,24.8745379908641,26.5898860257939,22.4416092113636,21.153255188237,23.198982910683
"Feature0055",20.6905758747543,19.7394485995205,19.7914757451063,27.1897606646952,27.5844187177478,27.9344517354332,27.983435055217,26.7207665290956,27.1500979706425,20.8942053003006,21.1412777839909,21.4058707753623
"Feature0056",19.7291302492785,20.2992728019514,20.7656458286677,21.3376256647591,21.4397077471701,21.3832285516207,21.2551113224439,22.4017249621203,20.9736376590251,24.0046958561402,23.5898908952445,24.031016847838
"Feature0057",26.2530952156324,21.5220041441428,23.5305846449884,23.8450475427053,23.5595599069973,22.7891618972946,27.9249610414155,21.4655964413983,28.2242263737864,25.4042089545268,18.0627905445135,18.9800061064516
