"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0166",15779401.26,19690900.27,18131543.37,55890165.67,16765415.18,60405621.51,54196442.37,47120259.83,188164646.6,151763984.3,159232642.5
"Feature0167",7407215.692,8198731.146,7445295.795,29268788.7,190436627.4,61652106.69,9123719.139,9780130.434,6892797.203,6442811.583,6440129.718
"Feature0168",10337463.65,341148.8164,474474.7632,1067433.076,4210204.686,184865152.3,619433.8663,6767329.136,4286158.274,190707258.3,176056740.4
"Feature0169",147764258.6,154364535.5,180645989.5,136798901.5,89495362.42,163372184.5,123721801.8,191984064.6,59774526.92,37174004.93,23698726.98
"Feature0170",5546374.341,161979707.4,192665749.6,88917.9499,149679.0871,101396.0219,132601.7333,198620.6719,91311071.71,2171506.68,3204694.999
"Feature0171",777121.2662,1123813.319,978534.3407,757096.5716,965701.5111,927730.915,1181498.064,921494.3883,165804598.9,194486219.4,151041593.5
"Feature0172",1680037.796,191748902.2,169838496.6,175017724.6,197661146.6,605922.6837,168735453.1,171044968.9,170952026.2,698637.0328,1768558.15
"Feature0173",132463442.4,923743.5337,455071.0839,7609735.453,7407394.126,6146251.297,585062.9141,201259300.4,10486912.2,5287357.534,4487636.337
"Feature0174",569873.2685,632857.8907,506951.6386,7669348.869,3759523.743,17143428.37,128685226.6,201428792.3,745744.5671,429649.3422,588243.1933
"Feature0175",11086837.17,172361915.9,203843053.3,129282710.1,94659852.16,5829097.695,145852985.8,8856113.516,113610042.6,80251416.69,264834.9642
"Feature0176",123294.9875,178468.8985,132022.4003,129460.0714,128625.1012,119019.4446,204233914.8,81887191.23,197265.2551,118805.7183,116761.5111
"Feature0177",565180.7806,576850.2104,593128.3613,643139.6922,606515.9441,1255029.079,570840.9916,591284.3813,160249940.5,173437869.4,205555662.7
"Feature0178",3268597.179,119910914.4,143125844.8,168206411.2,150583162.5,6275531.487,165700537.1,201259300.4,207382568.3,1708231.124,4586869.433
"Feature0179",92761423.95,1992058.771,752669.2118,1224261.162,1258292.001,3490995.252,2188624.219,210344750.5,2700611.339,1769957.634,1226706.097
"Feature0180",142749455.6,141376156.8,168630442.3,171579988.2,159291251.6,210619493.8,189331150.6,183190940.6,189013096.3,164077740.6,146221314.2
"Feature0181",173391341.8,187845703.3,193060008.4,177663966.7,195221731.6,108471563.7,168576426,183337504.2,197955612.1,115880236.3,112674824.8
"Feature0182",509845.4973,307097.4677,414578.3584,3142823.599,501080.3592,5834775.228,629927.0644,488076.3512,215769430.6,207502586,174549784.7
"Feature0183",127814768.9,129979318.5,162604828.1,98204792.99,84725824.4,6997303.835,73029797.87,218477175.5,49024505.79,131874.3669,120811.3208
