"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0036",267358.5074,251738.3021,284092.1983,340574.3686,291906.2097,278456.169,466409.0124,284643.4969,233116.8444,131548440.9,57882706.65,59069118.96
"Feature0037",1659159.94,1324956.713,1370094.149,112698005.2,61668586.82,133341625.4,16819684.22,1765203.714,662251.6211,2125944.516,1179502.244,1426303.961
"Feature0038",133420558.9,11466306.86,8569444.58,1192388.015,1701636.846,445826.4863,1183698.282,1079207.09,1861368.935,2082302.727,2915964.698,2191015.725
"Feature0039",2759346.607,58781450.68,70475348.54,1183243.725,477406.6278,855416.4825,12123442.52,1843449.248,3633691.387,136613251.3,2408617.556,2091768.618
"Feature0040",542300.1153,644051.4156,524561.4011,2498062.078,3225740.319,4523561.857,136933185.4,3021529.693,27059180.21,490637.4113,462208.4246,601240.4866
"Feature0041",127814768.9,3516019.886,6677222.135,2328165.549,1770497.273,139610629.6,2121687.394,99261.17254,9179944.908,1795327.532,24537987.68,11446389.78
"Feature0042",122592239.5,134221038.2,142328318.6,71349450.09,42913144.03,82705487.23,57432440.37,17268510.5,56498596.13,144195146.5,137518571,112739450.7
"Feature0043",120200357.6,2799431.678,343507.6291,49660.34964,46074.27488,1648237.429,48239.56196,41864.81986,1311128.461,879935.5004,148167037.8,121122046.8
"Feature0044",7052810.695,125786371.3,132393450.2,1471655.184,1074528.738,58573.2649,1302655.903,89161.17476,1239586.096,148605053.1,3276863.731,3117210.743
"Feature0045",102808402.2,101358524.2,120928903.7,123891642.6,114832420.7,152924829.8,137788937.2,5198914.931,133239903.8,135189886.1,116370341.2,99956685.35
"Feature0046",5911121.154,123780032.8,154394443.4,911596.2642,1748609.093,445826.4863,1224024.006,1097070.212,1848366.46,624895.0144,2964229.98,2166719.933
"Feature0047",13541119.58,10192815.02,14601457.63,34096361.18,67164831.57,59020248.97,88229166.35,1250405.052,155021980.8,10987349.95,8272609.69,6003899.27
"Feature0048",125878.2786,281991.927,125112.3344,180286.2844,122392.6908,274729.7208,255010.6908,124278.1543,137733.6312,133143673,156851875.9,119053925
"Feature0049",157299669.2,141213390.9,158063465.3,1700973.712,373765.1626,1772725.72,3074943.205,22255.77173,5571420.889,15127856.28,10384583.64,8066621.474
"Feature0050",430603.6114,227879.8714,336391.5595,2320257.749,429705.1608,4428413.404,530980.0359,1395266.307,364762.9094,159759254.9,161462448.4,134445327.6
"Feature0051",715521.8554,1030523.468,1561060.845,452164.5922,271962.9984,790335.6772,473189.0291,168739.0061,715264.6552,161539115.2,6709078.711,4207748.701
"Feature0052",100239796.3,100700688.6,113309726.2,132082004.8,122546195.4,164306708.1,145836107.9,7097240.581,131986592.5,132949762.8,122833384.2,105505174.6
"Feature0053",166162918.7,1230056.865,3377566.906,66186.13826,105710.027,125430.4941,125495.3224,50266.66198,110467.6216,243362.1068,44032386.94,53710028.78
"Feature0054",32253044.07,33004269.2,42927329.72,74915028.72,61953176.23,116777084.8,58661400.29,1228258.14,168114024.6,10793663.72,2209047.763,6813853.622
"Feature0055",2824536.956,2104237.977,2626604.744,124529078.5,118724194.2,157735120.5,173014115.6,3774041.384,172999804.6,2867269.046,2495824.535,2407993.859
