FeatureID,Name,Formula,Class,control_means,treatment_means,ratio,log2FC,pval,pval.adj,Comment,isolate
Feature0073,"1-(2-Furyl)-1,2-ethanediol",C6 H8 O3,Phenol,20.57256162,26.98736575,1.311813582,0.391562717,4.04E-05,0.003759612,Upregulated,1154
Feature0233,DL-Stachydrine,C7 H13 N O2,Lipid,20.81894336,27.01144558,1.297445558,0.375674003,0.003216507,0.019330974,Upregulated,1154
Feature0252,DL-Carnitine,C7 H15 N O3,Protein,22.94810108,29.71306072,1.294793875,0.372722446,7.16E-06,9.98E-04,Upregulated,1154
Feature0253,methoxyresorcinol,C7 H8 O3,Phenol,19.361214,24.12874587,1.24624137,0.317583515,0.002561062,0.017192919,Upregulated,1154
Feature0031,pro-his,C11 H16 N4 O3,Phenol,20.0262719,24.95738265,1.246232088,0.317572769,5.97E-04,0.007567285,Upregulated,1154
Feature0004,Tiglic acid,C5 H8 O2,Protein,20.60033588,25.4578329,1.235796982,0.305441755,6.29E-05,0.004138795,Upregulated,1154
Feature0053,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",C18 H30 O15,Carbohydrate,26.32804276,21.32339751,0.80991199,-0.30416295,3.35E-04,0.005197324,Downregulated,1154
Feature0261,lactosamine,C12 H23 N O10,Carbohydrate,29.55597275,23.8500896,0.806946528,-0.309455017,0.004077108,0.021143375,Downregulated,1154
Feature0210,[Similar to: NP-015005; ΔMass: -441.3129 Da],C29 H43 N5 O10 P2,Phenol,27.12640888,21.83490906,0.804931797,-0.313061547,0.010826152,0.04081752,Downregulated,1154
Feature0223,Tetrolic Acid,C4 H4 O2,Phenol,27.55281247,22.12653286,0.803058957,-0.316422186,3.02E-04,0.005197324,Downregulated,1154
Feature0260,"bis-beta-D-fructofuranose 1,2':2,3'-dianhydride",C12 H20 O10,Carbohydrate,29.46957123,23.60963295,0.801152917,-0.319850457,0.001471674,0.012831161,Downregulated,1154
Feature0012,[Similar to: 4-[4-chloro-2-nitro-5-(1H-pyrrol-1-yl)phenyl]morpholine; ΔMass: 182.0794 Da],C17 H31 N O13 S,Carbohydrate,26.84449665,21.42554495,0.79813547,-0.325294454,3.33E-04,0.005197324,Downregulated,1154
