"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0035",25.3772441124281,25.4047565809577,25.6571288008885,23.8560494183689,23.4190366104367,24.6089216211935,22.9539535727033,23.3217601539588,20.4996120991136,20.6161804836604,21.0068732283882
"Feature0036",19.960872840335,20.9221191234774,20.9339110486112,21.0633182307128,21.7664675918038,27.9660105895126,20.5951668185144,19.1343692206386,17.2406114839571,23.8736106685491,24.4198941597183
"Feature0037",24.4047985762348,24.0791692086812,24.3396953620338,25.854300443189,26.255318929134,21.9232812456283,25.9207288601038,22.7518626350878,24.6866604351085,25.2180212094297,25.8568793586526
"Feature0038",22.5694409129527,21.1462182111633,21.7368412323844,20.1175459298724,22.2333432245584,26.1059652664902,22.5837507891079,26.0866051633762,20.4186913207354,25.3886276660031,25.6897690628602
"Feature0039",26.0974657689251,25.7413675650397,26.5958051623128,24.3410130353649,23.9681190157647,24.0993911071889,20.7508241903044,20.2189519974772,20.4848180890763,19.9272672069499,20.3345403033161
"Feature0040",26.2625773098325,26.604916265741,26.7118528541365,20.2233028946338,21.6829844647546,21.3081049911036,20.3683484389579,20.4940298484048,24.3033207070048,22.4923892423567,21.6409320046789
"Feature0041",25.9950701800465,21.2426508885481,22.4589002910911,20.3983709625734,20.1675494983061,24.5143148887681,18.3343893792254,24.7283320535117,22.0479410412764,24.4220640751952,24.2001509421483
"Feature0042",25.6799576911362,25.6367493792545,25.8423900246137,22.4634381578308,22.0163333087213,22.3709455713071,21.4727834902602,20.6673764223822,23.5395481828444,23.0696442871375,23.4965610803682
"Feature0043",22.4284933810731,27.704537910204,28.0024050766119,23.8071846866604,21.7834940144829,18.5212867344821,23.6206568835721,23.7305545075591,21.6730366066177,17.5415441211658,14.6184251436226
"Feature0044",21.9885912669935,21.1870104855289,21.2051557724657,24.8858304772831,24.4707366194769,25.7813974103729,26.1139003472554,25.7297755559059,25.2545652241787,26.0617210857736,26.4231258787205
"Feature0045",23.9498397400808,22.4968747507095,22.7524433605106,25.0838644249324,25.4118903808351,26.3565839905953,26.1142175645591,25.8130647852833,22.5944281914816,22.5466847218916,24.231213678408
"Feature0046",22.4058441931404,23.0775295944857,23.5072429770853,20.5912887656421,20.3430039642251,24.9236553533689,23.3402330432878,19.7301214979399,21.1086605605653,24.2819540279477,24.008666635373
"Feature0047",19.9064455217344,19.3054083687522,19.0532804576286,26.7202819253805,26.6588013391252,26.9519060295212,26.1930031655815,25.9034045220984,21.8944580113761,22.1396579737403,22.598693962008
"Feature0048",23.9511974591217,23.2094826247475,23.3076685580912,22.1869205826271,23.4689361424891,25.5122529876314,22.5242973192522,25.8580657029548,25.0337487973689,26.1837277729248,25.8379708548515
"Feature0049",20.0457864686001,19.3919716472989,20.7716057949303,27.2750518407891,25.267630835243,22.0925754136325,28.8596536569232,26.6485114918775,17.8820916606585,16.391871389603,17.0046414513404
"Feature0050",20.189824811354,21.1514383959162,20.920839762498,21.5252997291158,21.8566222225843,23.55692145115,29.2712856471551,27.3879338691053,18.7903102061031,16.5648648040253,16.543944615698
"Feature0051",18.2968381966024,26.0296658260506,26.4197365258716,24.2552920719617,24.7555047806473,20.2803609031306,26.3501241440364,24.4319548149529,25.4962925220703,20.6924586128998,17.0462652668341
"Feature0052",25.7097749912453,25.0025544858126,25.2533653812543,22.2621035325124,21.7458750435202,22.0595196048575,21.4972333463649,20.3447450595383,24.6287265617295,25.3336923961963,25.7312700914132
"Feature0053",26.1805861175868,26.2666982730525,26.5368439015239,21.4606929341559,20.8885205073644,21.6209790818853,21.2336689711487,20.2183114063291,23.2059800464213,22.7012482813512,23.2897091866037
