"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0015",24.7695679083916,24.6897294485656,25.0528889215485,26.7753167875842,27.6516818823982,26.8914316030782,25.9973891402909,24.9343137071894,28.2808817900309,24.0949087267143,23.881936971439,24.6465873873024
"Feature0016",26.8608108115495,26.9569690572073,27.1603124805627,26.8249865395785,18.394946822569,26.7243927732207,27.5577590179097,27.7536352608297,23.9227646061691,26.6960430867263,27.2712952428084,27.4022721041865
"Feature0017",17.0647714036325,15.4222828260676,14.7865239013635,29.663065686478,30.2116744537983,29.989115572718,29.1124896236654,29.107044496981,30.6521732096678,21.3764590108227,22.4097559939704,22.6995502810677
"Feature0018",27.6513886262869,27.8128949428469,27.9050773608747,26.8739210545149,26.9439715414249,27.0098827576169,26.5089374256927,27.7769764698721,26.9154936580561,25.9286509921582,25.9705550169294,25.9458297800539
"Feature0019",18.7868663935647,20.1221450836074,18.9211226469452,29.4560527481106,23.8752830278014,28.843933698811,30.1574396718811,30.6391384879981,24.145575108839,19.1448892991319,17.0563846126052,17.739133280314
"Feature0020",20.8535359558137,19.6521529722344,20.6137584987018,21.0765849015146,20.1120888135321,21.5141434957273,19.7452115254108,23.5632253168068,22.9030656190518,23.1158110300437,22.9831452676745,23.2232256937373
"Feature0021",25.2781577987981,25.7598834131787,25.1494938910874,27.6663241449925,25.7591938978955,26.5106862942434,27.3683772257069,26.3759745973361,25.8751944450651,27.3507106742553,27.650107657844,27.9731546166891
"Feature0022",21.1660462777522,20.296134419638,20.9541860745296,21.3774010086763,20.1184338755638,21.4462175379295,20.5446146611262,21.7305630396316,21.1688085568236,21.8723227293345,22.8215311928514,22.6098065562881
"Feature0023",27.1294668046197,27.3907793575578,26.9669389190601,28.318971742757,28.252941589533,28.3038872781637,27.809597539965,28.9034749542977,26.6996363684377,27.3669577234272,27.8344390786392,28.1832155219441
"Feature0024",27.9946118291032,27.7038776128878,28.4023804774484,20.8207235872074,21.0426375229402,21.1900268176808,20.5974481323412,20.6982308190162,20.3450694394392,24.1768211847031,21.3061663507028,20.2537907245958
"Feature0025",21.3128246685724,19.6198852108974,19.3284820006483,18.326344698929,18.579241176053,18.5948390326005,18.3047543103463,18.6281224894559,18.6874154380419,21.4623361953183,20.8971424974581,20.8434838744946
"Feature0026",22.1753989752565,20.4927065916055,19.4820504966726,17.884416664664,18.1242748232521,18.0298688317375,17.896785432452,18.0226993223644,18.0890265008862,20.2164538136566,20.6722277772464,20.5176518466017
"Feature0027",26.4998654323947,26.1095514727458,24.2196012538208,23.219180018173,23.4904073601993,23.17991963622,22.4329458233153,22.6465018774243,22.9234096645728,25.9684655996883,27.3834566982148,28.1652758529662
"Feature0028",28.5936760091876,28.324079434005,28.5867812587687,20.3641295352103,21.3683410703851,20.1661841941584,20.8815105442181,21.8802996691013,22.7674662311367,21.7969860486295,21.1335014119126,21.1631958669739
"Feature0029",19.8209560802098,19.1005978350833,19.2047078952487,29.6820901034505,29.843591306147,30.3690006936935,30.1291794415406,24.9845744829549,31.256894809075,20.5162808092202,20.9866393298766,21.3285544715596
"Feature0030",27.9631205189434,28.1517635785436,27.8301966330548,23.8511197549512,24.1071109175645,23.2363996166684,23.7045692044907,30.2256564514231,23.4946152769041,26.372329724887,21.9355598595117,21.9913333062886
"Feature0031",19.7075764775548,19.5903128997902,21.0429888775403,20.5496379889146,21.347147238153,28.3522208584764,20.8797131403339,21.8832248052953,21.3497265934646,17.4136305735632,23.7357437911744,24.0863361309502
"Feature0032",27.5604674760098,27.0870542437992,27.3427384970636,22.0188269196128,21.8277411704609,22.0621446293124,21.461780794695,21.9596792857919,21.6779841548777,25.7266466794458,24.3644756340762,23.343497196288
"Feature0033",20.7516868362856,19.1198420673192,17.1569238075887,25.8291332095412,26.2015688916044,25.6403357411912,25.586051785783,26.3896820174792,25.0890983985693,28.2757242581938,27.5898841497987,27.9118871649673
"Feature0034",24.5109063440455,27.002639819143,27.2592236138609,23.4085544081247,23.451413237483,24.0286085248073,22.756269956258,24.2699973712418,24.2913253148849,25.8052330993571,26.4383987253881,26.01627273062
"Feature0035",27.8262303892122,27.3733851599933,27.4238440017319,22.1046514508203,22.9994080517739,22.3712197639479,21.7628984823845,22.8683303013849,22.7680617211121,23.1265979447184,23.6558723161654,23.7143855227373
"Feature0036",22.849585448401,22.8130492924303,22.6752180019607,26.7059264772857,27.366864993295,27.2446551329358,27.2615760389499,27.8046117745091,28.098994066763,28.6146449131684,28.7343698611305,29.0654647964744
"Feature0037",28.6392350490608,28.2201808103123,27.9223308101445,20.9833309371432,22.7249753138117,21.8985776566989,21.2338603808195,21.5693400333423,22.9124354928545,23.2129181176318,22.7282476496924,23.2495169308204
"Feature0038",28.687429280303,26.412639930886,26.5759011826652,23.5475624671391,22.8904291333606,23.5049743214857,22.6839970084197,22.6580826574215,23.0295932326079,25.7047030427564,27.1124163920373,27.7680991198729
"Feature0039",28.2931608057538,28.0331439090326,28.2407023939928,21.455943474247,21.5677673205273,21.1378344754491,21.3938607545247,20.9034844985431,23.0149887685709,28.5357010947705,29.137877252412,29.2947880624176
"Feature0040",22.9927419956168,22.2810789852313,22.478223163024,29.3584697646845,29.6747053936723,30.1661258812947,29.9060117502625,24.8507285790192,30.631611600489,21.7829127131558,21.872507750134,22.0200992986597
"Feature0041",29.7586868097083,30.0367559568743,30.223794011919,25.7001183427495,26.0768235264371,25.9083909497625,26.2493705838854,26.1950970088214,26.7622740610681,28.4696955731406,28.6858688204113,28.6610620129512
"Feature0042",16.4720264431911,17.4425431975554,18.2747594596861,24.0217788541886,21.4506549066331,24.0165266051727,31.7340219462773,23.1500088633894,33.0042083682509,10.5357938587342,8.52396067958302,8.53760528337299
"Feature0043",30.2459531954827,30.5039336741015,30.4921656310577,25.596263814476,26.3341928458874,25.7328715919291,25.9182828387251,25.8967551754111,26.5761989051536,29.1390634950382,29.4229186303543,28.977383773688
"Feature0044",29.5975516454956,29.5449241274572,29.7736819722274,24.7852181178884,25.4802764547406,24.9599894373386,26.0317783165488,25.9595441176494,26.735340227305,30.031021451849,28.6897791234626,27.9910078867121
"Feature0045",25.905790785705,24.878608093575,25.218044098562,30.9359078898571,30.9090891180437,31.0933979887101,29.6934660799742,28.3696907325545,29.8618676895002,23.8621948192861,23.7253793494408,24.0564358071122
"Feature0046",25.4450311435797,25.2893117776033,25.2093802769544,30.1768756450728,30.7441510193985,30.2637106461891,29.3291246518124,28.3222352498094,30.1940690693363,24.4404674225806,22.9230243528345,23.0800604826512
"Feature0047",24.1225646474736,21.8308997446811,18.2007184864569,17.9625417657954,18.4659397170062,18.0536420711475,17.7840958878751,18.2103357960706,18.3867498164495,24.8094280871249,24.9987736454384,24.9549943624191
"Feature0048",31.2042024067313,31.3772911599776,31.3235030906883,23.0118200200741,22.9295743115045,23.018576229842,23.250691395224,24.2588168307979,23.3952509085119,26.9261340009527,27.1723016501328,26.636364578767
"Feature0049",30.1802033242339,29.7756839308657,29.8604510891834,22.1195762025555,22.100350117002,21.4626531917774,22.3049982307783,22.3642974547365,23.5468339120478,25.156131944282,25.8325765278257,25.5888182196481
