"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","<NA>"
"Feature0021",15333392.28,1521693.49,21146363.71,336482.0994,15270926.86,21557632.23,12627462.87,863363.8724,12985938.06,15368201.41,146268.0646,13098214.98,351622.6813,14035144.58,21406538.05,948217.7225,417630.1913,3305107.151,767272.2535,21483319.41,15410183.77,755151.2915,6637387.475,16126739.87,241693.5941,401193.2305,1648061.715,218829.408,316518.9592,11641148.57,254663.5,705299.6001,3143788.921,1375464.025,901320.9502,826546.5484,246195.7291,3631665.619,16607376.8,656903.0106,988436.5821,12414776.63,14128450.68,22208599.75,17857433.52,18199947.47,28490007.97,377187.0183,3037065.299,34922815.85,160119.8191,1198882.75,9647768.395,457339.061,1084458.228,1652597.277,312008.3431,22399230.74,23589355.47,503717.33,123033.5269
"Feature0022",2264029.915,2767449.01,3063735.77,784705.9021,5023376.742,9363834.999,3026344.365,2182575.412,1022354.576,8694634.398,1361238.81,2549220.067,2072435.324,7943184.132,14175293.28,2273644.148,852995.0076,23590932.14,1346478.268,1840366.223,2555742.558,540494.228,20560236.68,3477420.806,415091.4894,2094918.169,9380877.518,733272.4193,2348135.05,928323.7797,1421628.008,1175768.156,21358860.06,8487711.255,2564588.519,630825.8584,9517064.104,19659127.62,4551109.049,3816887.774,4010082.075,1503455.29,2637506.479,12004973.91,5805557.213,5524785.369,9516803.062,419627.5308,2414228.683,2265431.957,5411464.75,5239558.221,5294706.144,306109.0964,578174.0801,1441623.393,3555159.275,2453925.577,11701006.15,762854.5794,47643.73362
"Feature0023",197517.3301,1946596.087,527558.5893,1917038.87,218847.7503,11804347.42,198723.0472,773356.0877,105982.0159,1710509.015,224045.772,181079.4458,551563.3429,11058560.42,19761741.98,2813773.786,2364440.443,4078849.632,1146774.377,217753.4452,160078.1146,1428979.374,10021751.56,154239.1285,1564781.635,821375.8048,4799904.74,1076136.537,1240476.163,168551.6752,1542676.836,2465313.782,8221401.374,4744236.1,1872045.556,3319741.877,622187.7776,11406194.87,141098.3605,2506379.614,3258595.096,110936.6468,122002.8727,593789.1541,489462.0304,308655.9117,544396.8015,1728211.744,574943.4002,21556986.33,399399.3492,2389596.91,155838.864,1923522.735,3417574.814,2829870.159,1163155.574,108790.8539,3982227.304,905949.1132,99476.85698
"Feature0024",171840.721,23809155.56,658550.5625,30144857.2,301239.9897,586109.9067,190054.5869,8073370.408,192980.7274,192220.5357,4134648.787,289539.6762,6640143.225,188742.269,961253.7195,26899117.22,13964239.7,191147.1757,14625735.06,196622.7187,198052.0986,6667201.251,489615.758,197869.2652,14270961.42,16736027.7,312581.6338,7716841.04,9190751.188,410252.074,13628020.5,21859836.36,739450.5349,198700.5842,14503884.67,40578178.61,9268521.446,802314.0865,196387.1971,23647862.83,31977192.65,194869.3439,446265.8073,460266.0974,435786.9707,201680.1514,545443.2058,12177258.56,4651317.581,58533213.27,5066065.317,19182450.41,205813.4596,19135220.94,39714470.14,18555845.29,13067134.7,591263.4598,199263.6285,12493015.27,175974.6964
"Feature0025",41810.23446,35792.32226,44853.39945,680544.0744,42718.89136,50649.65803,49288.03947,1550351.373,45273.99986,44003.97252,4982923.725,52105.3496,927398.7013,53202.73179,51317.71557,33717.35851,37374.47774,47113.80826,492954.2342,49051.15313,65197.11948,61111.49087,41151.62896,43159.77707,34521.2809,2695425.497,77009.33927,30988.52974,1730363.318,46031.61462,35334.52786,34684.72881,83472.32761,55018.02446,10494116.17,35123.94895,5049852.57,46159.85575,47984.33243,40033.30574,35355.52504,60884.33541,61443.61692,47755.52643,53063.96725,42340.13313,68900.65358,34153.57027,21805715.52,48577.85933,3243656.278,6232807.076,49154.58224,32818.24988,37304.42123,5649168.033,14446925.17,93428.98949,64847.67047,25634607.76,39256.65222
"Feature0026",50509.36708,37209.03927,95189.84441,12483651.45,318533.7026,359363.034,191966.3673,13340769.68,37376.09716,348613.5507,7490977.982,61032.75829,8281002.672,122724.4465,153554.0854,85982.17971,40270.49638,59183.35428,18056119.11,57194.11432,85054.86469,176399.8951,52693.20953,59395.79734,33393.19087,10786098.06,329294.1451,51709.15059,11836936.1,75092.49011,2143759.464,44457.50473,131022.3646,82106.17378,16215367.65,51038.64862,15337201.35,334599.4989,355153.1241,291240.2639,50396.65301,59809.22966,36916.99975,246579.8665,94162.7165,336302.6759,66637.44584,42318.95104,10781867.64,79319.83378,11537813.31,14590801.35,66090.15916,128665.0441,74645.65814,21292816.65,18336098.87,45260.65269,76127.78345,16003767.19,35422.49835
"Feature0027",181008.9044,634195.9056,203469.9008,10231568.97,653186.2745,292086.4064,599865.9859,6029073.078,201701.896,591893.7034,1760786.657,707805.1106,2041564.268,810044.7311,355715.4753,741353.5025,907465.0272,785713.8251,11485672.7,188916.0785,716341.4094,848146.4252,810078.6245,756538.786,804898.1201,5374128.62,842581.5046,174444.8999,7849030.351,589164.2961,775499.8039,186243.7886,424913.4534,439907.7788,8759906.905,213344.8938,8542310.84,436233.379,899867.086,196025.1971,960663.486,842149.1019,674431.4269,233623.6479,750109.2929,623535.0392,1112239.991,698505.1625,2369833.925,1808553.668,1640683.609,24645804.2,775253.4654,750521.08,871391.0542,25967832.53,9296590.159,835603.7773,292177.3974,2291268.833,369640.0331
"Feature0028",8065504.802,3217054.733,22550866.59,13645674.2,11894404.72,18876297.54,11439720.3,12529128.13,6497255.779,10441876.19,4396721.61,7408908.27,10899708.21,14222666.18,20677271.12,3850311.68,3562447.123,18185771.7,15383105.14,8922152.937,6849015.341,1886879.35,20814614.45,12448348.43,1688593.391,12788947.29,10407789.83,1411540.157,11534650.26,9043960.541,2853476.14,3478734.201,16971679.5,9661436.384,18916351.77,4599403.292,14605660.78,23506753.92,13886647.59,3880708.501,4508594.282,5858307.304,8718469.603,21358184.83,18976212.93,16015839.96,20271416.51,2538129.312,8348648.451,9259091.139,8748588.965,20782626.35,11816060.02,2616252.947,5644425.579,19216830.41,14574549.84,12001874.94,18125644.85,12865581.71,146992.9617
"Feature0029",264963.1334,621270.1578,330241.773,15763371.33,625577.5883,817100.8185,297377.8618,18971277.43,215909.7661,881285.8615,7347917.011,334796.8667,7117060.647,698628.5012,556799.0894,426408.9521,389915.0586,1271590.9,27417530.75,572975.5411,385115.6614,258460.2645,805166.7459,594694.9964,378273.3837,8594322.109,368676.5715,166985.7592,13733364.01,314356.6072,488458.0106,630167.8408,437231.3956,302412.4167,16688296.78,829293.6025,16844389.46,686681.4955,442737.1114,1091207.328,1032109.788,350122.0141,584294.7713,543341.7928,288495.9639,1122245.405,987305.2641,315897.0815,23169167.35,275370.8976,13160859.75,28869705.75,517943.7963,444093.9621,714324.0702,29114344.59,28389450.65,444868.5076,768236.6665,31233026.36,38549.4534
"Feature0030",7069004.139,8254000.741,19473070.47,6780871.346,4565028.054,12935098.82,3558424.845,4677435.904,3585737.994,3711452.737,1523460.313,2967446.361,3995462.11,4316229.936,16118712.73,12269746.3,4697179.112,1618649.385,9495989.039,5594134.968,5908184.11,2923916.111,3513745.754,4435926.006,5593223.954,5268808.281,2179238.881,4851118.839,5146280.18,3725318.6,4887285.12,9431760.564,3587367.635,2841685.743,8076940.17,11835797.1,10096697.17,4005134.818,5787608.142,7345061.932,10194906.32,3899765.961,7056137.206,21224960.7,10597578.8,6141469.345,22471228.7,3532869.446,5995099.558,8847060.582,3312208.666,12445984.03,2519452.555,6245134.972,10510359.09,12062395.9,7938945.857,9068394.143,9515802.941,1306702.815,344098.102
