"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","<NA>"
"Feature0012",2896223.0832059,1373544.35059487,26611175.5598057,1401807.19420407,28724869.774797,20625404.3007066,22359772.5262905,1524510.8545101,19411483.6744895,26390127.0705474,1402519.37091142,4114320.40418266,1202378.68403744,15937833.101287,12684982.5725306,1537308.6303115,889937.660297799,14089179.1211052,1530977.00929237,15997853.1962706,11961999.7671721,2357981.66288114,11799909.5953761,3699823.29155407,2021644.80355234,1196993.36808404,889199.770340741,1675774.03957719,866682.435907728,15171656.8489823,566426.555226529,788853.862734699,12975201.9383027,4358655.27015124,898211.503640475,1602596.3807672,1505888.63841819,11919030.8068372,3335888.7879982,1101400.46609108,1649230.26779968,24950196.2745709,27892822.0192872,29076289.2851334,30760735.0399583,25419425.6920142,14950609.3020989,678139.707196282,1407322.61091967,447085.9593021,1513394.26357762,1202375.60057767,1572587.74508243,832412.454299231,491715.479504658,1692051.54721822,1902022.53212024,20761183.350438,27427453.2268474,2430158.09602818,2838488.67452142
"Feature0013",329550.109065313,40758576.6281876,165038.447100503,408729.826712363,253643.901878636,99616.7603852664,241760.792123544,561452.176131058,433563.206283708,193492.398969755,395293.919495391,281828.14663888,303936.886539607,104211.304970471,74432.4488827816,45823495.0512887,43007354.5032533,144738.694539514,359044.034153089,254580.997886285,265010.042859136,28130964.5844904,104629.113719744,243201.713885203,41991596.2746798,268592.150672666,194740.987313665,41729426.2159382,323261.272318524,323624.35885767,29730092.651304,52394078.7576577,101401.889090823,211715.346920138,384128.79393942,53103509.8852147,308301.973730676,81682.5584717306,188460.493160588,46828888.0197449,49929754.4176147,370131.258343867,316131.772029378,145712.553892892,184228.329019809,222003.685714392,84267.6216092541,33277073.7275526,327145.997178655,243785.049493048,214688.317195594,389948.823687668,215487.866450909,53539565.9911364,41333266.5510035,220014.516831162,604577.804894637,236605.832622713,118244.850097307,362372.79947688,1528742.69224875
"Feature0014",10289969.8328479,47435.1626652021,5130002.18216911,13065.2664750265,8547461.36173186,31061820.536332,5990032.34164109,15870.6720883223,1258871.29332938,2158086.45376887,45854.942979821,8168108.76580093,23188.078411564,20638341.2699687,28439857.9381408,44216.2764231792,54998.1906022976,1287656.31961878,20250.1078685941,2502067.12393341,21705640.3281935,90894.4837544906,12674253.7368881,16883229.2637457,83819.7065276707,21658.4929800917,21243665.333005,80081.6066902861,20836.259443274,1243437.01437713,61057.7098263983,66861.933189924,20721399.6224754,8274805.29520337,16198.9321334422,48723.2654986007,24642.6538864634,20512572.3843246,15838260.3020806,141526.248212915,44790.1308402135,1712276.39441677,1554188.16139511,7861920.61948575,5124736.23195831,7205409.62974035,15980310.6589629,52904.3837721888,23675.3279154083,19792.7439950179,30686.9975022275,12072.1988582985,17573163.838775,67715.3322493656,42703.7192881494,11347.1578948293,17337.5918437981,5689472.14259073,2394012.88552922,26738.5913112986,413686.358773133
"Feature0015",144765.13572991,725558.568309466,240588.173725199,42546.4582868792,651030.427379123,194647.186597455,648162.425828897,39387.3060690323,263272.627575211,289184.103113512,297245.107265742,134683.068159844,66445.2385926568,308975.363140512,94951.56768734,405284.799711753,590982.313111098,151974.01372127,49440.4907116161,307764.919985638,199520.777081109,760997.769184158,367171.348311857,261535.907859922,559695.662556723,61236.8780097104,18209055.3963185,735097.533747192,75611.9463019856,172868.134011647,339897.649843604,479620.193661478,13000922.3659299,18263785.7261962,49556.555914929,938254.487271482,53053.7941298802,308060.487816167,140260.264520958,393143.586194164,882929.069404732,300685.717195187,279990.103716147,177254.907153398,383435.349752475,736556.02594107,114718.28501084,265723.44223837,69832.7031547495,164835.406139449,76555.7616738087,35892.2236940074,208147.045500994,875725.097894865,39213770.5427625,185317.072594221,169284.735463324,15511946.4896276,18966514.0173805,339066.781240543,751139.032932054
"Feature0016",227814.220974194,153303.681983932,225558.737352113,89609.6100171893,201222.049078791,117838.908106348,184635.697995348,103941.979808909,275157.250205617,190636.796743975,76936.5823694489,179174.534802101,138430.513016096,133328.127656857,103286.339359899,181587.234567282,172445.086341178,229451.63825002,113703.053558461,195328.984916336,163383.985714203,698437.02343112,120020.754984587,203830.704227104,253898.226417812,94324.5792756897,158034.875183671,228418.375391189,125009.442854529,251686.862551969,157952.279947029,213393.856559285,73768.4164835565,169827.388086444,70250.8753697461,228834.345879336,46637.085022208,113121.875234345,280122.22279983,149477.294448952,161699.525024929,229884.464355108,271127.476002832,199031.250153049,164107.160077869,339042.153020007,74122.8746995907,145985.926258744,55007.3620155358,16694344.7897477,56550.3918166295,34545.7280010801,224757.95777189,206025.5519484,196261.037990624,80615.2767247974,120830.532973524,199821.422204219,126142.343101014,60940.1001975807,593597.244690894
"Feature0017",401322.710676483,478706.327658812,164314.257105571,442441.71832194,373587.612068735,446833.693726848,361468.992223242,1178368.15488542,457000.195342752,1610535.92024511,11233317.7829375,394873.958550186,4723882.14163014,448923.769432796,485662.029134167,141452.622519341,245877.90789209,144787.243918659,237634.808711681,372815.647212481,376008.435600942,7401236.210154,123613.659742534,239282.72996872,255063.333748757,2916590.29401127,219977.466420394,268179.532643974,4363506.79780835,372187.830846407,174857.333798441,195784.382126132,150773.034771247,231207.127957372,4392435.55306465,391379.468975866,11765656.6396055,108734.01117343,299708.046509748,601432.236127687,487616.282266235,521843.362768538,377664.40340459,230804.262233179,315967.426070178,239660.827603231,438040.437977089,461524.83861595,7460280.58752255,2277848.3703165,9493294.46749571,4140500.62959589,236474.130683676,222758.869798195,142524.102240829,4294333.5947373,4973564.97046411,445031.23213113,201010.990896575,8217065.18136523,1304875.90206768
"Feature0018",340101.047740392,113279.561924616,2058212.58918473,296605.574461499,14223582.4719522,21157724.4063903,2647027.56793272,100306.040184875,678818.157465942,3367894.4488717,77748.6935391853,468345.055180865,72104.7019104365,12574095.6640448,2040467.37871546,109580.157572607,2168396.05692759,7429778.26614169,115845.729766617,1938147.03868687,22343670.7912093,195987.748587179,10427417.9802678,15682661.7326219,197672.707202263,67198.3347945993,19155158.6798869,192198.647515781,75108.6152929013,1069667.8643345,1332904.31661622,147251.31899492,15923185.9366457,22037365.1585787,65775.981284711,167866.9155352,110899.143094072,11566721.3321621,2507376.62436101,235473.124671343,204577.639332888,598888.345313221,1399698.60634563,2040981.07806947,2482835.12514226,2409333.68709787,11040075.4167096,345571.469897645,39045.5716351221,7341508.57439433,70005.3944471581,110687.167612385,15973977.7254179,153326.383033078,163941.577124185,167723.129948855,153704.8791968,1773314.4079609,3713218.79663593,139064.374436393,803558.659569425
"Feature0019",105594.71102827,93094.4193477765,235431.249838922,39922.455182756,5121751.5225462,17865862.215883,1126172.62986324,26957.3292053706,181382.040508601,18710449.6732724,54099.4868040261,284369.139150904,32999.2040152477,14766966.5518194,15058159.6800168,70543.2916867875,85628.2413288883,17871051.7639023,104544.697799492,104803.127552661,512347.824183132,14275824.4663215,18230027.3248303,180070.637775152,120653.991716238,39420.5634788525,18948535.6058075,145450.142363112,36018.5552551643,1000316.58224477,144068.085800325,104252.33634804,14392125.2568784,7577329.43962846,29796.0588824879,110393.320687816,24726.9399973487,13542918.7224438,117832.006909218,219947.575595473,70421.9688878445,144607.843265627,96338.6025110914,3922882.37545753,3986042.15239175,385890.681493466,441991.782668552,73131.0848298361,82956.4336801555,482361.720010581,36237.6636876881,29705.7657774157,93872.212116022,103494.122704733,133715.05531029,16942.9404609491,55028.0391336031,98314.8186907359,16040154.0049002,56131.9590983273,498373.220593059
"Feature0020",215069.53098679,144219.761071083,122489.865735298,2052996.24139071,183610.978430327,112709.44254406,179077.737486966,1837727.84099127,293869.652201173,153344.559301225,14608122.9262952,287046.149775575,2335644.04796214,83948.8822876644,84923.6186561853,146012.539544001,163112.053573796,125090.10490871,1776896.29485681,190235.513367746,184169.421365788,276920.071128985,93968.067928738,189267.998623336,227109.975230562,4068230.8456472,147666.56573296,230025.022357499,8889083.75324591,237805.141628804,177083.211935323,177959.985698638,88993.2662788068,137773.070106457,6189067.01859114,138824.735115749,8159085.62508561,74717.8265452175,142679.98885631,155791.093482133,124942.556143279,228629.66159505,186334.092201945,124914.243958898,143244.105368366,144097.415842515,74701.0361488454,137961.064920993,10627489.2131148,68237.1466514733,8235778.32920775,6529921.70637222,137895.412145886,180764.960573574,126914.159008128,5806043.56078899,9174631.00840689,174630.347565141,102468.606694903,13374547.3362275,1054812.57534033
"Feature0021",44939669.3369213,3025556.72102783,28521210.8842911,150575.882192618,34488971.5843313,18332184.2269758,27674742.6010821,462474.855772698,51200214.4551725,26359142.1232533,201229.616311464,31395007.7383349,260471.435439491,12559738.2190161,13099339.5271052,1790325.98329053,907314.141149154,4065162.32161334,300248.422606765,49238269.7587484,35368452.9975778,2666156.98669258,5415235.89678568,33778544.772477,805076.812006533,250257.236702319,2664572.35845313,768993.850357327,185701.725149408,33326926.1180907,555755.535875863,1742746.41258731,2544737.54761323,2430057.4326659,298960.624925712,1513836.73088041,113840.156672551,2347431.82854344,26825276.4258427,1205255.6246061,1653081.40387341,38451064.9428811,37926628.0134956,27175358.3720435,26582938.0247967,33317194.6059169,18554305.7692672,755269.831061729,2037289.86754617,22710396.9783267,128466.883134064,331211.932448667,16993274.8813015,1238650.17008445,1731421.37615301,421116.332851479,146093.53861521,44935970.6352066,22733867.0014603,337425.3596702,1774065.05046583
