"","10_CTRL_1154.3","14_CTRL_1177.3","19_CTRL_1246.2","2_CTRL_CTRL.2","40_CTRL_CTRL.3","41_CTRL_CTRL.1","46_CTRL_1154.2","47_CTRL_1177.1","57_CTRL_1246.3","59_CTRL_1154.1","60_CTRL_1246.1"
"Feature0011",20.6813908940769,18.6283956413162,22.5707199397252,27.5363737605909,27.4958849020635,27.670399332518,20.8145505453294,19.0863217343777,20.7637584365296,19.3883619993672,19.863283325348
"Feature0012",25.0570422810906,25.3588565701198,24.699679207196,24.5226116759088,24.4078524567317,24.2475624863181,25.4378368812376,25.0460545982688,25.3014782755591,25.4656374626113,25.6574169982194
"Feature0013",25.3995731985746,25.6249092395554,25.0492398323025,24.8697383572033,24.7944252780291,24.6724562857753,25.7230550150335,25.339295820192,25.6063747222606,25.7217663198279,25.9091795600492
"Feature0014",22.3766264200599,21.1236304605748,23.068365604651,25.7886968280839,25.4012548811099,25.5768565236612,22.2560196894075,21.3093258371755,23.0370072605985,22.1757395050573,23.3912789522393
"Feature0015",26.9662295007858,26.5175192382839,25.3293962373163,17.2478283331211,25.2968760688232,25.202313611242,27.194833504191,26.2230818696831,19.7471989982503,18.509713261708,19.3991736899737
"Feature0016",21.4393617801245,20.416607567696,18.9828847826766,17.4973245469619,25.1441668850746,25.004328939137,26.8699966813545,25.9228369558404,25.8838963706427,26.8082012171044,26.4121963083342
"Feature0017",21.7505375778462,21.4374231597191,23.6823428481363,24.4775404398428,24.2410184607167,24.4810193012555,21.0606154750715,21.9308906058348,24.3393250979416,21.7000678679098,23.9727193351136
"Feature0018",20.4960407915727,19.0695289722481,25.9084817540024,20.4186182741963,20.3685467413106,20.4207323473035,20.4537702554551,18.658729541487,24.495197135076,19.584481357343,24.6453882446993
"Feature0019",22.0087105226382,27.6599268143193,20.1762511086347,21.8787582674844,21.2501792170239,20.985234294252,21.7295534867836,27.1215611425509,18.6641066531288,21.4507333592683,20.2043060420973
"Feature0020",26.1406665743986,26.6032250493416,22.6926868201314,21.9169663746675,22.2633422810073,22.5138457510446,17.9753440401179,23.0347863166939,21.5240972405397,24.7627377012658,21.8623357970717
"Feature0021",24.1391390080411,22.7235928814788,23.0142919982295,25.7958459946155,25.5289512218384,25.4075636588639,24.4004693338997,22.534869565717,23.2450648048255,24.7166435009318,23.3553891891275
"Feature0022",24.0750427180988,20.4401182299591,22.4329112553699,26.0091691650426,25.9136116175659,25.4623099353629,24.0676522496352,20.7186662701718,21.7457777072686,24.5448027740174,20.8295249860329
