FeatureID,H_to_C,O_to_C,Class,Fungi,GFE,Name,Comment,log2FC,pval,pval.adj
Feature0189,4,1,Other,1246,-53.7,Bis(triaminomethyl) carbonate,Downregulated,-0.140025998,0.005907976,0.02156883
Feature0187,1.666666667,0.833333333,Carbohydrate,1246,60.3,"beta-D-Galactopyranosyl-(1->4)-3,6-anhydro-alpha-L-galactopyranosyl-(1->3)-beta-D-galactopyranose",Downregulated,-0.121086142,0.005252158,0.02039402
Feature0185,1.266666667,0.2,Phenol,1246,79.3,Beauvericin,Downregulated,-0.090300784,0.007077121,0.023918047
Feature0184,0.833333333,0,Unsaturated HC,1246,69.8,Azobenzene,Upregulated,0.453614503,2.35E-04,0.005044472
Feature0182,2.090909091,0.272727273,Lipid,1246,65.48181818,arg-val,Upregulated,0.14286815,0.007820172,0.025555059
Feature0180,1.444444444,0.222222222,Phenol,1246,79.3,Anhydroecgonine,Downregulated,-0.24432379,0.006086547,0.02156883
Feature0177,2.8,0,Other,1246,71.7,Agmatine,Downregulated,-0.315322757,0.013265974,0.034835111
Feature0175,1,0,Unsaturated HC,1246,3.3,Adenine,Downregulated,-0.477333653,1.21E-05,0.001131044
Feature0174,1.888888889,0.444444444,Protein,1246,79.3,Acetyl-L-carnitine,Upregulated,0.340914673,3.07E-04,0.005100954
Feature0173,1.823529412,0.764705882,Carbohydrate,1246,63.65294118,[Similar to: Valylproline; ΔMass: 243.0478 Da],Downregulated,-0.192651124,4.38E-04,0.005434001
Feature0172,1.333333333,0.291666667,Phenol,1246,93.55,[Similar to: Trimethoprim impurity C; ΔMass: 188.0284 Da],Upregulated,0.034900952,0.015475733,0.038689332
Feature0165,1.6,0.8,Carbohydrate,1246,-42.3,[Similar to: NP-016755; ΔMass: -960.7865 Da],Upregulated,0.031405908,0.002583896,0.012365889
Feature0162,2.5,1.166666667,Carbohydrate,1246,50.8,[Similar to: NP-016129; ΔMass: -205.0627 Da],Downregulated,-0.097404994,0.003370888,0.014515903
Feature0161,1.678571429,0.5,Protein,1246,86.76428571,[Similar to: NP-015005; ΔMass: -441.3129 Da],Downregulated,-0.079667229,0.003459955,0.014515903
Feature0160,1.64,0.68,Amino Sugar,1246,51.18,[Similar to: NP-015005; ΔMass: -441.3129 Da],Downregulated,-0.031647326,0.01562931,0.03880747
Feature0159,1.16,0.36,Phenol,1246,64.86,[Similar to: NP-010746; ΔMass: 146.0345 Da],Upregulated,0.349589597,0.002608694,0.012365889
Feature0158,0.888888889,0.296296296,Phenol,1246,49.74444444,[Similar to: NP-004022; ΔMass: 150.0295 Da],Upregulated,0.528414394,4.28E-04,0.005434001
Feature0157,1.571428571,0.571428571,Amino Sugar,1246,-12.98571429,[Similar to: N1-phenethyl-3-(2-thienyl)acrylamide; ΔMass: 0.0001 Da],Upregulated,0.377783256,0.001473084,0.008534531
Feature0156,1.4375,0.5625,Phenol,1246,42.4875,[Similar to: N-Acetylneuraminic acid; ΔMass: 120.0423 Da],Downregulated,-0.272213475,5.28E-04,0.005768213
Feature0156,1.4375,0.5625,Phenol,1246,42.4875,[Similar to: N(6)-OH-Me-Adenosine; ΔMass: 132.0422 Da],Downregulated,-0.272213475,5.28E-04,0.005768213
Feature0153,1.8,0.8,Carbohydrate,1246,60.3,[Similar to: Muramic acid; ΔMass: 162.0529 Da],Downregulated,-0.166190534,0.006076552,0.02156883
