FeatureID,Name,BiogeochemicalClass,10_CTRL_1154.3,14_CTRL_1177.3,19_CTRL_1246.2,2_CTRL_CTRL.2,40_CTRL_CTRL.3,41_CTRL_CTRL.1,46_CTRL_1154.2,47_CTRL_1177.1,57_CTRL_1246.3,59_CTRL_1154.1,60_CTRL_1246.1
Feature0041,1-(Dimethylamino)-2-propanyl acetate,Amino acids & derivatives,23.3800069466488,20.0064495782262,27.8387950743878,20.1714462423198,19.336515937656,19.5993241624414,21.2276215561122,20.0167954060704,27.9170917988308,23.7581299594601,28.1960716917189
Feature0042,1-[(3-Carboxypropyl)amino]-1-deoxy-beta-D-fructofuranose,Aromatic amines,26.0219839039314,24.4623791340035,29.7427697359493,28.4508393947044,28.5140695541919,28.2428929988279,23.4509158621118,24.2907776047476,29.9019755761833,26.4343315751784,30.1151412532342
Feature0044,1-Amino-1-deoxyhexitol,Amino acids & derivatives,21.796504270195,18.3783700015611,26.1263072493549,22.1912896091172,21.8830935072392,20.2779455787212,21.2227344760666,20.6546977020031,25.0704226816203,21.1218216967509,25.0468404856405
Feature0046,"1-Methyl-5-(1-piperidinyl)-2,4-imidazolidinedione",Cyclic amines,27.253107973519,28.1362993304943,23.4589005902663,22.7578063024825,22.8668336562582,22.4430028567132,23.8621950167276,26.9652202523471,23.7834728190453,27.3004184423642,23.9368804010966
Feature0048,1728928,Nitrated lipids,22.284782745906,23.8715887724936,24.4254194931394,24.0311182935665,23.6485620878526,23.7376953427243,22.2835800172742,23.5102043502406,24.5023451237347,22.2946394552309,23.9813358786714
Feature0050,2'-Deoxyadenosine,Amino acids & derivatives,27.6553965542891,27.2853244085447,26.455905760119,25.84758516911,25.3822595206518,25.4732882176006,27.8592228854762,27.5805510960048,20.9343620088786,23.121658347019,20.5038595697955
Feature0051,"2,3,9-Trimethoxy-6a,12a-dihydrochromeno[3,4-b]chromen-12(6H)-one",Carbohydrates,20.2633382543343,18.999712949467,27.9307085275627,20.277918584289,20.249085150758,20.506273955936,20.4719281765606,19.0590743638303,27.0274359535894,19.8648496491815,27.6820584115898
Feature0052,"2,4-Diacetamido-2,4,6-trideoxy-alpha-D-mannopyranose",Amino acids & derivatives,23.942201061464498,23.6270818675627,24.8320404466085,23.0479356241001,22.8196140842051,22.8951465896843,23.6504419027637,24.5384402071898,25.1118886887626,24.6152067285137,24.1907684123474
Feature0053,"2,4-Pentadienoic acid",Carboxylic acids,26.1369058209835,26.1010050399087,22.4363599208154,22.613789360188,22.575542049627,23.0166546929361,25.4829325664851,25.6599906556696,21.9235127906668,25.7971863243705,23.4815610955138
Feature0055,"2-[9-(Hydroxyimino)-3,6-diazatricyclo[4.3.1.1~3,8~]undec-1-yl]ethyl acetate",Other,26.0481639105778,26.9954571994366,21.5638629991975,18.0168628686141,19.3085637884015,17.9601566655709,25.9059063402692,27.3686301714196,21.9492993853265,25.8782464618505,22.192024454771
