"","10_CTRL_1154.3","14_CTRL_1177.3","19_CTRL_1246.2","2_CTRL_CTRL.2","40_CTRL_CTRL.3","41_CTRL_CTRL.1","46_CTRL_1154.2","47_CTRL_1177.1","57_CTRL_1246.3","59_CTRL_1154.1","60_CTRL_1246.1"
"Feature0025",131608831.3,140367925.8,157653342.6,140952639.7,144586112.1,154297424.3,120838082.2,176315842.8,148608360,147151158.8,148642104.7
"Feature0026",544904.8748,568137.8048,155690701.2,550754.8216,502690.9359,513487.2788,558811.9705,603041.4684,174679893.7,1283615.933,205425623.7
"Feature0027",294111.5956,65715906.58,389218.1698,418444.8451,383162.5468,325176.8237,378134.3022,49035410.04,355111.6225,2793154.973,230102.983
"Feature0028",19307268.62,8071844.706,55042024.65,41950899.09,43191423.77,51155913.87,12879541.56,14093484.15,53450808.86,18434553.75,48288046.98
"Feature0029",45035416.22,21050260.45,25693832.08,80353230.4,67709881.14,70061324.83,17290823.41,62552748.63,21450069.05,53889145.97,19254860.87
"Feature0030",16569360.31,14759091.31,16573405.43,89434214.72,89607115.19,106074160.4,10772867.96,60303192.29,13504097.34,21785002.19,9530129.338
"Feature0031",21855411.16,5354664.702,202631584.7,934009996.8,1031724613,1209235012,15988631.04,15903416.7,1055416692,8011918.67,907039061.3
"Feature0032",6169660.472,667826.0129,1692940.45,55148436.41,32949993.62,60426927.11,4264502.299,961856.0154,1497716.676,7610354.764,1506824.853
"Feature0033",72192376.97,54640744.36,142635956.6,122286823.8,132729019.7,147239491.7,42120073.4,56712639.95,137568297.2,78108091.99,115665620.1
"Feature0034",12018584.17,8970232.467,2039814.073,487458.3398,15568222.56,3901576.164,5975174.645,4010252.445,2072907.136,12498024.48,4190602.555
"Feature0035",104946203.8,2290340.52,89991399.85,491029885.6,459379313.3,581265801.4,12786384.86,118679737.9,4333015.779,9652997.17,19093683.09
"Feature0036",837259.8111,667786.8956,11468886.82,1507805.599,739430.3156,1567037.304,1115708.715,1145859.574,11439516.11,886512.478,16519344.03
"Feature0037",1532943.402,8953601.797,12459663.01,84201123.7,79108545.07,88014505.04,158943.5798,4823511.443,9770833.983,352336.8179,12555640.48
"Feature0038",65379470.5,47877434.44,3738023.52,2393988.54,2194376.395,2696867.876,69435491.76,80022986.27,3923068.048,74865102.43,2318567.572
"Feature0039",450209.8029,479128.8994,106188752.9,436885.6445,422497.748,428725.8198,428335.0378,431302.5119,110696720.1,392033.9716,131109735.7
"Feature0040",708994.4459,76240306.62,666336.513,1044577.428,1573694.24,1090353.157,854207.5717,4002479757,750625.453,917516.2595,682794.9202
"Feature0041",3297099.085,631542.0155,216180723.6,514782.858,320153.7007,361921.7614,508486.7706,475384.44,207698059.2,5830849.04,174437316.6
"Feature0042",81817616.62,23927121.24,1425604839,503516127.3,549024494.1,529708782,10926744.9,27026946.77,1096178624,98728679.2,994273230.8
"Feature0043",45643388.45,52073216.99,46992540.49,45278072.61,50931334.39,53215600.46,50056562.4,51268898.64,23280071.28,29368251.28,24304002.59
"Feature0044",628122.6137,139219.8781,28797254.18,881625.8303,730912.4412,229817.7931,346367.956,643734.6922,22758192.7,544315.542,15224864.17
"Feature0045",67125.73164,70370.48005,150203.442,76519.57952,186401.4423,78473.60469,65191.23697,75865.80432,54795.5784,60032.48815,58831.65721
"Feature0046",158664738.1,279208372.9,18312542.79,11873709.55,13836371.67,12098534.41,11836525.9,167177003.2,14247715.22,140317939.3,12628383.89
"Feature0047",5042706.485,3349867.604,5050619.043,3978462.648,3837893.434,4010047.747,753728.1464,7261561.292,3284957.924,5535204.678,4534609.378
"Feature0048",2686367.616,10674062.84,36979169.45,24028121.84,22164895.54,25691497.45,2245447.159,10138123.67,24781328.82,2946492.085,12966698.48
"Feature0049",6840942.064,3979393.622,6656948.524,144143.0203,5080868.846,3481594.807,5207169.037,12895182.06,83580813.86,247056734.7,64745105.84
"Feature0050",233772046.1,167501542.4,143355374,95450058.96,75153738.28,93528346.73,207018507,259939670.3,1991364.906,8218707.089,1138987.482
"Feature0051",204336.7424,212716.236,89219347.64,216955.8949,216761.501,247753.0505,201351.9661,223763.3565,81185991.57,213710.0094,88861939.05
"Feature0052",11249051.11,10715523.5,47846196.93,14153222.85,13742464.22,16385399.59,7857465.019,27195527.15,36258046.29,17654167.7,14750944.05
"Feature0053",56993158.5,61800396.59,9035602.3,10844410.9,11764770.6,18285518.22,30411097.9,63315132.38,3851293.526,42629047.6,8902443.975
