"","1_ERIN_1177.3","10_CTRL_1154.3","11_ERIN_1246.1","12_ERLE_1177.3","13_ERLE_1246.1","14_CTRL_1177.3","15_BOCU_1177.3","16_ERLE_CTRL.2","17_ERIN_CTRL.2","18_BOCU_1154.3","19_CTRL_1246.2","2_CTRL_CTRL.2","20_ERIN_1154.1","21_LEDU_1177.3","22_BOCU_CTRL.2","24_ERLE_1177.1","25_ERIN_CTRL.2","26_LEDU_1246.2","27_LEDU_1177.2","28_ERLE_CTRL.1","29_LEDU_1246.1","3_LEDU_1154.3","30_ERLE_1154.3","31_BOCU_CTRL.1","32_ERLE_CTRL.2","33_BOCU_1177.1","34_ERLE_1177.2","35_LEDU_1246.3","36_ERIN_CTRL.1","37_ERLE_1246.3","38_BOCU_1177.2","39_ERIN_1177.2","4_BOCU_1246.3","40_CTRL_CTRL.3","41_CTRL_CTRL.1","42_ERIN_1154.2","43_ERIN_1154.3","44_BOCU_1154.2","45_LEDU_1154.1","46_CTRL_1154.2","47_CTRL_1177.1","48_LEDU_CTRL.2","49_ERIN_1246.3","5_LEDU_1154.2","50_BOCU_CTRL.2","51_ERLE_1246.2","52_BOCU_1246.2","53_ERIN_1177.1","54_LEDU_CTRL.1","55_LEDU_CTRL.2","56_BOCU_1246.1","57_CTRL_1246.3","58_ERLE_1154.1","59_CTRL_1154.1","6_LEDU_1177.1","60_CTRL_1246.1","7_BOCU_1154.1","8_ERIN_1246.2","9_ERLE_1154.2"
"Feature0018",419166.9995,6169660.472,722379.269,507887.2426,1241737.088,667826.0129,725491.6332,60728458.72,55091110.81,1059823.859,1692940.45,55148436.41,1261326.683,814334.0571,26661817.04,507580.0975,38050391.15,2854293.507,1052290.32,41786340.56,15355232,3298202.609,542946.4251,31650898.13,41963373.12,595053.4017,490864.2822,3610358.028,59086818.52,886266.5182,686717.0458,880464.5827,10849337.64,32949993.62,60426927.11,852161.8723,516363.0094,7410700.537,5896774.641,4264502.299,961856.0154,25099424.51,783845.9076,1872239.274,26081095.62,752258.4342,1860366.889,649384.0242,26809359.61,62506067.81,3733356.659,1497716.676,577421.0737,7610354.764,651531.9897,1506824.853,6044115.986,914739.4773,381286.3191
"Feature0019",28570436.43,72192376.97,59549488.14,31261201.76,145528819.6,54640744.36,45513348.48,148122377.3,115629632.2,227447651.1,142635956.6,122286823.8,40618143.91,44647959.9,99327182.37,38751986.77,148568497.7,160419079.8,111795046.3,129374391.8,162364878.7,48080511.51,33599176.86,123073204.2,124941698.2,108328325.6,195251724.2,176614400.5,153363891,56442558.87,161111588.3,39405400.72,107054809.2,132729019.7,147239491.7,24430405.24,37352316.07,58302989.15,48166032.63,42120073.4,56712639.95,118461279,45096167.42,49135702.75,181911818.6,50157072.27,235077665.7,36087433.64,108849430.3,158334893.5,116333494.6,137568297.2,41503095.88,78108091.99,42752277.72,115665620.1,47129550.37,74012130.3,21675232.74
"Feature0020",1911049.058,12018584.17,1345812.59,2178956.706,2105893.01,8970232.467,10810608.91,2395861.076,1265072.973,29017930.63,2039814.073,487458.3398,3707803.896,5099949.561,410099.2731,3055983.23,525919.8998,1465512.276,11921952.55,4196916.389,1391430.2,8484508.701,4786557.073,2010924.672,5983756.961,11061314.58,23182825.91,2473418.246,497914.6613,2501422.58,11399909.74,2533570.918,8830270.513,15568222.56,3901576.164,2862456.453,5417293.808,9454342.728,9890800.044,5975174.645,4010252.445,396414.7676,2949003.902,10931318.3,5463546.603,892479.5353,1952804.551,3814458.186,1825683.673,1824844.021,10610051.1,2072907.136,4192789.489,12498024.48,8938566.695,4190602.555,8603708.611,1635461.469,2070790.54
"Feature0021",13636950.55,104946203.8,8663816.091,12412402.72,22980863.65,2290340.52,12506041.07,645955108.3,253135321.4,172007101,89991399.85,491029885.6,6975288.935,26217661.57,194983585.2,7339445.749,598196766.6,216173943.3,19504826.43,406606207.1,240495038.7,23365034.73,5922816.932,360659238.6,632565712,17717197.8,70452466.37,118849951.6,606016760.5,8805322.443,23394279.57,21635484.87,45811743.71,459379313.3,581265801.4,6965661.751,15737079.09,25105095.94,43245433.21,12786384.86,118679737.9,286955297.9,5720737.518,16382832.64,706644281.8,2863135.077,457689656.3,4531419.215,338689613.9,674142938.6,9217845.582,4333015.779,9679191.161,9652997.17,19919745.78,19093683.09,17335652.03,22246275.89,4084576.086
"Feature0022",1057800.555,837259.8111,10973263.56,995805.7496,8419596.815,667786.8956,804038.19,1287461.828,1063585.934,793320.1193,11468886.82,1507805.599,1188543.023,1086550.947,1285847.383,909941.7103,773595.7254,8667488.247,625475.3079,1379257.244,11806814.34,1116645.144,907850.249,1445535.051,1651087.811,817761.1181,525401.1472,12624084.77,1553581.694,14477179.9,515428.8061,1066736.289,6759029.761,739430.3156,1567037.304,778914.5085,1002349.719,868699.5719,891793.9647,1115708.715,1145859.574,1540348.702,7853668.227,586038.172,3116266.599,10770869.86,10446006.74,916680.4712,894079.064,1486339.932,10121929.24,11439516.11,1116129.829,886512.478,517825.9172,16519344.03,1527450.722,11866908.31,722129.115
"Feature0023",2375215.176,1532943.402,11236177.52,1996964.262,10824368.25,8953601.797,1787601.667,68698411.37,50616588.04,1413803.79,12459663.01,84201123.7,445781.5402,1708220.705,31000475.52,3946670.778,66109851.08,3311754.257,1512886.369,53797282.92,2923257.893,416238.1254,601651.9002,39969064.72,80840062,1402903.447,592333.791,4300451.811,72908970.35,9798645.346,1186055.425,3062875.725,2493325.376,79108545.07,88014505.04,1414043.834,1246020.833,213540.5835,190789.5311,158943.5798,4823511.443,1554651.411,8016247.791,359226.5731,3503687.349,9770627.248,8407256.932,4745696.423,51490474.3,45548285.84,14746236.99,9770833.983,453507.0183,352336.8179,444562.1873,12555640.48,744605.6558,13673840.46,942941.8971
"Feature0024",28086733.38,65379470.5,2864408.612,43921355.62,2350862.596,47877434.44,54342082.44,2696772.861,1836088.702,14371781.19,3738023.52,2393988.54,69762790.35,63283812.86,5748408.046,51074619.3,2935470.608,2415703.738,18266063.71,2289836.391,3216218.467,59927599.3,58048518.08,2455534.854,3288558.42,15715912.55,13584617.79,3128401.579,3172145.606,2103383.77,16105529.07,48346408.62,2331194.7,2194376.395,2696867.876,43012213.5,45698843.27,60997314.63,59260783.89,69435491.76,80022986.27,2038364.023,10638442.27,53979244.59,92413318.84,2128830.234,4326272.448,30244539.03,3458226.919,4526430.646,4283682.759,3923068.048,74384186.65,74865102.43,57469446.85,2318567.572,69416237.68,2719945.041,42811429.01
"Feature0025",270950.024,257105.5204,82547299.05,272264.7593,65979632.31,583232.6142,469782.5805,272996.9603,256061.5041,252249.6745,49877847.31,265850.1134,258306.2107,320571.8715,250106.7283,285363.7846,260840.54,27498924.77,360190.929,267723.2262,51537133.31,248088.8919,264683.5004,310999.6635,262567.1577,286206.7934,282811.8012,71571784.25,281095.0513,105502917.8,348824.7792,327122.2934,64942989.39,271622.0703,291191.5512,272988.7258,270436.7717,279065.8896,271482.969,283456.6746,291793.425,272444.5172,92131376.72,264959.0236,265907.4191,58133003.2,59728467.11,280180.7437,262099.1785,261647.0241,89393821.54,61953297.05,253839.3492,241932.5362,278562.7769,56236812.16,276101.1317,63483991.89,254735.6184
"Feature0026",430680.4561,450209.8029,119251653.8,415953.6442,53942224.39,479128.8994,442632.3531,419617.1496,435672.4419,395303.1725,106188752.9,436885.6445,455781.6108,456485.5379,393004.603,422629.6483,408164.9833,66411287.02,433944.007,422626.5049,91925496.23,430041.632,408172.3007,443122.4479,426702.4362,441813.4809,426636.307,83291299.06,411604.9834,134035436.9,466065.0203,453743.6501,102362452.2,422497.748,428725.8198,421251.3438,402660.9196,416044.614,432043.3138,428335.0378,431302.5119,463950.0565,99406441.09,410516.4694,412411.4531,104015987.3,97585617.91,445404.0487,433626.6183,436842.2474,99459913.13,110696720.1,387344.5406,392033.9716,417385.0043,131109735.7,418203.2242,101820158.4,408287.1742
"Feature0027",30414074.25,2817144.136,1234596.935,38626375.71,1458137.08,388029835.5,15406434.83,1921260.887,2059398.42,3384553.189,1702363.023,1435129.608,1174260.994,33415325.67,1691887.258,29008623.46,3111350.576,1196362.737,34205025.12,2667884.621,1443562.82,2464678.415,1086395.115,1603200.644,1474918.909,16232983.98,50337182.47,2552658.105,1900637.135,1201397.674,26268517.23,29550155.89,1405653.541,2628632.746,2035933.379,1035007.583,2039774.217,2903474.495,1890599.782,1829040.374,280438258.4,1920424.096,1305898.059,2162374.831,1345676.601,1280252.597,1305314.261,67369427.89,1997704.757,2342431.222,1959106.009,1658079.286,1582415.346,2345079.543,169686215.2,1451088.084,2673494.656,1407303.256,1280155.748
