"","CTRL1","CTRL2","CTRL3","F1154_1","F1154_2","F1154_3","F1177_1","F1177_2","F1177_3","F1246_1","F1246_2","F1246_3"
"Feature0028",25.9630559256333,26.4191864075116,26.1717758646084,20.9214921424809,20.8655190271772,20.1448919226377,23.3045506279283,22.4715688119789,20.482662060619,22.8169845998983,22.7386384568468,22.8506272651858
"Feature0029",25.9915285201168,26.4354208295014,26.332767953053,22.7425673404769,21.5858833029619,21.3267231659684,22.2467435914935,22.7193751570969,22.0660147823976,22.7579356270907,22.8455495747254,23.1965275480039
"Feature0030",21.9874311169689,26.0435690372965,26.349710209534,23.17945771043,23.7399079781429,18.9975546997139,26.0725340937262,24.7558074161089,24.2552214972846,24.7434083353286,19.6958901320862,20.1480876297063
"Feature0031",16.7792139647028,18.4225232664527,16.7000860278745,17.4135947821909,17.7453419210398,17.0585237519088,27.0560845138932,26.6735415000586,24.064183574773,16.0033931053435,15.6861618027305,16.1446916674123
"Feature0032",26.4358745581545,26.5244565784131,26.4175682296886,20.1145646598704,20.2795098216799,20.0918082916632,17.7697028385744,20.2251977368826,22.7909290723433,22.8344114703374,22.3268384062817,22.1672763757957
"Feature0033",20.7713830666662,16.5675618493461,20.3978731244293,21.4961748058247,21.9716462557363,26.8954485279419,20.7347627557955,25.1215431677861,19.6191954304135,18.0563053625154,25.6529610496308,26.0268797395724
"Feature0034",22.490669673681,26.2577723287329,26.4527996675552,25.8697185841854,25.0851495930848,21.7174337992831,24.5757399199067,24.2174265089343,23.9217993022167,25.5059033550328,20.9671305366159,21.2634983588996
"Feature0035",18.1394445399281,18.1004267584865,18.0209093844806,18.8948026929058,19.1919589605259,18.3947310526919,18.8613799745788,22.4914806574649,18.0947044856854,25.2820246036275,25.3338960878164,26.082973135902
"Feature0036",17.6199983314548,17.5424417559061,17.6162472009827,18.6812089941738,18.8277580764068,18.0902365404721,19.0115957150309,22.1689064974003,17.4657359386519,25.5913670731933,24.5128835808323,24.9317228972721
"Feature0037",20.2536038082194,19.9383903377542,19.8860911174175,27.0514853954614,26.5506451509722,26.993697788677,24.1840068589408,24.8015131405453,18.9720621552558,19.6400206786587,18.896001264018,19.5596721773146
"Feature0038",26.5829880217149,23.0517739996743,22.5310177834279,20.489021005845,21.3711044475961,18.7692686144371,20.355229536999,24.0916501840901,20.462974814977,19.6100965576575,20.201796354561,20.1789905472889
"Feature0039",20.9874775299044,25.4097341697763,25.5708628855342,20.4779144974005,19.5374717702779,19.7094132914928,23.7116556572645,24.8640861508182,21.4280466752903,25.6458703531536,19.9260284391385,20.1121139846475
"Feature0040",18.6403142242426,18.8976928814568,18.5009996414138,21.5559765552634,22.2938115720186,22.1121735800744,27.2092564561052,25.5769575723515,24.3246570067357,17.5246458827735,17.5444385616453,18.3134047751288
"Feature0041",26.5210615800598,21.3463883410178,22.1710641188967,21.4543608739238,21.4283358914096,27.0599793591405,21.1971402515329,20.649051759724,22.7650962755882,19.3961638007716,23.2747681364084,22.5642114439732
"Feature0042",26.4608746863044,26.6009121221785,26.5848950114127,26.3919976316133,26.0275289686318,26.3046255258944,25.9557221036587,28.0917501957493,25.3867538949874,25.7237955286447,25.7613057489859,25.8642393417946
"Feature0043",26.4324482199413,21.0175790814242,17.8902301287991,15.9034054554537,16.1642865407869,20.6556384585461,15.7382887610678,19.4035606802696,19.9574198240696,18.3673864161514,25.8689038225359,25.9677083886751
"Feature0044",22.341349158796,26.507276918238,26.4805040232359,20.7926069067242,20.7078853375792,15.841100503843,20.4933841898266,20.4942378881257,19.8764692579551,25.7672560967467,20.3701387800965,20.6876464021435
"Feature0045",26.2069652079958,26.1957687244769,26.3498313827779,27.1881022864062,27.4475674759604,27.1913932406693,27.2182443953328,26.3598890015038,26.6244931872972,25.6307601472404,25.5204027022087,25.6906218647404
"Feature0046",22.0865826323323,26.484079910008,26.7022931041439,20.1016341436698,21.410389076125,18.7692686144371,20.4035599969461,24.1153343132052,20.4528615960975,17.8736024684996,20.2254804843018,20.1629033935132
"Feature0047",23.2824259628284,22.8819257513378,23.299856575016,25.3267131017864,26.6738153804044,25.8178524819973,26.575111892305,24.3040739650453,26.8429397617112,22.0096882915627,21.7061656166788,21.6332904810951
"Feature0048",16.5332521020045,17.7061708770349,16.4331120149045,17.7635287766856,17.5737705788183,18.0707992780276,18.1405577794711,20.9733230785313,16.7065635586234,25.6087567964488,25.9510820739626,25.9428620829516
"Feature0049",26.820522668601,26.6741782027844,26.7361762151873,21.0015280710186,19.1843852814651,20.7606837170575,21.7324879077296,18.4920017907258,22.0446560875058,22.4710523907401,22.0341945694604,22.059355267742
"Feature0050",18.307583166349,17.3987905131446,17.8600294949612,21.4494523042353,19.3856002790141,22.081504288257,19.198657667845,24.46221896048,18.1116417229029,25.8716724326124,25.9928779643483,26.1182665162935
"Feature0051",19.0402185814663,19.5758224704682,20.0743428528007,19.0900871542627,18.7256635555722,19.5952518211321,19.0324166742362,21.414543866697,19.0831598376572,25.8876564657339,21.4039377702223,21.1204392539044
"Feature0052",26.1704624198566,26.1863748493071,26.2559439761831,27.2804573394109,27.5413631541858,27.2949619522241,27.3001322978608,26.8089366640656,26.6108583545705,25.6066541265156,25.5983820065261,25.7685606574191
"Feature0053",26.8996054946966,19.8311701231562,21.1878004309837,16.3178401332585,17.3623654032315,16.9396744179241,17.117633640541,19.6674241511609,16.3883062583383,16.5130931863253,24.1183162486713,24.7945102980838
"Feature0054",24.5345142666923,24.5770258591876,24.8556406110079,26.4623504882003,26.5572876133619,26.8023277718015,25.9862677485507,24.278292252928,26.9599070535528,21.9840294738931,19.8012477130246,21.8158616638487
"Feature0055",21.0211652189405,20.6057429851022,20.8250152004717,27.1955060780549,27.4956514239875,27.2360744892998,27.5466740807275,25.8977886954776,27.0012373781725,20.0715940176111,19.9773396120854,20.3152224215096
"Feature0056",18.0334067233552,18.1721922025798,18.1262215565861,19.0351018674211,19.2699822584824,19.349983367073,18.6365605560729,22.6373912817735,18.2313339113181,25.7845828677747,25.9812816969758,26.5391567004371
"Feature0057",26.1013953695943,20.8692973295195,22.9755973467301,22.7617653357349,22.4529266334842,21.625179889862,26.1670144498791,20.9508786286415,27.0703690420395,24.2076568985211,17.5728610551031,18.6064489848864
